date,open,high,low,close,volume,SMA_FAST,SMA_SLOW,SMA_CROSS_LONG_SIGNAL,SMA_CROSS_SHORT_SIGNAL,EMA_FAST,EMA_SLOW,EMA_CROSS_LONG_SIGNAL,EMA_CROSS_SHORT_SIGNAL,RSI,RSI_LONG_SIGNAL,RSI_SHORT_SIGNAL,ADX,ADX_LONG_SIGNAL,ADX_SHORT_SIGNAL,ADX_LONG_EXIT_SIGNAL,ADX_SHORT_EXIT_SIGNAL,BOLLINGER_UPPER,BOLLINGER_LOWER,BOLLINGER_LONG_SIGNAL,BOLLINGER_SHORT_SIGNAL,CCI,CCI_LONG_SIGNAL,CCI_SHORT_SIGNAL,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_LONG_SIGNAL,DONCHIAN_SHORT_SIGNAL,EMA_FAST,EMA_SLOW,MACD,MACD_SIGNAL,MACD_LONG_SIGNAL,MACD_SHORT_SIGNAL,SUPERTREND,SUPER_TREND_LONG_SIGNAL,SUPER_TREND_SHORT_SIGNAL,VOLUME_SPIKE,VOLUME_SPIKE_LONG_SIGNAL,VOLUME_SPIKE_SHORT_SIGNAL,WILLIAMSR,WILLIAMS_R_LONG_SIGNAL,WILLIAMS_R_SHORT_SIGNAL,STOCH_K,STOCH_D,STOCHASTIC_LONG_SIGNAL,STOCHASTIC_SHORT_SIGNAL,ATR,ATR_SPIKE_SIGNAL,MFI,MFI_LONG_SIGNAL,MFI_SHORT_SIGNAL,AROON_UP,AROON_DOWN,AROON_LONG_SIGNAL,AROON_SHORT_SIGNAL,CMF,CHAIKIN_MF_LONG_SIGNAL,CHAIKIN_MF_SHORT_SIGNAL,DEMA,DEMA_LONG_SIGNAL,DEMA_SHORT_SIGNAL,ENVELOPE_UPPER,ENVELOPE_LOWER,ENVELOPE_LONG_SIGNAL,ENVELOPE_SHORT_SIGNAL,HULL_MA,HULL_MA_LONG_SIGNAL,HULL_MA_SHORT_SIGNAL,KELTNER_UPPER,KELTNER_LOWER,KELTNER_LONG_SIGNAL,KELTNER_SHORT_SIGNAL,MOMENTUM,MOMENTUM_LONG_SIGNAL,MOMENTUM_SHORT_SIGNAL,OBV,OBV_SIGNAL_MA,OBV_LONG_SIGNAL,OBV_SHORT_SIGNAL,PIVOT,PIVOT_LONG_SIGNAL,PIVOT_SHORT_SIGNAL,PSAR,PSAR_LONG_SIGNAL,PSAR_SHORT_SIGNAL,ROC,ROC_LONG_SIGNAL,ROC_SHORT_SIGNAL,STOCH_RSI,STOCH_RSI_LONG_SIGNAL,STOCH_RSI_SHORT_SIGNAL,TEMA,TEMA_LONG_SIGNAL,TEMA_SHORT_SIGNAL,TRIX,TRIX_LONG_SIGNAL,TRIX_SHORT_SIGNAL,ULTIMATE_OSC,ULTIMATE_OSC_LONG_SIGNAL,ULTIMATE_OSC_SHORT_SIGNAL,VWAP,VWAP_LONG_SIGNAL,VWAP_SHORT_SIGNAL
2025-03-27 00:00:00+05:30,1800.0,1841.0,1798.1,1825.35,20829050,1734.25,1706.8670000000002,0,0,1770.2236180759285,1741.31611472597,0,0,86.36486852805625,0,0,38.61647356939786,1,0,0,0,1829.5057886070867,1638.9942113929133,0,0,151.096000894084,0,1,1843.7,1670.05,0,0,1770.2236180759285,1741.31611472597,28.90750334995846,16.541318842206888,0,0,1834.23,1,0,0,0,0,-10.567232939821553,0,0,89.43276706017843,85.07534312314039,0,0,26.96428571428576,0,85.8866941428088,0,0,14.285714285714285,78.57142857142857,0,1,0.18081000708781753,1,0,1782.8368005612679,0,0,1777.6062499999998,1690.89375,1,0,1779.0484523809523,0,0,1805.8558505360365,1694.3658505360363,1,0,114.19999999999982,1,0,84661766,21440371.55,1,0,1812.0166666666667,0,1,1732.1612299233689,0,0,6.673874295064719,1,0,1.0,0,1,1805.6682830658422,0,0,0.13829153627105129,1,0,61.279752161924726,0,0,1707.271564003929,1,0
2025-03-28 00:00:00+05:30,1829.0,1836.0,1805.85,1828.2,14386824,1740.625,1710.39,0,0,1779.1430614488625,1747.7519580796018,0,0,87.48314000539509,0,0,43.45264241417516,1,0,0,0,1843.2106227743445,1638.0393772256555,0,0,130.17751479289936,0,1,1843.7,1670.05,0,0,1779.1430614488625,1747.7519580796018,31.39110336926069,19.51127574761765,0,0,1741.9899999999998,0,1,0,0,0,-8.926000575871,0,1,91.073999424129,86.37105288415391,0,1,27.43571428571433,0,86.61177212160432,0,1,21.428571428571427,85.71428571428571,0,1,0.1907094471612978,1,0,1793.5586390142741,0,0,1784.1406249999998,1697.109375,1,0,1797.130119047619,0,0,1813.4879123897472,1701.607912389747,1,0,121.60000000000014,1,0,99048590,27156826.15,1,0,1821.4833333333333,1,0,1745.5458823325646,0,0,7.1252783311848145,1,0,1.0,0,1,1817.4637468353167,0,0,0.1627536223887116,1,0,62.67240823981744,0,0,1709.7701956156393,1,0
2025-04-01 00:00:00+05:30,1802.0,1809.9,1765.35,1767.85,14255503,1742.3975000000003,1713.0120000000002,0,0,1777.4056673798066,1749.2407019255572,0,0,66.46853863496611,0,0,46.65160710128905,1,0,0,0,1845.6078752179583,1639.1871247820422,0,0,57.94995418975954,0,1,1843.7,1670.05,0,0,1777.4056673798066,1749.2407019255572,28.16496545424934,21.242013688943988,0,0,1834.23,1,0,0,0,0,-43.67981572127849,0,1,56.320184278721506,78.94231692100965,0,1,30.721428571428614,0,78.7699316460142,0,1,28.57142857142857,92.85714285714286,0,1,0.051888790577347285,1,0,1792.2319878265585,0,0,1785.9574375000002,1698.8375625000003,1,0,1812.1867857142856,0,0,1813.6990635907237,1703.3590635907235,1,0,57.44999999999982,1,0,84793087,30797587.4,1,0,1823.3500000000001,1,0,1757.324376452657,0,0,3.3588634237605053,1,0,0.5580289935052895,0,1,1811.7473596796374,0,0,0.17860467245405243,1,0,50.23027676595405,0,0,1710.9354341455937,1,0
2025-04-02 00:00:00+05:30,1770.7,1799.2,1770.7,1796.9,5786782,1747.1649999999997,1715.925,0,0,1780.404795475221,1752.771020301442,0,0,70.5535055350553,0,0,49.81498851897923,1,0,0,0,1851.236064283271,1643.0939357167285,0,0,62.381436964201626,0,0,1843.7,1670.05,0,0,1780.404795475221,1752.771020301442,27.633775173778986,22.52036598591099,0,0,1741.9899999999998,0,1,0,0,0,-30.75911929017412,0,0,69.24088070982589,72.2116881375588,0,0,31.25000000000005,0,83.95937018282785,0,0,35.714285714285715,100.0,0,1,0.106523373565345,1,0,1795.975813391863,0,1,1790.8441249999996,1703.4858749999996,0,0,1825.0158333333334,0,1,1815.308438486845,1709.058438486845,0,0,64.70000000000005,1,0,90579869,35257821.85,1,0,1781.0333333333335,0,1,1767.689451278338,0,0,3.73513451102645,1,0,0.5904819435461528,0,0,1813.801077495402,0,1,0.19096319485001345,1,0,52.7341094259881,0,0,1711.629884365343,1,0
2025-04-03 00:00:00+05:30,1781.1,1804.0,1777.0,1794.85,5625019,1751.4075,1718.9740000000002,0,0,1782.6271346328792,1755.8879817605944,0,0,66.91592562651566,0,1,53.51527790719369,1,0,0,0,1856.0159241098056,1646.7990758901944,0,0,60.14931066426883,0,0,1843.7,1670.05,0,0,1782.6271346328792,1755.8879817605944,26.739152872284876,23.36412336318577,0,0,1834.23,1,0,0,0,0,-34.00626522798476,0,0,65.99373477201524,63.85159992018756,0,0,30.82142857142862,0,83.63075607014872,0,1,42.857142857142854,100.0,0,1,0.09038093750487199,1,0,1798.721736888876,1,0,1795.1926875,1707.6223125,1,0,1835.3265476190477,0,0,1819.014539583336,1711.574539583336,0,0,50.75,1,0,84954850,38938781.4,1,0,1788.9333333333334,1,0,1776.8107171249376,0,0,2.909810217304054,1,0,0.36218095997078986,0,0,1814.5745463567407,0,0,0.1998228220061904,1,0,50.69501241252216,0,0,1712.278279653681,1,0
2025-04-04 00:00:00+05:30,1813.0,1841.95,1811.1,1817.3,16770227,1757.7724999999998,1721.999,0,0,1787.9614216124362,1760.4370201486984,0,0,70.86317376554837,0,0,56.457811158697645,1,0,0,0,1862.1398243632168,1653.4051756367828,0,0,96.06309159650979,0,0,1843.7,1670.05,0,0,1787.9614216124362,1760.4370201486984,27.52440146373783,24.196178983296182,0,0,1741.9899999999998,0,1,0,0,0,-19.033886085075764,0,0,80.96611391492424,72.0669097989218,0,0,32.703571428571486,0,84.54208724717782,0,1,50.0,100.0,0,1,0.08406473975440518,1,0,1804.8553783170778,0,1,1801.7168124999996,1713.8281874999998,0,0,1842.4436904761906,0,0,1824.7974405753994,1715.697440575399,0,0,48.549999999999955,1,0,101725077,43997849.1,1,0,1791.95,1,0,1784.837431069945,0,0,2.74487632508833,1,0,0.4845908290185057,0,0,1820.3983525317658,0,0,0.20810145184897433,1,0,50.94476234020327,0,0,1714.6624257366475,1,0
2025-04-07 00:00:00+05:30,1762.8,1779.85,1738.2,1757.7,18997725,1761.0975000000003,1723.855,0,0,1783.305818287446,1760.2342779154615,0,0,57.36530675801929,0,1,55.90703663201951,1,0,0,0,1860.661340799444,1661.5336592005567,0,0,-2.947125829659196,0,0,1843.7,1670.05,0,0,1783.305818287446,1760.2342779154615,23.07154037198461,23.97125126103387,0,0,1834.23,1,0,0,0,0,-66.8480373105324,0,1,33.151962689467595,60.03727045880237,0,1,36.99642857142862,0,75.07626189430074,0,1,57.14285714285714,100.0,0,1,0.05168212521724039,1,0,1799.6835499245417,1,0,1805.1249375000002,1717.0700625000002,1,0,1846.0492857142858,0,0,1825.0024462348852,1713.102446234885,0,0,-12.649999999999864,1,0,82727352,47282878.35,1,0,1823.45,1,0,1843.7,0,0,-0.7145479707402425,1,0,0.0,0,0,1809.9968401265724,0,0,0.20844292867563396,1,0,47.547487721370075,0,0,1715.7414636874582,1,0
2025-04-08 00:00:00+05:30,1765.0,1782.0,1750.3,1769.15,17781936,1765.0925,1726.2420000000002,0,0,1781.1280000893776,1760.8947017735754,0,0,55.945293644408686,0,0,53.56332113137854,1,0,0,0,1858.7549750732235,1671.4300249267765,0,0,4.883410035349924,0,0,1843.7,1670.05,0,0,1781.1280000893776,1760.8947017735754,20.23329831580213,23.223660671987524,0,1,1741.9899999999998,0,1,0,0,0,-66.86098654708516,0,0,33.13901345291484,49.0856966857689,0,0,37.33214285714291,0,75.9991616323774,0,0,64.28571428571429,100.0,0,1,0.06343380164849145,1,0,1797.0495301792675,0,1,1809.2198124999998,1720.9651875,0,0,1844.717261904762,0,0,1825.826737069658,1712.2967370696579,0,0,-30.84999999999991,0,1,100509288,51791327.25,1,0,1758.5833333333333,0,1,1841.5900000000001,0,1,-1.7138888888888815,0,0,0.0,1,0,1803.888927619362,0,0,0.2043652628954229,1,0,46.65306279793141,0,0,1716.9660883755644,1,0
2025-04-09 00:00:00+05:30,1765.0,1775.0,1753.5,1765.0,11227304,1768.9675,1728.9460000000001,0,0,1778.6467693063964,1761.1987979384958,0,0,53.44884488448845,0,0,50.68046802237559,1,0,0,0,1855.2341995275033,1682.7008004724967,0,0,-6.88944083956718,0,0,1843.7,1670.05,0,0,1778.6467693063964,1761.1987979384958,17.447971367900664,22.068522811170155,0,0,1834.23,1,0,0,0,0,-74.59715639810432,0,0,25.402843601895693,30.564606581426048,0,0,37.525000000000055,0,70.6962829123416,0,0,71.42857142857143,100.0,0,1,0.08062379389012053,1,0,1793.921831793262,0,0,1813.1916874999997,1724.7433125,0,0,1838.2341666666666,0,0,1825.9049049677858,1711.4449049677858,0,0,-56.450000000000045,0,1,89281984,56128512.2,1,0,1767.1500000000003,1,0,1839.5222,0,0,-3.099179225342452,0,1,0.0,1,0,1797.5102083939605,0,0,0.19664891349326918,1,0,45.16419363390087,0,0,1717.651567727673,1,0
2025-04-11 00:00:00+05:30,1774.75,1819.4,1774.75,1806.75,16387883,1775.03,1731.6729999999998,0,0,1782.9703432592585,1764.5729610541628,0,0,55.935645110902826,0,0,48.252987596242875,1,0,0,0,1853.2669504841076,1696.7930495158923,0,0,55.26752203892787,0,0,1843.7,1691.55,0,0,1782.9703432592585,1764.5729610541628,18.39738220509571,21.334294689955268,0,0,1741.9899999999998,0,1,0,0,0,-35.023696682464504,0,0,64.9763033175355,41.17272012411535,0,0,39.275000000000055,0,71.82459631961092,0,0,78.57142857142857,21.428571428571427,1,1,0.09520241253792075,1,0,1798.343801459429,0,0,1819.40575,1730.65425,0,0,1829.1913095238097,0,0,1831.6011044946636,1713.0011044946632,0,0,0.20000000000004547,0,1,105669867,61782552.05,1,0,1764.5,0,1,1837.495756,0,0,0.01107082560682926,0,1,0.07306748142072668,1,0,1802.3701618728433,0,0,0.19116141860837654,1,0,53.901200457028544,0,0,1719.4696366411931,1,0
