direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:21:00+05:30,1621.92645,616,2023-01-02 09:27:00+05:30,1621.8702499999997,CROSS_UP,-364.7107999998662
LONG,2023-01-02 09:48:00+05:30,1633.5319,611,2023-01-02 09:54:00+05:30,1630.2681,CROSS_DOWN,-2392.5917999999674
SHORT,2023-01-02 11:33:00+05:30,1630.31805,611,2023-01-02 11:39:00+05:30,1633.5819499999998,CROSS_UP,-2392.662899999813
LONG,2023-01-02 14:48:00+05:30,1632.08045,609,2023-01-02 14:54:00+05:30,1628.8695,CROSS_DOWN,-2352.418549999946
SHORT,2023-01-03 09:21:00+05:30,1625.82255,610,2023-01-03 09:27:00+05:30,1627.7260999999996,CROSS_UP,-1557.9954999997199
LONG,2023-01-03 09:42:00+05:30,1630.7791499999998,607,2023-01-03 09:48:00+05:30,1628.5698,CROSS_DOWN,-1736.7854499999141
SHORT,2023-01-03 12:00:00+05:30,1634.8635,605,2023-01-03 12:06:00+05:30,1637.6359999999997,CROSS_UP,-2073.2724999998845
LONG,2023-01-03 13:42:00+05:30,1636.9853499999997,603,2023-01-03 13:48:00+05:30,1635.6626999999999,CROSS_DOWN,-1192.4379499999034
SHORT,2023-01-04 09:48:00+05:30,1637.6607,602,2023-01-04 09:54:00+05:30,1634.8832499999999,CROSS_UP,1277.4649000000268
LONG,2023-01-04 13:57:00+05:30,1620.3687499999999,609,2023-01-04 14:03:00+05:30,1616.9814,CROSS_DOWN,-2457.3061499999812
SHORT,2023-01-04 14:33:00+05:30,1612.4859,610,2023-01-04 14:39:00+05:30,1615.6640499999999,CROSS_UP,-2332.681499999975
LONG,2023-01-05 09:27:00+05:30,1615.6139999999998,608,2023-01-05 09:33:00+05:30,1610.9874,CROSS_DOWN,-3205.572799999894
SHORT,2023-01-05 09:42:00+05:30,1600.64775,611,2023-01-05 09:48:00+05:30,1602.6009999999999,CROSS_UP,-1585.4157499998767
LONG,2023-01-05 13:15:00+05:30,1599.8482499999998,611,2023-01-05 13:21:00+05:30,1591.35705,CROSS_DOWN,-5578.3631999998215
LONG,2023-01-05 14:12:00+05:30,1597.2957,608,2023-01-05 14:18:00+05:30,1595.65275,CROSS_DOWN,-1388.1135999999563
SHORT,2023-01-06 09:54:00+05:30,1596.75165,607,2023-01-06 10:00:00+05:30,1596.5949999999998,CROSS_UP,-293.7134499999229
LONG,2023-01-06 11:45:00+05:30,1595.5939999999998,608,2023-01-06 11:51:00+05:30,1592.5558500000002,CROSS_DOWN,-2235.7951999997763
SHORT,2023-01-06 12:51:00+05:30,1591.3071,608,2023-01-06 12:57:00+05:30,1591.7401499999999,CROSS_UP,-651.5143999999189
LONG,2023-01-06 14:45:00+05:30,1589.3877999999997,608,2023-01-06 14:51:00+05:30,1586.9115,CROSS_DOWN,-1892.9503999998844
SHORT,2023-01-09 12:30:00+05:30,1605.6927,601,2023-01-09 12:36:00+05:30,1608.0564499999998,CROSS_UP,-1808.0237499998523
LONG,2023-01-09 14:57:00+05:30,1598.6470499999998,602,2023-01-09 15:03:00+05:30,1597.2012,CROSS_DOWN,-1256.5416999999018
