direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:35:00+05:30,1220.2785,819,2023-01-02 09:55:00+05:30,1222.7214999999999,CROSS_UP,-2400.3969999999863
SHORT,2023-01-02 10:25:00+05:30,1219.3793999999998,818,2023-01-02 10:45:00+05:30,1224.8235999999997,CROSS_UP,-4852.405599999926
SHORT,2023-01-02 12:05:00+05:30,1220.32845,813,2023-01-02 12:25:00+05:30,1223.1218999999999,CROSS_UP,-2668.1048499999138
SHORT,2023-01-02 14:25:00+05:30,1219.5792,811,2023-01-02 14:45:00+05:30,1223.7224999999999,CROSS_UP,-3756.2462999999625
LONG,2023-01-02 15:05:00+05:30,1229.0277999999998,802,2023-01-02 15:25:00+05:30,1227.3714,CROSS_DOWN,-1722.6627999998786
SHORT,2023-01-03 11:45:00+05:30,1220.32845,806,2023-01-03 12:05:00+05:30,1218.0668499999997,CROSS_UP,1429.0996000002187
LONG,2023-01-06 09:25:00+05:30,1213.6124,812,2023-01-06 09:45:00+05:30,1209.03975,CROSS_DOWN,-4106.451800000054
SHORT,2023-01-06 13:25:00+05:30,1202.24655,816,2023-01-06 13:45:00+05:30,1206.205,CROSS_UP,-3623.2751999998836
LONG,2023-01-06 15:05:00+05:30,1210.0087999999998,808,2023-01-06 15:25:00+05:30,1207.8908999999999,CROSS_DOWN,-2102.56319999997
SHORT,2023-01-10 10:25:00+05:30,1229.4693,793,2023-01-10 10:45:00+05:30,1230.4291999999998,CROSS_UP,-1152.0806999998686
LONG,2023-01-13 13:25:00+05:30,1174.3732,830,2023-01-13 13:45:00+05:30,1175.2236,CROSS_DOWN,314.8820000000299
SHORT,2023-01-16 10:35:00+05:30,1171.4773500000001,832,2023-01-16 10:55:00+05:30,1172.8717,CROSS_UP,-1550.9091999998368
LONG,2023-01-17 09:45:00+05:30,1174.9737999999998,828,2023-01-17 10:05:00+05:30,1173.4253999999999,CROSS_DOWN,-1671.8051999999184
SHORT,2023-01-18 15:05:00+05:30,1177.0218,825,2023-01-18 15:25:00+05:30,1180.2790999999997,CROSS_UP,-3076.9024999998014
LONG,2023-01-19 11:55:00+05:30,1180.0288499999997,821,2023-01-19 12:15:00+05:30,1178.9198999999999,CROSS_DOWN,-1298.8479499998543
SHORT,2023-01-19 13:15:00+05:30,1176.4224,822,2023-01-19 13:35:00+05:30,1181.2800999999997,CROSS_UP,-4381.329399999831
