direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:35:00+05:30,1220.2785,819,2023-01-02 09:55:00+05:30,1222.7214999999999,CROSS_UP,-2400.3969999999863
SHORT,2023-01-02 10:25:00+05:30,1219.3793999999998,818,2023-01-02 10:45:00+05:30,1224.8235999999997,CROSS_UP,-4852.405599999926
SHORT,2023-01-02 11:35:00+05:30,1219.8289499999998,813,2023-01-02 11:55:00+05:30,1222.0207999999998,CROSS_UP,-2178.834049999944
LONG,2023-01-02 12:45:00+05:30,1223.2219999999998,809,2023-01-02 13:05:00+05:30,1220.8279499999999,CROSS_DOWN,-2332.2164499999026
SHORT,2023-01-02 14:05:00+05:30,1220.0787,809,2023-01-02 14:25:00+05:30,1222.0207999999998,CROSS_UP,-1966.3488999998017
LONG,2023-01-02 15:05:00+05:30,1229.0277999999998,802,2023-01-02 15:25:00+05:30,1227.3714,CROSS_DOWN,-1722.6627999998786
SHORT,2023-01-03 09:35:00+05:30,1219.8289499999998,807,2023-01-03 09:55:00+05:30,1225.1239,CROSS_UP,-4667.46465000016
LONG,2023-01-03 10:55:00+05:30,1225.67445,799,2023-01-03 11:15:00+05:30,1220.2785,CROSS_DOWN,-4702.494050000068
LONG,2023-01-03 14:05:00+05:30,1216.7154999999998,801,2023-01-03 14:25:00+05:30,1216.0827,CROSS_DOWN,-897.4227999998886
SHORT,2023-01-04 09:45:00+05:30,1207.2915,806,2023-01-04 10:05:00+05:30,1208.9077,CROSS_UP,-1692.9071999999478
LONG,2023-01-04 11:35:00+05:30,1211.4101999999998,802,2023-01-04 11:55:00+05:30,1203.1956,CROSS_DOWN,-6975.849199999832
SHORT,2023-01-04 12:05:00+05:30,1203.1956,802,2023-01-04 12:25:00+05:30,1204.85365,CROSS_UP,-1717.1461000000022
LONG,2023-01-04 13:45:00+05:30,1207.206,798,2023-01-04 14:05:00+05:30,1205.2935,CROSS_DOWN,-1912.4749999999276
SHORT,2023-01-04 15:05:00+05:30,1199.44935,802,2023-01-04 15:25:00+05:30,1200.7995999999998,CROSS_UP,-1469.2204999997857
LONG,2023-01-05 09:35:00+05:30,1201.0999,799,2023-01-05 09:55:00+05:30,1203.4453500000002,CROSS_DOWN,1488.034550000204
SHORT,2023-01-05 11:25:00+05:30,1198.8999,802,2023-01-05 11:45:00+05:30,1201.5003,CROSS_UP,-2471.750800000029
