direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-11 11:15:00+05:30,1207.9908,827,2023-01-11 11:35:00+05:30,1208.35715,CROSS_UP,-702.2914500000093
LONG,2023-01-18 12:35:00+05:30,1186.3852,842,2023-01-18 12:55:00+05:30,1184.6142,CROSS_DOWN,-1890.0319999999647
SHORT,2023-01-20 10:45:00+05:30,1171.1277,851,2023-01-20 11:05:00+05:30,1172.1709999999998,CROSS_UP,-1286.3682999998446
LONG,2023-02-08 11:25:00+05:30,1118.66755,890,2023-02-08 11:45:00+05:30,1119.82905,CROSS_DOWN,635.3250000001425
SHORT,2023-02-10 12:45:00+05:30,1108.4904,899,2023-02-10 13:05:00+05:30,1109.1580499999998,CROSS_UP,-998.6873499998803
LONG,2023-02-13 09:15:00+05:30,1117.5164,891,2023-02-13 09:35:00+05:30,1112.8360500000001,CROSS_DOWN,-4567.131849999877
SHORT,2023-02-13 11:15:00+05:30,1105.6932,896,2023-02-13 11:35:00+05:30,1107.75665,CROSS_UP,-2245.3412000000917
LONG,2023-02-14 10:55:00+05:30,1123.5224,880,2023-02-14 11:15:00+05:30,1120.878,CROSS_DOWN,-2722.0820000001163
SHORT,2023-02-21 12:05:00+05:30,1152.1966499999999,855,2023-02-21 12:25:00+05:30,1154.10295,CROSS_UP,-2024.4065000000865
LONG,2023-02-21 13:45:00+05:30,1164.5634,845,2023-02-21 14:05:00+05:30,1160.0388,CROSS_DOWN,-4216.226999999969
SHORT,2023-02-22 10:05:00+05:30,1141.0578,858,2023-02-22 10:25:00+05:30,1141.8407,CROSS_UP,-1064.0281999999372
LONG,2023-03-03 11:45:00+05:30,1126.87575,868,2023-03-03 12:05:00+05:30,1125.0738000000001,CROSS_DOWN,-1955.5925999998317
SHORT,2023-03-09 13:55:00+05:30,1124.6742,868,2023-03-09 14:15:00+05:30,1126.6254999999999,CROSS_UP,-2085.1083999999537
LONG,2023-03-21 11:55:00+05:30,1077.6265499999997,904,2023-03-21 12:15:00+05:30,1078.6203,CROSS_DOWN,507.54000000028776
