direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:17:00+05:30,1215.63315,822,2023-01-02 09:19:00+05:30,1216.0648499999998,CROSS_UP,-754.2673999998885
LONG,2023-01-02 09:23:00+05:30,1219.5182999999997,819,2023-01-02 09:25:00+05:30,1219.8789,CROSS_DOWN,-103.97859999983285
SHORT,2023-01-02 10:13:00+05:30,1220.1286499999999,818,2023-01-02 10:15:00+05:30,1221.7205,CROSS_UP,-1701.183300000018
LONG,2023-01-02 10:38:00+05:30,1222.6214,815,2023-01-02 10:40:00+05:30,1220.778,CROSS_DOWN,-1900.340999999979
SHORT,2023-01-02 11:13:00+05:30,1220.778,815,2023-01-02 11:15:00+05:30,1222.17095,CROSS_UP,-1533.204249999941
LONG,2023-01-02 12:04:00+05:30,1222.0207999999998,813,2023-01-02 12:06:00+05:30,1219.779,CROSS_DOWN,-2219.423399999825
SHORT,2023-01-02 12:29:00+05:30,1219.8289499999998,813,2023-01-02 12:31:00+05:30,1223.5222999999999,CROSS_UP,-3399.6335500000077
LONG,2023-01-02 12:32:00+05:30,1223.2219999999998,808,2023-01-02 12:34:00+05:30,1220.6781,CROSS_DOWN,-2450.4411999997305
SHORT,2023-01-02 12:57:00+05:30,1219.6791,808,2023-01-02 12:59:00+05:30,1222.9216999999999,CROSS_UP,-3014.7407999998472
LONG,2023-01-02 13:15:00+05:30,1223.2219999999998,803,2023-01-02 13:17:00+05:30,1220.8779,CROSS_DOWN,-2275.1722999998383
SHORT,2023-01-02 13:38:00+05:30,1221.72705,802,2023-01-02 13:40:00+05:30,1223.1218999999999,CROSS_UP,-1511.2796999999243
SHORT,2023-01-02 13:41:00+05:30,1220.2785,802,2023-01-02 13:43:00+05:30,1223.0217999999998,CROSS_UP,-2592.40659999989
LONG,2023-01-02 13:57:00+05:30,1223.5222999999999,798,2023-01-02 13:59:00+05:30,1219.9788,CROSS_DOWN,-3218.2229999998144
LONG,2023-01-02 14:11:00+05:30,1223.0217999999998,795,2023-01-02 14:13:00+05:30,1220.6781,CROSS_DOWN,-2252.591499999739
SHORT,2023-01-02 14:15:00+05:30,1218.6801,796,2023-01-02 14:17:00+05:30,1220.2189999999998,CROSS_UP,-1614.144399999829
LONG,2023-01-02 14:44:00+05:30,1221.8205999999998,793,2023-01-02 14:46:00+05:30,1220.6781,CROSS_DOWN,-1294.442499999762
SHORT,2023-01-03 09:16:00+05:30,1219.7290500000001,793,2023-01-03 09:18:00+05:30,1221.5203,CROSS_UP,-1808.6612499998125
LONG,2023-01-03 09:47:00+05:30,1223.2219999999998,790,2023-01-03 09:49:00+05:30,1219.8789,CROSS_DOWN,-3028.0889999998594
SHORT,2023-01-03 10:24:00+05:30,1221.5772,788,2023-01-03 10:26:00+05:30,1224.0227999999997,CROSS_UP,-2313.732799999831
LONG,2023-01-03 10:38:00+05:30,1225.1739499999999,784,2023-01-03 10:40:00+05:30,1222.6761000000001,CROSS_DOWN,-2343.4943999997995
SHORT,2023-01-03 10:46:00+05:30,1221.4773,784,2023-01-03 10:48:00+05:30,1224.223,CROSS_UP,-2537.4887999999546
LONG,2023-01-03 10:53:00+05:30,1225.4742499999998,780,2023-01-03 10:55:00+05:30,1224.0747,CROSS_DOWN,-1475.4289999998932
SHORT,2023-01-03 11:10:00+05:30,1222.0766999999998,781,2023-01-03 11:12:00+05:30,1224.67345,CROSS_UP,-2411.791750000122
LONG,2023-01-03 13:00:00+05:30,1217.3160999999998,782,2023-01-03 13:02:00+05:30,1214.53425,CROSS_DOWN,-2557.496699999882
SHORT,2023-01-03 13:10:00+05:30,1213.9848,782,2023-01-03 13:12:00+05:30,1217.0158,CROSS_UP,-2752.1919999999604
LONG,2023-01-03 13:15:00+05:30,1217.4162,777,2023-01-03 13:17:00+05:30,1214.8838999999998,CROSS_DOWN,-2347.63710000006
SHORT,2023-01-03 13:21:00+05:30,1214.0846999999999,778,2023-01-03 13:23:00+05:30,1216.7154999999998,CROSS_UP,-2427.0123999999287
LONG,2023-01-03 13:30:00+05:30,1218.8175999999999,773,2023-01-03 13:32:00+05:30,1215.9828,CROSS_DOWN,-2569.9303999998906
SHORT,2023-01-03 14:12:00+05:30,1214.784,773,2023-01-03 14:14:00+05:30,1216.7154999999998,CROSS_UP,-1871.3094999997584
LONG,2023-01-03 14:23:00+05:30,1218.5172999999998,769,2023-01-03 14:25:00+05:30,1216.4823000000001,CROSS_DOWN,-1941.9349999997135
SHORT,2023-01-03 14:58:00+05:30,1216.8818999999999,768,2023-01-03 15:00:00+05:30,1218.9177,CROSS_UP,-1940.194400000083
