direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:17:00+05:30,1215.63315,822,2023-01-02 09:19:00+05:30,1216.0648499999998,CROSS_UP,-754.2673999998885
LONG,2023-01-02 09:22:00+05:30,1218.8175999999999,819,2023-01-02 09:24:00+05:30,1219.5792,CROSS_DOWN,224.550400000036
SHORT,2023-01-02 09:31:00+05:30,1217.6811,820,2023-01-02 09:33:00+05:30,1221.3200999999997,CROSS_UP,-3383.2999999997287
SHORT,2023-01-02 09:51:00+05:30,1220.8779,815,2023-01-02 09:53:00+05:30,1223.0718499999998,CROSS_UP,-2186.0792499998847
LONG,2023-01-02 10:31:00+05:30,1222.0207999999998,813,2023-01-02 10:33:00+05:30,1219.5792,CROSS_DOWN,-2381.8207999999026
SHORT,2023-01-02 10:57:00+05:30,1222.2765,811,2023-01-02 10:59:00+05:30,1224.223,CROSS_UP,-1975.2915000000116
LONG,2023-01-02 11:06:00+05:30,1225.6244,807,2023-01-02 11:08:00+05:30,1221.9768000000001,CROSS_DOWN,-3338.5731999998256
SHORT,2023-01-02 11:09:00+05:30,1221.12765,807,2023-01-02 11:11:00+05:30,1223.7224999999999,CROSS_UP,-2488.7039499999605
LONG,2023-01-02 11:40:00+05:30,1222.0207999999998,804,2023-01-02 11:42:00+05:30,1219.8289499999998,CROSS_DOWN,-2155.2273999999447
SHORT,2023-01-02 11:55:00+05:30,1218.8799,805,2023-01-02 11:57:00+05:30,1221.3200999999997,CROSS_UP,-2357.5109999998203
LONG,2023-01-02 11:59:00+05:30,1221.97075,801,2023-01-02 12:01:00+05:30,1219.3793999999998,CROSS_DOWN,-2467.2513500001182
SHORT,2023-01-02 12:25:00+05:30,1219.4793,800,2023-01-02 12:27:00+05:30,1221.8205999999998,CROSS_UP,-2264.2099999998554
LONG,2023-01-02 12:33:00+05:30,1223.2219999999998,796,2023-01-02 12:35:00+05:30,1221.1776,CROSS_DOWN,-2017.2523999998157
SHORT,2023-01-02 12:42:00+05:30,1220.5782,796,2023-01-02 12:44:00+05:30,1223.2720499999998,CROSS_UP,-2534.084599999908
LONG,2023-01-02 12:51:00+05:30,1222.87165,793,2023-01-02 12:53:00+05:30,1220.8779,CROSS_DOWN,-1969.573750000072
LONG,2023-01-02 13:12:00+05:30,1222.6714499999998,791,2023-01-02 13:14:00+05:30,1220.8279499999999,CROSS_DOWN,-1845.8584999999598
SHORT,2023-01-02 13:34:00+05:30,1221.12765,791,2023-01-02 13:36:00+05:30,1223.3220999999999,CROSS_UP,-2123.559949999969
LONG,2023-01-02 13:49:00+05:30,1223.7224999999999,787,2023-01-02 13:51:00+05:30,1220.2785,CROSS_DOWN,-3096.2879999999686
LONG,2023-01-02 13:56:00+05:30,1224.223,784,2023-01-02 13:58:00+05:30,1220.2785,CROSS_DOWN,-3477.078000000048
SHORT,2023-01-02 14:00:00+05:30,1220.4783,784,2023-01-02 14:02:00+05:30,1223.1218999999999,CROSS_UP,-2457.172399999905
LONG,2023-01-02 14:09:00+05:30,1223.0217999999998,780,2023-01-02 14:11:00+05:30,1220.5782,CROSS_DOWN,-2288.88799999987
SHORT,2023-01-02 14:16:00+05:30,1218.9798,781,2023-01-02 14:18:00+05:30,1220.1189,CROSS_UP,-1272.4370999998994
LONG,2023-01-02 14:26:00+05:30,1221.5203,778,2023-01-02 14:28:00+05:30,1219.32945,CROSS_DOWN,-2086.1412999999648
SHORT,2023-01-02 15:13:00+05:30,1226.0727,774,2023-01-02 15:15:00+05:30,1229.17795,CROSS_UP,-2785.2935000000534
LONG,2023-01-03 09:33:00+05:30,1221.5203,774,2023-01-03 09:35:00+05:30,1218.82995,CROSS_DOWN,-2462.160899999886
SHORT,2023-01-03 10:14:00+05:30,1223.72505,771,2023-01-03 10:16:00+05:30,1226.0248,CROSS_UP,-2152.957249999926
LONG,2023-01-03 10:35:00+05:30,1225.3240999999998,768,2023-01-03 10:37:00+05:30,1222.776,CROSS_DOWN,-2335.2507999998074
SHORT,2023-01-03 10:46:00+05:30,1221.4773,769,2023-01-03 10:48:00+05:30,1224.223,CROSS_UP,-2489.8532999999557
LONG,2023-01-03 10:52:00+05:30,1225.224,764,2023-01-03 10:54:00+05:30,1223.8748999999998,CROSS_DOWN,-1407.532400000103
SHORT,2023-01-03 11:06:00+05:30,1222.82595,765,2023-01-03 11:08:00+05:30,1224.8235999999997,CROSS_UP,-1905.2022499998425
LONG,2023-01-03 11:32:00+05:30,1223.3220999999999,763,2023-01-03 11:34:00+05:30,1220.4283500000001,CROSS_DOWN,-2583.481249999792
SHORT,2023-01-03 11:40:00+05:30,1219.5792,763,2023-01-03 11:42:00+05:30,1221.37015,CROSS_UP,-1741.7548500000505
LONG,2023-01-03 11:47:00+05:30,1222.7214999999999,760,2023-01-03 11:49:00+05:30,1220.3783999999998,CROSS_DOWN,-2154.9660000000376
SHORT,2023-01-03 11:57:00+05:30,1218.53025,760,2023-01-03 11:59:00+05:30,1220.4692499999999,CROSS_UP,-1847.3399999998867
LONG,2023-01-03 12:12:00+05:30,1218.9177,759,2023-01-03 12:14:00+05:30,1215.63315,CROSS_DOWN,-2865.5334500000613
SHORT,2023-01-03 12:15:00+05:30,1215.3834,759,2023-01-03 12:17:00+05:30,1217.8165999999999,CROSS_UP,-2219.248799999956
LONG,2023-01-03 12:28:00+05:30,1216.4152,756,2023-01-03 12:30:00+05:30,1214.784,CROSS_DOWN,-1604.1471999998548
SHORT,2023-01-03 12:55:00+05:30,1214.1846,756,2023-01-03 12:57:00+05:30,1217.216,CROSS_UP,-2662.6083999998855
SHORT,2023-01-03 13:09:00+05:30,1214.0846999999999,754,2023-01-03 13:11:00+05:30,1216.5152999999998,CROSS_UP,-2202.6423999999342
LONG,2023-01-03 13:14:00+05:30,1217.3160999999998,750,2023-01-03 13:16:00+05:30,1214.5842,CROSS_DOWN,-2417.3149999998263
SHORT,2023-01-03 13:21:00+05:30,1214.0846999999999,750,2023-01-03 13:23:00+05:30,1216.7154999999998,CROSS_UP,-2341.3599999999315
LONG,2023-01-03 13:30:00+05:30,1218.8175999999999,745,2023-01-03 13:32:00+05:30,1215.9828,CROSS_DOWN,-2478.545999999895
SHORT,2023-01-03 13:41:00+05:30,1215.2835,746,2023-01-03 13:43:00+05:30,1216.8155999999997,CROSS_UP,-1509.756599999756
LONG,2023-01-03 13:54:00+05:30,1217.9667499999998,743,2023-01-03 13:56:00+05:30,1215.83295,CROSS_DOWN,-1951.1133999998792
