direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 10:46:00+05:30,1222.1766,818,2023-01-02 10:48:00+05:30,1224.0227999999997,CROSS_UP,-1909.851599999776
LONG,2023-01-03 10:31:00+05:30,1223.0217999999998,816,2023-01-03 10:33:00+05:30,1222.1766,CROSS_DOWN,-1088.4231999997958
LONG,2023-01-03 11:24:00+05:30,1222.7214999999999,815,2023-01-03 11:26:00+05:30,1220.1786000000002,CROSS_DOWN,-2470.303499999748
LONG,2023-01-04 09:48:00+05:30,1209.3080999999997,822,2023-01-04 09:50:00+05:30,1206.0927,CROSS_DOWN,-3039.85879999985
LONG,2023-01-04 11:51:00+05:30,1208.5072999999998,820,2023-01-04 11:53:00+05:30,1206.44235,CROSS_DOWN,-2089.248999999775
LONG,2023-01-04 11:58:00+05:30,1208.2069999999999,818,2023-01-04 12:00:00+05:30,1204.5942,CROSS_DOWN,-3349.9603999999013
SHORT,2023-01-05 14:03:00+05:30,1196.0028,824,2023-01-05 14:05:00+05:30,1198.3971999999999,CROSS_UP,-2367.6655999999216
SHORT,2023-01-06 09:16:00+05:30,1204.0946999999999,816,2023-01-06 09:18:00+05:30,1204.9036999999998,CROSS_UP,-1053.6839999999747
SHORT,2023-01-06 09:19:00+05:30,1201.74705,817,2023-01-06 09:21:00+05:30,1206.0548499999998,CROSS_UP,-3912.952599999849
SHORT,2023-01-06 09:24:00+05:30,1207.8908999999999,810,2023-01-06 09:26:00+05:30,1212.5113,CROSS_UP,-4134.804000000015
SHORT,2023-01-06 09:27:00+05:30,1210.4883,805,2023-01-06 09:29:00+05:30,1209.9087,CROSS_UP,75.96800000002224
LONG,2023-01-06 12:52:00+05:30,1206.6054,807,2023-01-06 12:54:00+05:30,1204.3944,CROSS_DOWN,-2174.1670000000104
SHORT,2023-01-09 11:06:00+05:30,1230.1686000000002,790,2023-01-09 11:09:00+05:30,1234.0327999999997,CROSS_UP,-3442.637999999627
SHORT,2023-01-09 11:12:00+05:30,1231.767,786,2023-01-09 11:14:00+05:30,1236.1349,CROSS_UP,-3821.8393999999707
SHORT,2023-01-09 11:18:00+05:30,1232.8659,782,2023-01-09 11:20:00+05:30,1235.6344,CROSS_UP,-2552.106999999925
LONG,2023-01-09 13:50:00+05:30,1229.3280999999997,783,2023-01-09 13:52:00+05:30,1226.6721,CROSS_DOWN,-2465.5179999997818
SHORT,2023-01-09 15:15:00+05:30,1237.6611,775,2023-01-09 15:17:00+05:30,1239.7385,CROSS_UP,-1995.354999999921
LONG,2023-01-10 11:31:00+05:30,1226.5753499999998,781,2023-01-10 11:33:00+05:30,1224.5742,CROSS_DOWN,-1947.2781499998632
LONG,2023-01-10 12:52:00+05:30,1224.17295,781,2023-01-10 12:54:00+05:30,1220.5782,CROSS_DOWN,-3190.8697499999817
LONG,2023-01-12 09:53:00+05:30,1199.5483499999998,794,2023-01-12 09:55:00+05:30,1197.4014,CROSS_DOWN,-2087.0882999998676
LONG,2023-01-12 10:02:00+05:30,1192.5914,797,2023-01-12 10:04:00+05:30,1189.9089,CROSS_DOWN,-2519.542500000094
LONG,2023-01-12 10:17:00+05:30,1191.4903,796,2023-01-12 10:19:00+05:30,1190.0088,CROSS_DOWN,-1560.4139999998959
