direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 13:11:00+05:30,1220.2785,819,2023-01-02 13:13:00+05:30,1222.9216999999999,CROSS_UP,-2564.3707999999824
LONG,2023-01-02 13:17:00+05:30,1223.3220999999999,815,2023-01-02 13:19:00+05:30,1221.02775,CROSS_DOWN,-2267.955249999914
SHORT,2023-01-02 14:17:00+05:30,1217.781,817,2023-01-02 14:19:00+05:30,1220.1189,CROSS_UP,-2308.054299999992
LONG,2023-01-02 14:56:00+05:30,1225.1239,810,2023-01-02 14:58:00+05:30,1224.774,CROSS_DOWN,-680.2990000001308
SHORT,2023-01-03 09:30:00+05:30,1218.3804,814,2023-01-03 09:32:00+05:30,1221.3200999999997,CROSS_UP,-2789.825799999736
LONG,2023-01-03 10:04:00+05:30,1225.1239,807,2023-01-03 10:06:00+05:30,1224.5742,CROSS_DOWN,-839.147900000024
SHORT,2023-01-03 11:25:00+05:30,1220.6781,809,2023-01-03 11:27:00+05:30,1222.2209999999998,CROSS_UP,-1643.5460999997495
LONG,2023-01-03 14:41:00+05:30,1220.3190999999997,808,2023-01-03 14:43:00+05:30,1217.781,CROSS_DOWN,-2444.924799999805
SHORT,2023-01-04 09:36:00+05:30,1211.5872,812,2023-01-04 09:38:00+05:30,1212.7615499999997,CROSS_UP,-1347.5821999998186
LONG,2023-01-04 14:11:00+05:30,1207.4062,814,2023-01-04 14:13:00+05:30,1204.6941000000002,CROSS_DOWN,-2600.619399999786
SHORT,2023-01-04 14:25:00+05:30,1202.14665,815,2023-01-04 14:27:00+05:30,1203.2019999999998,CROSS_UP,-1252.6802499998876
LONG,2023-01-05 09:34:00+05:30,1208.0067999999999,810,2023-01-05 09:36:00+05:30,1203.6951000000001,CROSS_DOWN,-3883.5469999997945
SHORT,2023-01-05 09:55:00+05:30,1204.0946999999999,810,2023-01-05 09:57:00+05:30,1204.85365,CROSS_UP,-1005.739500000114
LONG,2023-01-05 10:04:00+05:30,1205.85465,808,2023-01-05 10:06:00+05:30,1203.24555,CROSS_DOWN,-2498.162799999918
SHORT,2023-01-05 10:51:00+05:30,1200.34845,809,2023-01-05 10:53:00+05:30,1203.7024999999999,CROSS_UP,-3103.066449999932
LONG,2023-01-05 15:12:00+05:30,1197.4962999999998,808,2023-01-05 15:14:00+05:30,1195.6531499999999,CROSS_DOWN,-1877.0651999999382
SHORT,2023-01-06 12:42:00+05:30,1205.6431499999999,801,2023-01-06 12:44:00+05:30,1208.0568499999997,CROSS_UP,-2321.063699999868
