direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
LONG,2023-01-09 11:55:00+05:30,3307.8044999999997,302,2023-01-09 12:15:00+05:30,3299.74695,CROSS_DOWN,-2831.9700999998604
SHORT,2023-01-10 10:25:00+05:30,3236.11065,308,2023-01-10 10:45:00+05:30,3256.2529999999997,CROSS_UP,-6602.753799999885
LONG,2023-01-11 10:15:00+05:30,3342.7394,296,2023-01-11 10:35:00+05:30,3340.5061499999997,CROSS_DOWN,-1056.7920000000668
SHORT,2023-01-27 14:45:00+05:30,3397.599,291,2023-01-27 15:05:00+05:30,3418.5150999999996,CROSS_UP,-6482.655099999843
LONG,2023-01-30 10:45:00+05:30,3414.8113999999996,287,2023-01-30 11:05:00+05:30,3395.0016,CROSS_DOWN,-6076.4025999998685
SHORT,2023-01-31 11:05:00+05:30,3381.615,288,2023-01-31 11:25:00+05:30,3392.7393499999994,CROSS_UP,-3594.4827999998834
LONG,2023-02-02 10:25:00+05:30,3432.1286999999993,283,2023-02-02 10:45:00+05:30,3434.562,CROSS_DOWN,298.8939000001697
SHORT,2023-02-13 11:35:00+05:30,3479.8167000000003,279,2023-02-13 11:55:00+05:30,3486.3328499999993,CROSS_UP,-2207.515849999725
LONG,2023-02-14 12:25:00+05:30,3524.6210999999994,275,2023-02-14 12:45:00+05:30,3515.3811,CROSS_DOWN,-2929.089999999815
SHORT,2023-02-14 14:25:00+05:30,3500.1962999999996,276,2023-02-14 14:45:00+05:30,3507.8043,CROSS_UP,-2487.638000000048
LONG,2023-02-16 09:55:00+05:30,3568.4648999999995,270,2023-02-16 10:15:00+05:30,3559.9365,CROSS_DOWN,-2688.797999999917
SHORT,2023-02-17 14:45:00+05:30,3487.4091000000003,276,2023-02-17 15:05:00+05:30,3508.5049999999997,CROSS_UP,-6209.29839999982
LONG,2023-03-02 09:15:00+05:30,3358.1548,285,2023-03-02 09:35:00+05:30,3338.3583,CROSS_DOWN,-6024.902499999978
LONG,2023-03-06 09:25:00+05:30,3385.2818999999995,280,2023-03-06 09:45:00+05:30,3382.4142,CROSS_DOWN,-1184.0059999998127
SHORT,2023-03-09 12:35:00+05:30,3355.39125,283,2023-03-09 12:55:00+05:30,3359.3559999999998,CROSS_UP,-1503.974249999898
LONG,2023-03-24 10:05:00+05:30,3164.0609,299,2023-03-24 10:25:00+05:30,3162.4344,CROSS_DOWN,-866.8234999999554
SHORT,2023-03-28 11:55:00+05:30,3132.6642,302,2023-03-28 12:15:00+05:30,3133.1299999999997,CROSS_UP,-521.321599999846
SHORT,2023-03-28 15:05:00+05:30,3112.0847999999996,304,2023-03-28 15:25:00+05:30,3120.1169999999997,CROSS_UP,-2822.598800000031
LONG,2023-03-31 09:55:00+05:30,3165.6624999999995,298,2023-03-31 10:15:00+05:30,3152.2945499999996,CROSS_DOWN,-4362.209099999951
SHORT,2023-04-11 13:15:00+05:30,3201.795,293,2023-04-11 13:35:00+05:30,3213.1099,CROSS_UP,-3693.3356999999564
LONG,2023-04-12 14:25:00+05:30,3252.3490999999995,287,2023-04-12 14:45:00+05:30,3232.4642999999996,CROSS_DOWN,-6081.497599999947
SHORT,2023-04-13 09:45:00+05:30,3181.9648500000003,292,2023-04-13 10:05:00+05:30,3187.43425,CROSS_UP,-1971.8447999998527
LONG,2023-04-21 13:25:00+05:30,3138.1349999999998,295,2023-04-21 13:45:00+05:30,3142.5543,CROSS_DOWN,929.8335000000061
SHORT,2023-05-03 11:45:00+05:30,3182.2146000000002,291,2023-05-03 12:05:00+05:30,3181.9788,CROSS_UP,-304.95219999988905
LONG,2023-05-04 11:55:00+05:30,3216.3631499999997,288,2023-05-04 12:15:00+05:30,3212.6841,CROSS_DOWN,-1432.9463999999234
SHORT,2023-05-16 09:25:00+05:30,3261.88485,284,2023-05-16 09:45:00+05:30,3280.2769999999996,CROSS_UP,-5597.420599999908
LONG,2023-05-22 11:25:00+05:30,3254.4511999999995,283,2023-05-22 11:45:00+05:30,3261.48525,CROSS_DOWN,1618.2561500001873
SHORT,2023-05-31 12:45:00+05:30,3306.69,279,2023-05-31 13:05:00+05:30,3313.8104999999996,CROSS_UP,-2359.109499999871
LONG,2023-06-01 10:05:00+05:30,3336.3329999999996,276,2023-06-01 10:25:00+05:30,3329.11755,CROSS_DOWN,-2362.634199999915
SHORT,2023-06-02 11:25:00+05:30,3307.33935,277,2023-06-02 11:45:00+05:30,3314.9115999999995,CROSS_UP,-2467.7432499997944
LONG,2023-06-12 14:35:00+05:30,3254.9516999999996,281,2023-06-12 14:55:00+05:30,3245.9507999999996,CROSS_DOWN,-2898.0929000000006
SHORT,2023-06-14 10:15:00+05:30,3230.1666,282,2023-06-14 10:35:00+05:30,3236.3831499999997,CROSS_UP,-2121.437099999899
LONG,2023-06-14 13:35:00+05:30,3254.30105,279,2023-06-14 13:55:00+05:30,3248.39835,CROSS_DOWN,-2013.5933000000266
SHORT,2023-06-15 10:55:00+05:30,3228.6681,281,2023-06-15 11:15:00+05:30,3224.1709499999993,CROSS_UP,896.8191500001692
LONG,2023-06-20 12:55:00+05:30,3228.2249999999995,281,2023-06-20 13:15:00+05:30,3222.72405,CROSS_DOWN,-1912.246949999901
SHORT,2023-06-23 14:25:00+05:30,3212.43435,282,2023-06-23 14:45:00+05:30,3222.6694499999994,CROSS_UP,-3252.9781999998363
LONG,2023-06-28 13:35:00+05:30,3227.4742499999998,280,2023-06-28 13:55:00+05:30,3222.5742,CROSS_DOWN,-1737.3339999999266
SHORT,2023-07-10 11:15:00+05:30,3281.2155,275,2023-07-10 11:35:00+05:30,3287.9346499999997,CROSS_UP,-2213.1162499999723
LONG,2023-07-13 10:45:00+05:30,3356.7533999999996,268,2023-07-13 11:05:00+05:30,3350.6959500000003,CROSS_DOWN,-1987.2065999998217
SHORT,2023-07-20 11:25:00+05:30,3445.4511,260,2023-07-20 11:45:00+05:30,3446.3929499999995,CROSS_UP,-607.8309999998048
LONG,2023-07-31 11:55:00+05:30,3406.403,263,2023-07-31 12:15:00+05:30,3404.7918,CROSS_DOWN,-786.5755999999542
SHORT,2023-08-03 12:35:00+05:30,3375.5211,265,2023-08-03 12:55:00+05:30,3382.8294499999993,CROSS_UP,-2299.312749999824
LONG,2023-08-04 10:35:00+05:30,3451.19775,259,2023-08-04 10:55:00+05:30,3443.00355,CROSS_DOWN,-2483.937799999977
