direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:17:00+05:30,3256.09065,307,2023-01-02 09:19:00+05:30,3256.7535,CROSS_UP,-603.0249499999102
LONG,2023-01-02 09:53:00+05:30,3257.2539999999995,306,2023-01-02 09:55:00+05:30,3251.49525,CROSS_DOWN,-2160.1674999998495
SHORT,2023-01-02 10:27:00+05:30,3249.5472,306,2023-01-02 10:29:00+05:30,3254.30105,CROSS_UP,-1852.4381000000174
LONG,2023-01-02 11:05:00+05:30,3250.1468999999997,306,2023-01-02 11:07:00+05:30,3242.4543,CROSS_DOWN,-2750.9855999999563
SHORT,2023-01-02 12:30:00+05:30,3248.3484,305,2023-01-02 12:32:00+05:30,3255.8525999999997,CROSS_UP,-2685.320999999956
SHORT,2023-01-02 12:40:00+05:30,3246.75,304,2023-01-02 12:42:00+05:30,3254.6513999999997,CROSS_UP,-2797.255599999921
LONG,2023-01-02 12:49:00+05:30,3259.256,302,2023-01-02 12:51:00+05:30,3253.743,CROSS_DOWN,-2058.5659999999757
SHORT,2023-01-02 13:00:00+05:30,3249.3474,303,2023-01-02 13:02:00+05:30,3257.0537999999997,CROSS_UP,-2729.3991999998716
LONG,2023-01-02 13:03:00+05:30,3257.0537999999997,301,2023-01-02 13:05:00+05:30,3250.5462,CROSS_DOWN,-2350.9675999998362
SHORT,2023-01-02 13:46:00+05:30,3252.89385,301,2023-01-02 13:48:00+05:30,3261.8085499999997,CROSS_UP,-3075.794699999943
LONG,2023-01-02 13:52:00+05:30,3263.6603999999998,299,2023-01-02 13:54:00+05:30,3257.38935,CROSS_DOWN,-2265.6439499999497
SHORT,2023-01-02 14:16:00+05:30,3250.1466,299,2023-01-02 14:18:00+05:30,3252.7494999999994,CROSS_UP,-1168.0270999998231
LONG,2023-01-02 14:47:00+05:30,3259.80655,298,2023-01-02 14:49:00+05:30,3253.5931499999997,CROSS_DOWN,-2240.6432000000277
SHORT,2023-01-03 09:17:00+05:30,3253.89285,298,2023-01-03 09:19:00+05:30,3261.258,CROSS_UP,-2583.9146999998898
LONG,2023-01-03 09:32:00+05:30,3272.269,296,2023-01-03 09:34:00+05:30,3263.5332000000003,CROSS_DOWN,-2973.6467999998436
SHORT,2023-01-03 12:20:00+05:30,3300.84585,292,2023-01-03 12:22:00+05:30,3305.3019999999997,CROSS_UP,-1688.1957999998613
LONG,2023-01-03 12:38:00+05:30,3307.85455,291,2023-01-03 12:40:00+05:30,3301.7449500000002,CROSS_DOWN,-2163.853599999934
SHORT,2023-01-03 12:47:00+05:30,3300.3463500000003,291,2023-01-03 12:49:00+05:30,3305.7023999999997,CROSS_UP,-1944.4105499998293
LONG,2023-01-03 13:13:00+05:30,3309.3059999999996,290,2023-01-03 13:15:00+05:30,3304.692,CROSS_DOWN,-1723.1299999998778
