direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 10:34:00+05:30,3241.00575,308,2023-01-02 10:36:00+05:30,3246.79355,CROSS_UP,-2181.792400000019
LONG,2023-01-02 11:14:00+05:30,3249.79655,307,2023-01-02 11:16:00+05:30,3241.80495,CROSS_DOWN,-2851.5511999999494
SHORT,2023-01-02 12:43:00+05:30,3247.9487999999997,306,2023-01-02 12:45:00+05:30,3253.6503999999995,CROSS_UP,-2142.2995999999607
LONG,2023-01-02 12:51:00+05:30,3260.2569999999996,304,2023-01-02 12:53:00+05:30,3251.59515,CROSS_DOWN,-3028.9723999998487
SHORT,2023-01-02 14:19:00+05:30,3244.3523999999998,305,2023-01-02 14:21:00+05:30,3247.2439999999997,CROSS_UP,-1277.9579999999773
LONG,2023-01-02 14:54:00+05:30,3263.2599999999998,302,2023-01-02 14:56:00+05:30,3258.7879500000004,CROSS_DOWN,-1744.7190999998184
SHORT,2023-01-03 09:29:00+05:30,3254.89185,303,2023-01-03 09:31:00+05:30,3269.0658,CROSS_UP,-4689.796849999962
LONG,2023-01-03 09:37:00+05:30,3273.9706999999994,299,2023-01-03 09:39:00+05:30,3267.27945,CROSS_DOWN,-2392.3337499998206
SHORT,2023-01-03 12:27:00+05:30,3297.1995,297,2023-01-03 12:29:00+05:30,3304.0507499999994,CROSS_UP,-2427.3012499997785
LONG,2023-01-03 13:16:00+05:30,3311.1077999999998,295,2023-01-03 13:18:00+05:30,3303.1935,CROSS_DOWN,-2725.5184999999738
SHORT,2023-01-03 13:53:00+05:30,3302.64405,295,2023-01-03 13:55:00+05:30,3310.6072999999997,CROSS_UP,-2739.898749999938
LONG,2023-01-03 14:02:00+05:30,3310.4070999999994,293,2023-01-03 14:04:00+05:30,3304.94175,CROSS_DOWN,-1989.9575499998502
SHORT,2023-01-03 15:17:00+05:30,3307.23945,293,2023-01-03 15:19:00+05:30,3314.3109999999997,CROSS_UP,-2460.8341499999005
LONG,2023-01-04 10:23:00+05:30,3304.3009999999995,292,2023-01-04 10:25:00+05:30,3296.35035,CROSS_DOWN,-2708.1897999997996
SHORT,2023-01-04 10:53:00+05:30,3289.85685,293,2023-01-04 10:55:00+05:30,3298.1948999999995,CROSS_UP,-2830.1486499998196
LONG,2023-01-04 11:18:00+05:30,3301.5982999999997,291,2023-01-04 11:20:00+05:30,3295.1016,CROSS_DOWN,-2275.8196999999104
SHORT,2023-01-04 11:47:00+05:30,3291.705,291,2023-01-04 11:49:00+05:30,3296.2929999999997,CROSS_UP,-1720.0079999999239
LONG,2023-01-04 12:28:00+05:30,3298.9456499999997,290,2023-01-04 12:30:00+05:30,3291.25545,CROSS_DOWN,-2613.9079999998694
SHORT,2023-01-04 14:29:00+05:30,3313.683,288,2023-01-04 14:31:00+05:30,3318.1648499999997,CROSS_UP,-1674.4227999999043
LONG,2023-01-04 15:11:00+05:30,3320.0166999999997,287,2023-01-04 15:13:00+05:30,3312.53415,CROSS_DOWN,-2529.9018499999192
SHORT,2023-01-04 15:29:00+05:30,3309.7869,287,2023-01-05 09:16:00+05:30,3319.96665,CROSS_UP,-3303.7782499999385
SHORT,2023-01-05 09:57:00+05:30,3308.93775,286,2023-01-05 09:59:00+05:30,3313.7104,CROSS_UP,-1745.807899999967
LONG,2023-01-05 10:27:00+05:30,3323.7203999999997,284,2023-01-05 10:29:00+05:30,3317.4792,CROSS_DOWN,-2151.8807999998526
SHORT,2023-01-05 11:05:00+05:30,3317.1795,284,2023-01-05 11:07:00+05:30,3324.2709499999996,CROSS_UP,-2393.341799999841
LONG,2023-01-05 11:19:00+05:30,3326.6232999999997,282,2023-01-05 11:21:00+05:30,3316.82985,CROSS_DOWN,-3138.802899999906
SHORT,2023-01-05 11:39:00+05:30,3317.1795,282,2023-01-05 11:41:00+05:30,3323.3199999999997,CROSS_UP,-2108.6409999998646
LONG,2023-01-05 13:16:00+05:30,3301.0477499999997,283,2023-01-05 13:18:00+05:30,3291.8049,CROSS_DOWN,-2991.4365499998967
SHORT,2023-01-05 13:47:00+05:30,3288.75795,283,2023-01-05 13:49:00+05:30,3295.2919999999995,CROSS_UP,-2224.4961499998008
LONG,2023-01-05 14:32:00+05:30,3295.1919,282,2023-01-05 14:34:00+05:30,3287.95875,CROSS_DOWN,-2413.8783000000067
SHORT,2023-01-06 09:21:00+05:30,3272.3244,283,2023-01-06 09:23:00+05:30,3282.2789999999995,CROSS_UP,-3190.931799999879
LONG,2023-01-06 13:57:00+05:30,3215.4121999999993,287,2023-01-06 13:59:00+05:30,3208.4883,CROSS_DOWN,-2359.0392999998053
SHORT,2023-01-06 14:08:00+05:30,3197.799,288,2023-01-06 14:10:00+05:30,3205.0518499999994,CROSS_UP,-2460.7507999998265
LONG,2023-01-06 14:43:00+05:30,3205.2019999999998,287,2023-01-06 14:45:00+05:30,3197.84895,CROSS_DOWN,-2481.1353499999173
LONG,2023-01-06 14:50:00+05:30,3209.4562499999997,286,2023-01-06 14:52:00+05:30,3202.794,CROSS_DOWN,-2275.5734999999595
