token,interval,split,strategy,fast,slow,gross_pnl,total_fees,net_pnl,equity_final,total_return,win_rate,profit_factor,trades,best_trade,worst_trade,median_trade,avg_win,avg_loss,expectancy,exposure,avg_holding,median_holding,max_win_streak,max_loss_streak,cagr,volatility,sharpe,sortino,max_drawdown,calmar,monthly_returns,period,overbought,oversold,signal
RELIANCE,minute,ALL,EMA_CROSS,8.0,20.0,-795433.9724499573,203456.04,-998890.0124499572,1109.9875500435978,-99.88900124499564,0.4735595895816891,0.001518896464888087,2534,594.9176000000126,-4197.817199999956,-93.34587499999836,126.62654166668665,-396.6730891950664,-394.19495361087496,7.1338570691652645,6.658247829518547,2.0,1,1051,-93.04875328911926,27.050861263976806,-6.5967889249808636,-0.4442172295095068,-99.88900124499564,-0.9315215101700792,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -56.750527507608425, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -64.2963285646541, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -59.70759775365312, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -69.73717750359071, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.916114984840135, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -53.34136148163625, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -10.605142669660806, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.0064366369785156, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.469241504642618, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
RELIANCE,minute,TRAIN,EMA_CROSS,8.0,20.0,-795433.9724499573,203456.04,-998890.0124499572,1109.9875500435978,-99.88900124499564,0.4735595895816891,0.001518896464888087,2534,594.9176000000126,-4197.817199999956,-93.34587499999836,126.62654166668665,-396.6730891950664,-394.19495361087496,10.191236696183722,6.658247829518547,2.0,1,1051,-97.77503186269563,31.10784731582854,-8.187408467818143,-0.6340129523780405,-99.88900124499564,-0.9788368153054696,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -56.750527507608425, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -64.2963285646541, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -59.70759775365312, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -69.73717750359071, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.916114984840135, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -53.34136148163625, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -10.605142669660806, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.0064366369785156, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.469241504642618, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
RELIANCE,minute,TEST,EMA_CROSS,8.0,20.0,-794063.8417499582,204527.23,-998591.0717499582,1408.9282500421846,-99.85910717499578,0.7661290322580645,0.0037617189437307006,2480,1578.0421499999825,-5300.2097499999345,-107.08875000000018,198.45278421054627,-407.2985268793005,-402.65769022175726,32.103393843725335,9.18467741935484,2.0,1,418,-99.98148613904318,35.67818027461399,-16.242993205353226,-1.7416957376141806,-99.85910717499578,-1.001225516305017,"{Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): -48.36906321380261, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): -60.53825009141828, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): -67.11674248687152, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): -60.12806290866726, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): -59.613666193434966, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): -51.31392089250586, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): -53.17670104158554, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): -13.247163771962423, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): -0.5950910876314275}",,,,
RELIANCE,minute,ALL,EMA_CROSS,8.0,21.0,-796129.0155999581,202761.83,-998890.8455999581,1109.1544000427582,-99.88908455999572,0.39370078740157477,0.0007804112552251641,2540,298.40525000007415,-4287.275199999955,-91.25235000000004,78.01545000002035,-395.126877509865,-393.26411244092844,7.300057081245639,6.797244094488189,2.0,1,1028,-93.05079851485465,26.720075471984988,-6.684389530066748,-0.4288414472657323,-99.88908455999572,-0.9315412081784187,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -56.06639562277211, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -63.272482731414634, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -58.76497285400686, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -69.3170692975062, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.90679225096536, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -50.685996996985324, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -24.06938053839078, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.1935430735147263, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.443474940459746, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
RELIANCE,minute,TRAIN,EMA_CROSS,8.0,21.0,-796129.0155999581,202761.83,-998890.8455999581,1109.1544000427582,-99.88908455999572,0.39370078740157477,0.0007804112552251641,2540,298.40525000007415,-4287.275199999955,-91.25235000000004,78.01545000002035,-395.126877509865,-393.26411244092844,10.428684469626042,6.797244094488189,2.0,1,1028,-97.77596614424753,30.69467574044213,-8.304989964895343,-0.6120677317789625,-99.88908455999572,-0.9788453520716871,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -56.06639562277211, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -63.272482731414634, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -58.76497285400686, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -69.3170692975062, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.90679225096536, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -50.685996996985324, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -24.06938053839078, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.1935430735147263, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.443474940459746, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
RELIANCE,minute,TEST,EMA_CROSS,8.0,21.0,-793610.1297999583,204980.45,-998590.5797999583,1409.420200040738,-99.85905797999594,0.7191370355573312,0.003644224931283752,2503,1574.8557999999825,-5312.062999999935,-106.44574999999794,202.91104722223713,-403.3170940241282,-398.9574829404548,30.67707746081858,8.695964842189372,2.0,1,496,-99.98147767576644,33.938599849952816,-17.09321636497622,-1.9862344584419374,-99.85905797999594,-1.0012259248008832,"{Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): -47.74081321295141, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): -58.3463081690345, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): -65.34169673646807, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): -59.04274280823487, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): -58.79703126589634, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): -51.18019009171368, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): -51.21819299219463, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): -29.28737862287968, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): -0.7793084387123894}",,,,
RELIANCE,minute,ALL,EMA_CROSS,9.0,20.0,-795568.1480999584,203322.53,-998890.6780999583,1109.3219000413726,-99.88906780999585,0.3929273084479371,0.0004951053525374782,2545,249.46949999994754,-4340.953999999954,-89.63624999999058,49.48011000001321,-394.23490303745893,-392.4914255795514,7.304254437519556,6.787819253438114,2.0,1,1002,-93.05038725901545,26.335700424147664,-6.786886743537379,-0.44194341318175423,-99.88906780999585,-0.9315372472592436,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -54.88280845243071, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -61.73641377233277, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -57.990006350973786, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -68.78600528919134, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.77353174079228, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -50.10711943532413, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -33.4095053266614, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.193100717312647, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.433235143629755, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
RELIANCE,minute,TRAIN,EMA_CROSS,9.0,20.0,-795568.1480999584,203322.53,-998890.6780999583,1109.3219000413726,-99.88906780999585,0.3929273084479371,0.0004951053525374782,2545,249.46949999994754,-4340.953999999954,-89.63624999999058,49.48011000001321,-394.23490303745893,-392.4914255795514,10.43466180219143,6.787819253438114,2.0,1,1002,-97.77577828750418,30.21474155070793,-8.443049250034646,-0.6307676280021363,-99.88906780999585,-0.9788436355566811,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -54.88280845243071, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -61.73641377233277, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -57.990006350973786, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -68.78600528919134, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.77353174079228, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -50.10711943532413, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -33.4095053266614, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.193100717312647, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.433235143629755, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
RELIANCE,minute,TEST,EMA_CROSS,9.0,20.0,-794290.1512499595,204298.49,-998588.6412499595,1411.3587500401175,-99.85886412499599,0.6377042646472698,0.0037004477342202622,2509,1581.2384999999827,-4864.521999999866,-99.9158999999973,231.80936562501705,-402.04476177294816,-398.00264697088863,37.753692637275904,10.676365085691511,2.0,1,480,-99.98144431697482,33.621654761160855,-17.25391574179291,-1.8582135870651963,-99.85886412499599,-1.0012275344112205,"{Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): -46.521637063139885, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): -57.31830282200712, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): -64.66091733668998, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): -58.46245243444562, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): -58.6106982217585, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): -50.99929922038069, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): -50.29199859794247, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): -36.66869934947553, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): -1.0398343136266197}",,,,
RELIANCE,minute,ALL,EMA_CROSS,9.0,21.0,-796535.0220499575,202355.17,-998890.1920499575,1109.8079500430676,-99.88901920499569,0.43255996854109324,0.0005705519492064563,2543,258.9717499999459,-4403.567599999954,-95.06124999999658,51.8403727272812,-394.73160985385374,-392.7999182264875,9.873364199488382,9.182461659457333,2.0,1,713,-93.04919409421657,25.940147682589892,-6.8959401241762945,-0.4512604674955103,-99.88901920499569,-0.9315257556314354,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -53.7304907170969, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -60.075073100804765, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -57.324536983661844, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -68.19934560973854, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -62.116194669658476, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -50.73020525711479, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -41.954657269284226, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -3.261146922879321, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -4.287955961231749, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): 0.0}",,,,
