direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:21:00+05:30,1217.0817,821,2023-01-02 09:27:00+05:30,1218.9177,CROSS_UP,-1906.8260000000105
SHORT,2023-01-02 11:27:00+05:30,1219.6791,818,2023-01-02 11:33:00+05:30,1220.6194,CROSS_UP,-1168.0553999999831
LONG,2023-01-02 12:18:00+05:30,1223.1218999999999,815,2023-01-02 12:24:00+05:30,1219.6791,CROSS_DOWN,-3203.621999999842
SHORT,2023-01-02 13:54:00+05:30,1221.777,813,2023-01-02 14:03:00+05:30,1222.4212,CROSS_UP,-921.0645999999635
LONG,2023-01-02 14:51:00+05:30,1224.1228999999998,811,2023-01-02 14:57:00+05:30,1223.9748,CROSS_DOWN,-517.1790999999074
SHORT,2023-01-03 09:24:00+05:30,1217.53125,814,2023-01-03 09:30:00+05:30,1221.3200999999997,CROSS_UP,-3480.8338999997427
LONG,2023-01-03 10:06:00+05:30,1226.1249,806,2023-01-03 10:12:00+05:30,1223.72505,CROSS_DOWN,-2329.239100000012
SHORT,2023-01-03 10:33:00+05:30,1222.8759,806,2023-01-03 10:39:00+05:30,1225.8245999999997,CROSS_UP,-2771.4021999997503
SHORT,2023-01-03 11:21:00+05:30,1220.2785,806,2023-01-03 11:27:00+05:30,1223.37215,CROSS_UP,-2887.50190000002
LONG,2023-01-03 13:39:00+05:30,1217.7164999999998,805,2023-01-03 13:45:00+05:30,1214.9838,CROSS_DOWN,-2591.893499999835
SHORT,2023-01-03 14:15:00+05:30,1214.9838,805,2023-01-03 14:21:00+05:30,1218.5172999999998,CROSS_UP,-3236.57749999982
LONG,2023-01-03 14:24:00+05:30,1218.4171999999999,800,2023-01-03 14:30:00+05:30,1216.4823000000001,CROSS_DOWN,-1938.2199999997947
SHORT,2023-01-04 09:21:00+05:30,1214.9838,800,2023-01-04 09:27:00+05:30,1218.7675499999998,CROSS_UP,-3416.979999999862
LONG,2023-01-04 11:24:00+05:30,1211.9107,800,2023-01-04 11:30:00+05:30,1209.4893,CROSS_DOWN,-2325.479999999959
SHORT,2023-01-04 11:51:00+05:30,1206.44235,801,2023-01-04 11:57:00+05:30,1207.9067,CROSS_UP,-1560.8243499999742
LONG,2023-01-04 13:54:00+05:30,1207.5062999999998,799,2023-01-04 14:00:00+05:30,1205.2935,CROSS_DOWN,-2154.757199999831
SHORT,2023-01-04 14:27:00+05:30,1201.6971,801,2023-01-04 14:33:00+05:30,1203.7024999999999,CROSS_UP,-1992.885399999825
LONG,2023-01-05 09:30:00+05:30,1207.9067,796,2023-01-05 09:36:00+05:30,1203.5952,CROSS_DOWN,-3817.054000000019
SHORT,2023-01-05 10:48:00+05:30,1200.8979,797,2023-01-05 10:54:00+05:30,1202.8015999999998,CROSS_UP,-1901.8888999998758
LONG,2023-01-05 14:00:00+05:30,1199.64845,796,2023-01-05 14:06:00+05:30,1195.7031000000002,CROSS_DOWN,-3523.358599999789
SHORT,2023-01-05 14:15:00+05:30,1192.95585,798,2023-01-05 14:21:00+05:30,1195.0938999999998,CROSS_UP,-2089.0038999998355
LONG,2023-01-05 14:45:00+05:30,1197.2960999999998,793,2023-01-05 14:51:00+05:30,1194.9039,CROSS_DOWN,-2278.314599999822
SHORT,2023-01-06 10:48:00+05:30,1206.9418500000002,785,2023-01-06 10:54:00+05:30,1211.3100999999997,CROSS_UP,-3810.426249999635
SHORT,2023-01-06 11:15:00+05:30,1207.54125,781,2023-01-06 11:21:00+05:30,1210.6094,CROSS_UP,-2775.9851500000464
SHORT,2023-01-06 12:33:00+05:30,1208.64015,778,2023-01-06 12:39:00+05:30,1208.0067999999999,CROSS_UP,114.16630000004977
LONG,2023-01-06 14:27:00+05:30,1207.5563499999998,779,2023-01-06 14:33:00+05:30,1205.9928,CROSS_DOWN,-1596.4054499998833
SHORT,2023-01-09 12:33:00+05:30,1231.2675,763,2023-01-09 12:39:00+05:30,1234.7334999999998,CROSS_UP,-3023.0479999999193
LONG,2023-01-09 14:27:00+05:30,1233.9326999999998,759,2023-01-09 14:33:00+05:30,1232.2665,CROSS_DOWN,-1641.5657999999164
SHORT,2023-01-09 15:00:00+05:30,1234.5642,757,2023-01-09 15:06:00+05:30,1238.8375999999998,CROSS_UP,-3611.7737999998567
SHORT,2023-01-10 09:27:00+05:30,1230.91785,756,2023-01-10 09:33:00+05:30,1233.232,CROSS_UP,-2124.7873999999447
LONG,2023-01-10 12:12:00+05:30,1230.2289999999998,755,2023-01-10 12:18:00+05:30,1226.772,CROSS_DOWN,-2983.8549999999095
SHORT,2023-01-10 12:21:00+05:30,1225.8728999999998,755,2023-01-10 12:27:00+05:30,1229.0277999999998,CROSS_UP,-2755.5094999999983
LONG,2023-01-10 15:15:00+05:30,1219.9187,757,2023-01-10 15:21:00+05:30,1217.4813000000001,CROSS_DOWN,-2217.2717999998467
SHORT,2023-01-10 15:24:00+05:30,1219.5792,755,2023-01-10 15:27:00+05:30,1222.2209999999998,EOD,-2366.418999999906
SHORT,2023-01-11 09:18:00+05:30,1212.6861000000001,757,2023-01-11 09:24:00+05:30,1212.5113,CROSS_UP,-238.4263999998243
LONG,2023-01-11 10:42:00+05:30,1212.2109999999998,758,2023-01-11 10:48:00+05:30,1208.1906000000001,CROSS_DOWN,-3417.6431999997376
LONG,2023-01-11 12:09:00+05:30,1211.3100999999997,755,2023-01-11 12:15:00+05:30,1208.3904,CROSS_DOWN,-2573.273499999769
SHORT,2023-01-11 12:39:00+05:30,1207.0917,756,2023-01-11 12:45:00+05:30,1209.4081999999999,CROSS_UP,-2120.2239999999288
LONG,2023-01-11 13:30:00+05:30,1210.3090999999997,752,2023-01-11 13:36:00+05:30,1207.5911999999998,CROSS_DOWN,-2411.260799999904
SHORT,2023-01-11 13:51:00+05:30,1206.3924,753,2023-01-11 13:57:00+05:30,1208.1069,CROSS_UP,-1658.478500000033
LONG,2023-01-12 09:36:00+05:30,1204.75355,752,2023-01-12 09:42:00+05:30,1200.798,CROSS_DOWN,-3340.233599999927
LONG,2023-01-12 15:24:00+05:30,1180.8797,765,2023-01-12 15:27:00+05:30,1178.4204,EOD,-2246.4244999999883
SHORT,2023-01-13 09:18:00+05:30,1168.5303000000001,771,2023-01-13 09:24:00+05:30,1171.6705,CROSS_UP,-2785.9941999998628
LONG,2023-01-13 10:45:00+05:30,1168.3672,768,2023-01-13 10:51:00+05:30,1165.98285,CROSS_DOWN,-2194.110799999856
SHORT,2023-01-13 11:00:00+05:30,1164.5343,769,2023-01-13 11:06:00+05:30,1165.91475,CROSS_UP,-1424.4660499999097
LONG,2023-01-13 11:18:00+05:30,1168.6674999999998,765,2023-01-13 11:24:00+05:30,1167.4314,CROSS_DOWN,-1307.6464999998861
SHORT,2023-01-13 11:48:00+05:30,1165.0338000000002,766,2023-01-13 11:54:00+05:30,1168.8677,CROSS_UP,-3298.697399999891
LONG,2023-01-13 12:03:00+05:30,1169.3682,761,2023-01-13 12:09:00+05:30,1167.18165,CROSS_DOWN,-2024.3245499999218
SHORT,2023-01-13 14:54:00+05:30,1173.0258000000001,757,2023-01-13 15:00:00+05:30,1178.4772999999998,CROSS_UP,-4487.225499999749
LONG,2023-01-13 15:03:00+05:30,1176.32515,751,2023-01-13 15:09:00+05:30,1175.07375,CROSS_DOWN,-1298.1013999999068
SHORT,2023-01-16 09:42:00+05:30,1173.4253999999999,751,2023-01-16 09:48:00+05:30,1173.0719,CROSS_UP,-92.29150000004506
LONG,2023-01-16 11:45:00+05:30,1174.7735999999998,751,2023-01-16 11:51:00+05:30,1172.1267,CROSS_DOWN,-2345.411899999799
SHORT,2023-01-16 12:33:00+05:30,1170.5283,751,2023-01-16 12:39:00+05:30,1172.7715999999998,CROSS_UP,-2041.858299999897
LONG,2023-01-16 15:21:00+05:30,1165.7645999999997,753,2023-01-16 15:27:00+05:30,1163.6352,CROSS_DOWN,-1959.5681999998533
SHORT,2023-01-17 11:00:00+05:30,1171.0278,747,2023-01-17 11:06:00+05:30,1172.0208499999999,CROSS_UP,-1097.3683499998597
LONG,2023-01-17 11:30:00+05:30,1175.7745999999997,744,2023-01-17 11:36:00+05:30,1173.6751499999998,CROSS_DOWN,-1917.0607999999504
SHORT,2023-01-17 13:09:00+05:30,1173.2256,744,2023-01-17 13:15:00+05:30,1175.4742999999999,CROSS_UP,-2027.9927999999045
LONG,2023-01-17 13:36:00+05:30,1177.8767,739,2023-01-17 13:42:00+05:30,1175.4234,CROSS_DOWN,-2166.4687000000936
SHORT,2023-01-18 09:24:00+05:30,1171.6272,741,2023-01-18 09:30:00+05:30,1175.9747999999997,CROSS_UP,-3574.971599999874
LONG,2023-01-18 10:12:00+05:30,1178.9277499999998,733,2023-01-18 10:18:00+05:30,1174.6741499999998,CROSS_DOWN,-3468.7688000000044
SHORT,2023-01-18 10:21:00+05:30,1175.3235,733,2023-01-18 10:27:00+05:30,1177.9768,CROSS_UP,-2295.8388999999593
LONG,2023-01-18 10:42:00+05:30,1179.5283499999998,728,2023-01-18 10:48:00+05:30,1178.6201999999998,CROSS_DOWN,-1010.7931999999839
SHORT,2023-01-18 14:06:00+05:30,1180.1187,727,2023-01-18 14:12:00+05:30,1183.7325499999997,CROSS_UP,-2977.0289499998034
LONG,2023-01-19 10:51:00+05:30,1178.2770999999998,725,2023-01-19 10:57:00+05:30,1176.822,CROSS_DOWN,-1402.927499999929
SHORT,2023-01-19 12:51:00+05:30,1177.3215,725,2023-01-19 12:57:00+05:30,1179.5783999999999,CROSS_UP,-1984.4024999998983
