direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
LONG,2023-01-02 10:30:00+05:30,1222.4212,818,2023-01-02 10:36:00+05:30,1220.1786000000002,CROSS_DOWN,-2233.5467999998455
SHORT,2023-01-02 15:00:00+05:30,1226.22255,813,2023-01-02 15:06:00+05:30,1228.9277,CROSS_UP,-2597.9969500000025
SHORT,2023-01-03 10:09:00+05:30,1223.6251499999998,813,2023-01-03 10:15:00+05:30,1225.7244999999998,CROSS_UP,-2104.7115499999663
LONG,2023-01-03 12:12:00+05:30,1218.0668499999997,815,2023-01-03 12:18:00+05:30,1215.1836,CROSS_DOWN,-2746.258749999702
LONG,2023-01-04 09:39:00+05:30,1211.8105999999998,817,2023-01-04 09:45:00+05:30,1207.3914,CROSS_DOWN,-4005.596399999852
LONG,2023-01-04 09:57:00+05:30,1208.4071999999999,816,2023-01-04 10:06:00+05:30,1206.4923000000001,CROSS_DOWN,-1956.8483999998052
LONG,2023-01-04 10:09:00+05:30,1209.8085999999998,813,2023-01-04 10:15:00+05:30,1206.2925,CROSS_DOWN,-3251.6392999998566
LONG,2023-01-04 12:03:00+05:30,1205.7044999999998,813,2023-01-04 12:09:00+05:30,1202.24655,CROSS_DOWN,-3203.1933499998013
LONG,2023-01-04 14:51:00+05:30,1201.1999999999998,814,2023-01-04 14:57:00+05:30,1199.9988,CROSS_DOWN,-1369.3167999997918
LONG,2023-01-05 10:57:00+05:30,1202.3010999999997,812,2023-01-05 11:03:00+05:30,1199.24955,CROSS_DOWN,-2868.4285999997396
SHORT,2023-01-06 09:18:00+05:30,1202.796,809,2023-01-06 09:27:00+05:30,1209.9087,CROSS_UP,-6144.714299999922
SHORT,2023-01-06 09:33:00+05:30,1212.1866,798,2023-01-06 09:39:00+05:30,1213.5122999999999,CROSS_UP,-1446.1085999998961
LONG,2023-01-06 13:03:00+05:30,1205.7545499999999,801,2023-01-06 13:09:00+05:30,1203.8949,CROSS_DOWN,-1876.7496499998992
SHORT,2023-01-09 09:30:00+05:30,1217.9808,791,2023-01-09 09:36:00+05:30,1221.7705499999997,CROSS_UP,-3384.652249999751
SHORT,2023-01-09 11:09:00+05:30,1231.4673,780,2023-01-09 11:15:00+05:30,1235.3340999999998,CROSS_UP,-3402.0439999998316
SHORT,2023-01-09 11:39:00+05:30,1234.8638999999998,775,2023-01-09 11:45:00+05:30,1236.235,CROSS_UP,-1447.1725000000538
LONG,2023-01-09 13:48:00+05:30,1229.3280999999997,777,2023-01-09 13:54:00+05:30,1229.7190500000002,CROSS_DOWN,-80.18184999966587
LONG,2023-01-10 09:33:00+05:30,1233.232,775,2023-01-10 09:39:00+05:30,1230.01875,CROSS_DOWN,-2873.618750000013
SHORT,2023-01-10 12:12:00+05:30,1227.771,776,2023-01-10 12:18:00+05:30,1229.2279999999998,CROSS_UP,-1513.7019999999068
LONG,2023-01-10 12:45:00+05:30,1225.1239,776,2023-01-10 12:51:00+05:30,1221.4273500000002,CROSS_DOWN,-3249.972799999913
LONG,2023-01-10 14:45:00+05:30,1217.216,779,2023-01-10 14:51:00+05:30,1216.1826,CROSS_DOWN,-1186.1885999998453
LONG,2023-01-11 09:54:00+05:30,1209.0077999999999,783,2023-01-11 10:00:00+05:30,1207.6911,CROSS_DOWN,-1411.5260999998866
LONG,2023-01-11 10:57:00+05:30,1209.5082999999997,781,2023-01-11 11:03:00+05:30,1207.04175,CROSS_DOWN,-2305.965549999721
SHORT,2023-01-11 12:24:00+05:30,1209.0897,780,2023-01-11 12:30:00+05:30,1210.6594499999999,CROSS_UP,-1604.0849999999107
LONG,2023-01-11 14:12:00+05:30,1204.0027999999998,782,2023-01-11 14:18:00+05:30,1202.6961000000001,CROSS_DOWN,-1400.589399999716
LONG,2023-01-11 14:24:00+05:30,1206.65545,779,2023-01-11 14:30:00+05:30,1204.34445,CROSS_DOWN,-2178.248999999939
LONG,2023-01-12 10:03:00+05:30,1191.7905999999998,787,2023-01-12 10:09:00+05:30,1190.0088,CROSS_DOWN,-1779.656599999802
LONG,2023-01-12 11:24:00+05:30,1184.6834999999999,790,2023-01-12 11:30:00+05:30,1181.96685,CROSS_DOWN,-2522.5934999998776
LONG,2023-01-12 11:42:00+05:30,1182.9817999999998,789,2023-01-12 11:48:00+05:30,1181.5173,CROSS_DOWN,-1531.3204999998552
LONG,2023-01-12 13:30:00+05:30,1180.32915,789,2023-01-12 13:36:00+05:30,1174.824,CROSS_DOWN,-4717.743349999967
SHORT,2023-01-13 12:30:00+05:30,1167.58125,794,2023-01-13 12:36:00+05:30,1170.1189499999998,CROSS_UP,-2389.013799999888
SHORT,2023-01-13 13:18:00+05:30,1171.27755,789,2023-01-13 13:24:00+05:30,1175.0738999999999,CROSS_UP,-3368.4301499998796
LONG,2023-01-16 12:51:00+05:30,1168.9678,788,2023-01-16 12:57:00+05:30,1166.6322,CROSS_DOWN,-2211.78279999991
SHORT,2023-01-17 09:21:00+05:30,1170.47835,785,2023-01-17 09:27:00+05:30,1171.3701999999998,CROSS_UP,-1071.1922499998032
SHORT,2023-01-17 15:12:00+05:30,1180.3185,778,2023-01-17 15:18:00+05:30,1182.4312499999999,CROSS_UP,-2014.6794999998274
SHORT,2023-01-18 11:21:00+05:30,1180.818,776,2023-01-18 11:27:00+05:30,1185.5343499999997,CROSS_UP,-4030.287599999762
SHORT,2023-01-18 11:39:00+05:30,1184.6142,770,2023-01-18 11:45:00+05:30,1185.9847999999997,CROSS_UP,-1424.1219999998
LONG,2023-01-19 10:18:00+05:30,1173.5724,776,2023-01-19 10:24:00+05:30,1172.826,CROSS_DOWN,-947.2163999999955
SHORT,2023-01-19 11:00:00+05:30,1177.67115,772,2023-01-19 11:06:00+05:30,1179.7785999999999,CROSS_UP,-1994.701399999978
SHORT,2023-01-19 11:18:00+05:30,1179.36945,770,2023-01-19 11:24:00+05:30,1180.2790999999997,CROSS_UP,-1067.750499999868
SHORT,2023-01-19 14:06:00+05:30,1180.4184,768,2023-01-19 14:12:00+05:30,1182.4813,CROSS_UP,-1951.1271999999228
LONG,2023-01-20 09:18:00+05:30,1170.9697999999999,772,2023-01-20 09:24:00+05:30,1166.832,CROSS_DOWN,-3559.281599999801
SHORT,2023-01-20 10:36:00+05:30,1171.3275,769,2023-01-20 10:42:00+05:30,1174.3732,CROSS_UP,-2706.9732999999205
LONG,2023-01-20 14:30:00+05:30,1166.5654,770,2023-01-20 14:36:00+05:30,1162.9359,CROSS_DOWN,-3157.705000000006
LONG,2023-01-20 14:45:00+05:30,1168.4672999999998,766,2023-01-20 14:51:00+05:30,1166.2326,CROSS_DOWN,-2073.960199999807
LONG,2023-01-23 12:27:00+05:30,1161.0599,769,2023-01-23 12:33:00+05:30,1158.2406,CROSS_DOWN,-2529.3116999999115
LONG,2023-01-23 12:42:00+05:30,1160.2590999999998,768,2023-01-23 12:48:00+05:30,1157.841,CROSS_DOWN,-2217.8307999998983
LONG,2023-01-24 10:12:00+05:30,1150.4492999999998,772,2023-01-24 10:18:00+05:30,1150.49835,CROSS_DOWN,-322.37339999976325
SHORT,2023-01-24 10:54:00+05:30,1155.843,768,2023-01-24 11:00:00+05:30,1161.6605,CROSS_UP,-4828.19999999991
LONG,2023-01-25 09:30:00+05:30,1148.0969499999999,769,2023-01-25 09:36:00+05:30,1145.853,CROSS_DOWN,-2083.4775499998564
LONG,2023-01-25 09:57:00+05:30,1145.5444,769,2023-01-25 10:03:00+05:30,1143.40545,CROSS_DOWN,-2002.0625500000174
LONG,2023-01-25 13:42:00+05:30,1138.2370999999998,772,2023-01-25 13:48:00+05:30,1138.1607,CROSS_DOWN,-415.8707999999394
LONG,2023-01-25 14:48:00+05:30,1137.5364,772,2023-01-25 14:54:00+05:30,1135.21365,CROSS_DOWN,-2149.363000000032
LONG,2023-01-27 09:18:00+05:30,1130.4793499999998,775,2023-01-27 09:24:00+05:30,1122.2766000000001,CROSS_DOWN,-6711.301249999765
LONG,2023-01-27 11:45:00+05:30,1109.55845,784,2023-01-27 11:51:00+05:30,1106.892,CROSS_DOWN,-2443.6967999999533
LONG,2023-01-27 12:09:00+05:30,1106.8057,784,2023-01-27 12:15:00+05:30,1105.34355,CROSS_DOWN,-1499.0355999998728
SHORT,2023-01-27 15:21:00+05:30,1115.9829,776,2023-01-27 15:27:00+05:30,1115.4143,CROSS_UP,88.84360000004682
SHORT,2023-01-30 10:00:00+05:30,1114.3845,777,2023-01-30 10:06:00+05:30,1114.86375,CROSS_UP,-724.7872500000722
LONG,2023-01-30 13:09:00+05:30,1109.8086999999998,780,2023-01-30 13:15:00+05:30,1107.9909,CROSS_DOWN,-1769.7839999998491
SHORT,2023-01-30 15:03:00+05:30,1121.6771999999999,770,2023-01-30 15:09:00+05:30,1124.27315,CROSS_UP,-2350.6215000001
LONG,2023-01-31 11:12:00+05:30,1120.119,769,2023-01-31 11:18:00+05:30,1118.1807,CROSS_DOWN,-1840.9227000000205
SHORT,2023-01-31 14:54:00+05:30,1121.72715,766,2023-01-31 15:00:00+05:30,1122.7215999999999,CROSS_UP,-1111.838699999935
LONG,2023-02-01 11:48:00+05:30,1124.1730499999999,763,2023-02-01 11:54:00+05:30,1123.1757,CROSS_DOWN,-1110.2680499999003
LONG,2023-02-01 13:21:00+05:30,1122.27115,764,2023-02-01 13:27:00+05:30,1118.13075,CROSS_DOWN,-3511.7556
LONG,2023-02-01 13:36:00+05:30,1117.116,764,2023-02-01 13:42:00+05:30,1114.0848,CROSS_DOWN,-2663.176799999923
LONG,2023-02-01 13:54:00+05:30,1115.9147999999998,762,2023-02-01 14:00:00+05:30,1115.9829,CROSS_DOWN,-295.0177999998583
LONG,2023-02-01 14:48:00+05:30,1099.8988,773,2023-02-01 14:54:00+05:30,1106.2926,CROSS_DOWN,4594.127400000043
LONG,2023-02-02 10:33:00+05:30,1105.6045,774,2023-02-02 10:39:00+05:30,1104.74415,CROSS_DOWN,-1014.5208999999425
SHORT,2023-02-02 12:06:00+05:30,1114.2846000000002,767,2023-02-02 12:12:00+05:30,1115.4643499999997,CROSS_UP,-1253.348249999661
LONG,2023-02-02 13:57:00+05:30,1106.9057999999998,771,2023-02-02 14:03:00+05:30,1104.6942,CROSS_DOWN,-2052.643599999894
LONG,2023-02-03 09:36:00+05:30,1100.1990999999998,773,2023-02-03 09:42:00+05:30,1093.905,CROSS_DOWN,-5210.88929999988
LONG,2023-02-06 09:30:00+05:30,1102.8017,767,2023-02-06 09:36:00+05:30,1100.7981,CROSS_DOWN,-1881.6412000000043
LONG,2023-02-06 12:30:00+05:30,1101.7006,766,2023-02-06 12:36:00+05:30,1099.7991000000002,CROSS_DOWN,-1800.7689999997813
SHORT,2023-02-08 09:36:00+05:30,1111.2876,758,2023-02-08 09:42:00+05:30,1117.3162,CROSS_UP,-4914.068799999901
SHORT,2023-02-08 13:30:00+05:30,1120.32855,747,2023-02-08 13:36:00+05:30,1118.9678499999998,CROSS_UP,674.3429000001337
LONG,2023-02-09 09:27:00+05:30,1114.4133,752,2023-02-09 09:33:00+05:30,1113.4853999999998,CROSS_DOWN,-1040.1508000001022
LONG,2023-02-09 09:45:00+05:30,1116.3152,750,2023-02-09 09:51:00+05:30,1115.23365,CROSS_DOWN,-1153.22250000008
SHORT,2023-02-09 10:12:00+05:30,1120.9778999999999,745,2023-02-09 10:18:00+05:30,1126.1249999999998,CROSS_UP,-4176.389499999933
SHORT,2023-02-09 10:21:00+05:30,1124.1747,740,2023-02-09 10:27:00+05:30,1126.1249999999998,CROSS_UP,-1783.7219999998097
SHORT,2023-02-09 10:36:00+05:30,1126.9719,736,2023-02-09 10:42:00+05:30,1129.7285999999997,CROSS_UP,-2368.6111999997665
LONG,2023-02-10 09:18:00+05:30,1118.2170999999998,740,2023-02-10 09:24:00+05:30,1114.2846000000002,CROSS_DOWN,-3248.059999999751
SHORT,2023-02-10 14:00:00+05:30,1110.888,742,2023-02-10 14:06:00+05:30,1112.5113999999999,CROSS_UP,-1542.3627999999605
SHORT,2023-02-13 09:18:00+05:30,1117.33155,736,2023-02-13 09:24:00+05:30,1117.0158999999999,CROSS_UP,-104.71159999982893
LONG,2023-02-13 10:09:00+05:30,1107.1560499999998,743,2023-02-13 10:15:00+05:30,1106.7421499999998,CROSS_DOWN,-644.5777000000091
SHORT,2023-02-14 12:42:00+05:30,1132.3665,726,2023-02-14 12:48:00+05:30,1134.9337999999998,CROSS_UP,-2200.9397999997855
SHORT,2023-02-15 09:21:00+05:30,1141.9569,718,2023-02-15 09:27:00+05:30,1143.8427,CROSS_UP,-1690.2744000000125
SHORT,2023-02-15 09:51:00+05:30,1148.7501000000002,712,2023-02-15 09:57:00+05:30,1153.8527,CROSS_UP,-3968.7711999997946
SHORT,2023-02-15 10:12:00+05:30,1154.2446,705,2023-02-15 10:18:00+05:30,1156.80565,CROSS_UP,-2139.6602500000163
SHORT,2023-02-15 15:12:00+05:30,1158.0408,701,2023-02-15 15:18:00+05:30,1160.7095499999998,CROSS_UP,-2204.2337499998725
SHORT,2023-02-16 09:18:00+05:30,1166.9318999999998,694,2023-02-16 09:24:00+05:30,1171.7705999999998,CROSS_UP,-3690.917800000012
LONG,2023-02-16 11:33:00+05:30,1167.9167499999999,690,2023-02-16 11:39:00+05:30,1163.5353,CROSS_DOWN,-3353.5604999999023
SHORT,2023-02-17 14:15:00+05:30,1159.88895,692,2023-02-17 14:21:00+05:30,1161.9107499999998,CROSS_UP,-1729.275599999832
LONG,2023-02-20 10:21:00+05:30,1158.7575999999997,691,2023-02-20 10:30:00+05:30,1155.843,CROSS_DOWN,-2342.82859999973
SHORT,2023-02-20 11:12:00+05:30,1161.2376000000002,687,2023-02-20 11:18:00+05:30,1163.3622,CROSS_UP,-1788.0701999999128
LONG,2023-02-20 13:21:00+05:30,1156.5554,689,2023-02-20 13:27:00+05:30,1153.0458,CROSS_DOWN,-2745.4743999999064
SHORT,2023-02-21 13:15:00+05:30,1157.0418,686,2023-02-21 13:21:00+05:30,1160.9097499999998,CROSS_UP,-2980.5436999998883
SHORT,2023-02-21 14:03:00+05:30,1162.98585,680,2023-02-21 14:09:00+05:30,1164.31315,CROSS_UP,-1228.5539999999476
LONG,2023-02-22 09:45:00+05:30,1147.2460999999998,688,2023-02-22 09:51:00+05:30,1143.2556000000002,CROSS_DOWN,-3070.0639999997634
SHORT,2023-02-22 11:00:00+05:30,1141.30755,689,2023-02-22 11:06:00+05:30,1144.6435,CROSS_UP,-2622.9795499999386
LONG,2023-02-23 09:18:00+05:30,1127.5264,695,2023-02-23 09:24:00+05:30,1129.0698,CROSS_DOWN,748.9630000000136
SHORT,2023-02-23 10:27:00+05:30,1136.0628000000002,691,2023-02-23 10:33:00+05:30,1136.0348999999999,CROSS_UP,-304.6010999998117
LONG,2023-02-23 12:27:00+05:30,1137.136,690,2023-02-23 12:33:00+05:30,1133.6652,CROSS_DOWN,-2717.9020000000373
LONG,2023-02-23 12:48:00+05:30,1135.5844499999998,688,2023-02-23 12:54:00+05:30,1135.7631000000001,CROSS_DOWN,-199.68879999980126
LONG,2023-02-24 11:03:00+05:30,1137.136,687,2023-02-24 11:09:00+05:30,1135.6632,CROSS_DOWN,-1334.0636000000045
SHORT,2023-02-24 13:57:00+05:30,1134.2646000000002,688,2023-02-24 14:03:00+05:30,1135.3342,CROSS_UP,-1058.1747999998688
LONG,2023-02-27 10:12:00+05:30,1124.1229999999998,693,2023-02-27 10:18:00+05:30,1126.02285,CROSS_DOWN,994.4560500001678
SHORT,2023-02-27 11:15:00+05:30,1129.869,690,2023-02-27 11:21:00+05:30,1132.3311999999999,CROSS_UP,-2020.9979999999578
SHORT,2023-02-27 11:39:00+05:30,1132.71615,687,2023-02-27 11:45:00+05:30,1132.58145,CROSS_UP,-228.92109999995452
