direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 11:57:00+05:30,1219.52925,819,2023-01-02 12:03:00+05:30,1221.8205999999998,CROSS_UP,-2275.965649999786
LONG,2023-01-02 13:06:00+05:30,1223.0217999999998,815,2023-01-02 13:12:00+05:30,1220.8279499999999,CROSS_DOWN,-2185.987749999905
SHORT,2023-01-02 14:27:00+05:30,1219.02975,816,2023-01-02 14:33:00+05:30,1222.0207999999998,CROSS_UP,-2838.656799999885
LONG,2023-01-02 15:09:00+05:30,1228.47725,808,2023-01-02 15:15:00+05:30,1226.8718999999999,CROSS_DOWN,-1693.8028000000354
SHORT,2023-01-03 10:06:00+05:30,1223.6751000000002,809,2023-01-03 10:12:00+05:30,1226.1749499999999,CROSS_UP,-2418.6186499997543
LONG,2023-01-03 10:42:00+05:30,1224.1228999999998,807,2023-01-03 10:48:00+05:30,1222.776,CROSS_DOWN,-1482.0082999998206
SHORT,2023-01-03 11:12:00+05:30,1222.2765,807,2023-01-03 11:18:00+05:30,1224.1228999999998,CROSS_UP,-1884.994799999922
LONG,2023-01-03 11:24:00+05:30,1222.6214,805,2023-01-03 11:30:00+05:30,1220.8779,CROSS_DOWN,-1797.197500000032
SHORT,2023-01-03 11:54:00+05:30,1218.8799,806,2023-01-03 12:00:00+05:30,1219.4181999999998,CROSS_UP,-827.3497999999481
LONG,2023-01-03 14:21:00+05:30,1218.5172999999998,806,2023-01-03 14:27:00+05:30,1215.9828,CROSS_DOWN,-2435.5669999998004
SHORT,2023-01-04 09:42:00+05:30,1208.3904,811,2023-01-04 09:48:00+05:30,1208.5072999999998,CROSS_UP,-487.415899999805
LONG,2023-01-04 11:57:00+05:30,1207.9067,811,2023-01-04 12:03:00+05:30,1203.2955,CROSS_DOWN,-4131.083200000043
SHORT,2023-01-04 12:09:00+05:30,1202.24655,811,2023-01-04 12:15:00+05:30,1205.6044,CROSS_UP,-3114.2463499998953
LONG,2023-01-04 14:18:00+05:30,1205.3040999999998,806,2023-01-04 14:24:00+05:30,1200.8979,CROSS_DOWN,-3939.9771999999184
SHORT,2023-01-04 14:54:00+05:30,1199.799,807,2023-01-04 15:00:00+05:30,1202.5013,CROSS_UP,-2569.3560999999377
LONG,2023-01-05 10:06:00+05:30,1204.5032999999999,801,2023-01-05 10:12:00+05:30,1205.0937,CROSS_DOWN,85.52040000003615
SHORT,2023-01-05 11:21:00+05:30,1198.8999,805,2023-01-05 11:27:00+05:30,1201.3000999999997,CROSS_UP,-2319.64099999985
LONG,2023-01-05 14:51:00+05:30,1197.2960999999998,804,2023-01-05 14:57:00+05:30,1194.3045,CROSS_DOWN,-2791.036399999867
SHORT,2023-01-05 15:00:00+05:30,1196.1027,803,2023-01-05 15:06:00+05:30,1198.0969,CROSS_UP,-1987.1626000000736
LONG,2023-01-05 15:12:00+05:30,1198.0468499999997,800,2023-01-05 15:18:00+05:30,1199.2995,CROSS_DOWN,616.8300000002864
SHORT,2023-01-06 13:00:00+05:30,1203.0956999999999,797,2023-01-06 13:06:00+05:30,1205.5042999999998,CROSS_UP,-2304.934199999983
LONG,2023-01-06 14:51:00+05:30,1210.8095999999998,790,2023-01-06 14:57:00+05:30,1208.93985,CROSS_DOWN,-1861.0124999998736
SHORT,2023-01-09 13:18:00+05:30,1230.8679,776,2023-01-09 13:24:00+05:30,1233.68245,CROSS_UP,-2568.0808000000416
LONG,2023-01-09 15:03:00+05:30,1238.8375999999998,769,2023-01-09 15:09:00+05:30,1235.9628,CROSS_DOWN,-2593.0611999998637
SHORT,2023-01-10 10:03:00+05:30,1227.9208500000002,773,2023-01-10 10:09:00+05:30,1231.3300999999997,CROSS_UP,-3017.270249999594
LONG,2023-01-13 11:39:00+05:30,1167.2660999999998,811,2023-01-13 11:45:00+05:30,1163.7351,CROSS_DOWN,-3243.670999999774
SHORT,2023-01-16 09:57:00+05:30,1172.826,804,2023-01-16 10:03:00+05:30,1174.2230499999998,CROSS_UP,-1502.8481999998457
LONG,2023-01-16 12:18:00+05:30,1173.5724,803,2023-01-16 12:24:00+05:30,1171.4773500000001,CROSS_DOWN,-2061.1851499999207
SHORT,2023-01-16 12:54:00+05:30,1167.831,805,2023-01-16 13:00:00+05:30,1169.2180499999997,CROSS_UP,-1495.185249999853
LONG,2023-01-17 09:30:00+05:30,1173.4222499999998,800,2023-01-17 09:36:00+05:30,1171.2276000000002,CROSS_DOWN,-2133.2799999997465
SHORT,2023-01-17 11:42:00+05:30,1174.0248000000001,797,2023-01-17 11:48:00+05:30,1175.0238499999998,CROSS_UP,-1173.282849999737
LONG,2023-01-17 12:06:00+05:30,1176.62545,795,2023-01-17 12:12:00+05:30,1175.87295,CROSS_DOWN,-974.9575000000434
SHORT,2023-01-17 14:06:00+05:30,1174.9239,795,2023-01-17 14:12:00+05:30,1178.3772,CROSS_UP,-3121.9634999999193
SHORT,2023-01-18 09:54:00+05:30,1175.823,792,2023-01-18 10:00:00+05:30,1178.2770999999998,CROSS_UP,-2319.1971999997613
LONG,2023-01-18 11:12:00+05:30,1182.3811999999998,785,2023-01-18 11:18:00+05:30,1181.3175,CROSS_DOWN,-1209.1044999997634
SHORT,2023-01-18 14:09:00+05:30,1181.3175,785,2023-01-18 14:15:00+05:30,1183.3822,CROSS_UP,-1994.9394999999233
LONG,2023-01-19 11:21:00+05:30,1181.23005,783,2023-01-19 11:27:00+05:30,1178.86995,CROSS_DOWN,-2220.608299999902
SHORT,2023-01-19 13:15:00+05:30,1176.6222,785,2023-01-19 13:21:00+05:30,1178.7775999999997,CROSS_UP,-2064.8389999997216
LONG,2023-01-19 14:15:00+05:30,1182.6815,779,2023-01-19 14:21:00+05:30,1178.0208,CROSS_DOWN,-4001.5552999999272
SHORT,2023-01-19 15:21:00+05:30,1175.5233,780,2023-01-19 15:27:00+05:30,1177.8767,CROSS_UP,-2206.131999999973
LONG,2023-01-20 11:12:00+05:30,1172.1709999999998,780,2023-01-20 11:18:00+05:30,1168.83,CROSS_DOWN,-2974.679999999918
SHORT,2023-01-20 13:54:00+05:30,1168.9298999999999,780,2023-01-20 14:00:00+05:30,1170.7695999999999,CROSS_UP,-1803.6159999999948
LONG,2023-01-23 09:57:00+05:30,1174.5734,775,2023-01-23 10:03:00+05:30,1170.5283,CROSS_DOWN,-3502.0925000000366
SHORT,2023-01-23 11:21:00+05:30,1163.7351,779,2023-01-23 11:27:00+05:30,1165.6644999999999,CROSS_UP,-1869.8225999998126
LONG,2023-01-23 14:30:00+05:30,1160.9097499999998,779,2023-01-23 14:36:00+05:30,1156.99185,CROSS_DOWN,-3417.104099999759
SHORT,2023-01-23 15:21:00+05:30,1156.5423,779,2023-01-23 15:27:00+05:30,1157.8566999999998,CROSS_UP,-1388.7175999998055
LONG,2023-01-24 09:36:00+05:30,1162.8617,774,2023-01-24 09:42:00+05:30,1160.78805,CROSS_DOWN,-1968.9750999998575
SHORT,2023-01-24 10:15:00+05:30,1151.0478,780,2023-01-24 10:21:00+05:30,1154.0529,CROSS_UP,-2707.767999999888
LONG,2023-01-24 11:33:00+05:30,1157.7065499999999,773,2023-01-24 11:39:00+05:30,1155.9429,CROSS_DOWN,-1725.5314499999
SHORT,2023-01-24 12:03:00+05:30,1154.9439,774,2023-01-24 12:09:00+05:30,1157.2560999999998,CROSS_UP,-2152.0327999998826
LONG,2023-01-24 12:21:00+05:30,1156.3552,771,2023-01-24 12:27:00+05:30,1153.4453999999998,CROSS_DOWN,-2604.2358000001013
LONG,2023-01-27 13:36:00+05:30,1111.8107,799,2023-01-27 13:42:00+05:30,1109.889,CROSS_DOWN,-1895.2983000000806
SHORT,2023-01-27 15:03:00+05:30,1111.887,798,2023-01-27 15:09:00+05:30,1115.6145,CROSS_UP,-3334.664999999971
LONG,2023-01-27 15:24:00+05:30,1116.8156999999999,791,2023-01-27 15:27:00+05:30,1113.1857,EOD,-3229.0599999999063
SHORT,2023-01-30 13:06:00+05:30,1110.5883000000001,793,2023-01-30 13:12:00+05:30,1108.8076999999998,CROSS_UP,1054.5058000002196
LONG,2023-01-30 14:45:00+05:30,1122.5213999999999,785,2023-01-30 14:51:00+05:30,1119.12975,CROSS_DOWN,-3019.4552499998426
SHORT,2023-01-31 10:57:00+05:30,1122.5763,782,2023-01-31 11:03:00+05:30,1120.2691499999999,CROSS_UP,1447.7113000000722
LONG,2023-01-31 13:21:00+05:30,1121.9207999999999,784,2023-01-31 13:27:00+05:30,1118.5803,CROSS_DOWN,-2975.4119999998375
SHORT,2023-01-31 13:45:00+05:30,1119.2796,783,2023-01-31 13:51:00+05:30,1120.6194999999998,CROSS_UP,-1405.3016999997776
LONG,2023-01-31 15:09:00+05:30,1121.9708499999997,780,2023-01-31 15:15:00+05:30,1121.4774,CROSS_DOWN,-740.4309999997749
SHORT,2023-02-01 11:27:00+05:30,1121.4774,780,2023-02-01 11:33:00+05:30,1123.4222999999997,CROSS_UP,-1872.6319999997927
LONG,2023-02-01 13:00:00+05:30,1127.4262999999999,774,2023-02-01 13:06:00+05:30,1124.12475,CROSS_DOWN,-2909.4296999999274
SHORT,2023-02-01 13:39:00+05:30,1113.3855,781,2023-02-01 13:45:00+05:30,1117.6164999999999,CROSS_UP,-3658.310999999818
LONG,2023-02-02 11:45:00+05:30,1108.7075999999997,781,2023-02-02 11:51:00+05:30,1106.892,CROSS_DOWN,-1769.9735999997474
LONG,2023-02-02 12:00:00+05:30,1116.8156999999999,774,2023-02-02 12:06:00+05:30,1114.2846000000002,CROSS_DOWN,-2310.381399999765
SHORT,2023-02-02 13:30:00+05:30,1108.14075,778,2023-02-02 13:36:00+05:30,1109.55845,CROSS_UP,-1454.110599999975
LONG,2023-02-02 15:21:00+05:30,1110.5094,775,2023-02-02 15:27:00+05:30,1106.9919,CROSS_DOWN,-3075.8224999999434
SHORT,2023-02-03 09:33:00+05:30,1099.3995,780,2023-02-03 09:39:00+05:30,1095.5945,CROSS_UP,2618.6600000000494
LONG,2023-02-03 11:27:00+05:30,1104.4033,779,2023-02-03 11:33:00+05:30,1101.44745,CROSS_DOWN,-2652.3771500000425
SHORT,2023-02-06 09:39:00+05:30,1101.9968999999999,778,2023-02-06 09:45:00+05:30,1105.2040999999997,CROSS_UP,-2844.7415999998675
