direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:17:00+05:30,1215.63315,822,2023-01-02 09:19:00+05:30,1216.0648499999998,CROSS_UP,-754.2673999998885
LONG,2023-01-02 09:23:00+05:30,1219.5182999999997,819,2023-01-02 09:25:00+05:30,1219.8789,CROSS_DOWN,-103.97859999983285
SHORT,2023-01-02 10:08:00+05:30,1219.9788,818,2023-01-02 10:10:00+05:30,1222.5212999999999,CROSS_UP,-2478.834999999829
LONG,2023-01-02 10:36:00+05:30,1221.8205999999998,815,2023-01-02 10:39:00+05:30,1220.32845,CROSS_DOWN,-1613.9222499998455
SHORT,2023-01-02 11:11:00+05:30,1221.2775,814,2023-01-02 11:13:00+05:30,1223.2219999999998,CROSS_UP,-1980.502999999865
LONG,2023-01-02 11:47:00+05:30,1221.87065,812,2023-01-02 11:49:00+05:30,1218.9798,CROSS_DOWN,-2743.5902
LONG,2023-01-02 12:02:00+05:30,1221.87065,810,2023-01-02 12:04:00+05:30,1219.5792,CROSS_DOWN,-2251.5645000001364
SHORT,2023-01-02 12:28:00+05:30,1219.5792,810,2023-01-02 12:30:00+05:30,1222.6214,CROSS_UP,-2859.7220000000757
LONG,2023-01-02 12:32:00+05:30,1223.2219999999998,805,2023-01-02 12:34:00+05:30,1220.6781,CROSS_DOWN,-2441.509499999732
SHORT,2023-01-02 12:57:00+05:30,1219.6791,805,2023-01-02 12:59:00+05:30,1222.9216999999999,CROSS_UP,-3003.722999999848
LONG,2023-01-02 13:15:00+05:30,1223.2219999999998,800,2023-01-02 13:17:00+05:30,1220.8779,CROSS_DOWN,-2266.849999999839
SHORT,2023-01-02 13:37:00+05:30,1220.4283500000001,800,2023-01-02 13:39:00+05:30,1223.3220999999999,CROSS_UP,-2706.4599999997818
LONG,2023-01-02 13:50:00+05:30,1222.8215999999998,797,2023-01-02 13:52:00+05:30,1220.1286499999999,CROSS_DOWN,-2536.361149999906
LONG,2023-01-02 13:57:00+05:30,1223.5222999999999,794,2023-01-02 13:59:00+05:30,1219.9788,CROSS_DOWN,-3202.3389999998153
LONG,2023-01-02 14:11:00+05:30,1223.0217999999998,792,2023-01-02 14:13:00+05:30,1220.6781,CROSS_DOWN,-2244.28039999974
SHORT,2023-01-02 14:15:00+05:30,1218.6801,793,2023-01-02 14:17:00+05:30,1220.2189999999998,CROSS_UP,-1608.2376999998296
LONG,2023-01-02 14:36:00+05:30,1220.96975,790,2023-01-02 14:38:00+05:30,1219.2795,CROSS_DOWN,-1722.0774999999037
LONG,2023-01-02 14:44:00+05:30,1221.8205999999998,788,2023-01-02 14:46:00+05:30,1220.6781,CROSS_DOWN,-1286.5699999997635
SHORT,2023-01-03 09:16:00+05:30,1219.7290500000001,788,2023-01-03 09:18:00+05:30,1221.5203,CROSS_UP,-1797.5649999998136
LONG,2023-01-03 09:46:00+05:30,1223.5723499999997,784,2023-01-03 09:48:00+05:30,1220.778,CROSS_DOWN,-2575.4403999997394
SHORT,2023-01-03 10:23:00+05:30,1222.2765,783,2023-01-03 10:25:00+05:30,1224.0728499999998,CROSS_UP,-1791.1420499998806
LONG,2023-01-03 10:37:00+05:30,1225.224,780,2023-01-03 10:39:00+05:30,1222.6761000000001,CROSS_DOWN,-2370.8219999998437
SHORT,2023-01-03 10:46:00+05:30,1221.4773,780,2023-01-03 10:48:00+05:30,1224.223,CROSS_UP,-2524.7859999999555
LONG,2023-01-03 10:52:00+05:30,1225.224,776,2023-01-03 10:54:00+05:30,1223.8748999999998,CROSS_DOWN,-1428.9116000001047
SHORT,2023-01-03 11:09:00+05:30,1222.0766999999998,777,2023-01-03 11:11:00+05:30,1224.5733499999997,CROSS_UP,-2321.897049999858
LONG,2023-01-03 11:53:00+05:30,1222.7214999999999,774,2023-01-03 11:55:00+05:30,1219.8289499999998,CROSS_DOWN,-2618.9537000000223
SHORT,2023-01-03 11:56:00+05:30,1218.8799,775,2023-01-03 11:58:00+05:30,1220.0187999999998,CROSS_UP,-1262.8474999999391
LONG,2023-01-03 12:47:00+05:30,1217.3160999999998,775,2023-01-03 12:49:00+05:30,1214.0846999999999,CROSS_DOWN,-2883.324999999918
SHORT,2023-01-03 12:50:00+05:30,1213.785,774,2023-01-03 12:52:00+05:30,1217.0158,CROSS_UP,-2879.1191999998587
LONG,2023-01-03 13:00:00+05:30,1217.3160999999998,770,2023-01-03 13:02:00+05:30,1214.53425,CROSS_DOWN,-2518.984499999884
SHORT,2023-01-03 13:09:00+05:30,1214.0846999999999,770,2023-01-03 13:11:00+05:30,1216.5152999999998,CROSS_UP,-2248.381999999933
