direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:41:00+05:30,1221.6771,818,2023-01-02 09:43:00+05:30,1223.2219999999998,CROSS_UP,-1663.228199999708
SHORT,2023-01-02 10:42:00+05:30,1221.6771,817,2023-01-02 10:44:00+05:30,1224.5232999999998,CROSS_UP,-2724.4853999997763
SHORT,2023-01-02 10:51:00+05:30,1222.2765,814,2023-01-02 10:54:00+05:30,1224.8235999999997,CROSS_UP,-2471.3493999998154
SHORT,2023-01-02 12:07:00+05:30,1220.2785,813,2023-01-02 12:09:00+05:30,1222.0207999999998,CROSS_UP,-1813.4498999999078
SHORT,2023-01-02 12:24:00+05:30,1220.2785,812,2023-01-02 12:26:00+05:30,1222.1209,CROSS_UP,-1892.5587999999982
SHORT,2023-01-02 13:28:00+05:30,1222.776,809,2023-01-02 13:30:00+05:30,1224.223,CROSS_UP,-1566.5529999999103
SHORT,2023-01-02 14:35:00+05:30,1219.5792,810,2023-01-02 14:37:00+05:30,1221.0197999999998,CROSS_UP,-1562.335999999922
SHORT,2023-01-02 14:51:00+05:30,1222.1766,807,2023-01-02 14:53:00+05:30,1224.1228999999998,CROSS_UP,-1965.5840999998686
SHORT,2023-01-02 14:58:00+05:30,1224.774,803,2023-01-02 15:00:00+05:30,1227.7264999999998,CROSS_UP,-2764.8474999998975
SHORT,2023-01-02 15:03:00+05:30,1225.5732,800,2023-01-02 15:05:00+05:30,1228.3270999999997,CROSS_UP,-2596.0299999997624
SHORT,2023-01-02 15:09:00+05:30,1227.1716000000001,797,2023-01-02 15:11:00+05:30,1228.47725,CROSS_UP,-1432.58304999983
LONG,2023-01-03 09:16:00+05:30,1222.17095,799,2023-01-03 09:18:00+05:30,1219.0797,CROSS_DOWN,-2860.5787499999565
LONG,2023-01-03 09:28:00+05:30,1220.0187999999998,798,2023-01-03 09:30:00+05:30,1218.3804,CROSS_DOWN,-1697.4131999998558
SHORT,2023-01-03 09:49:00+05:30,1219.8789,797,2023-01-03 09:51:00+05:30,1222.6214,CROSS_UP,-2575.782500000051
SHORT,2023-01-03 09:56:00+05:30,1220.9778000000001,794,2023-01-03 09:58:00+05:30,1223.7224999999999,CROSS_UP,-2568.3217999997923
SHORT,2023-01-03 10:04:00+05:30,1222.6761000000001,791,2023-01-03 10:06:00+05:30,1227.0258,CROSS_UP,-3828.912699999808
SHORT,2023-01-03 10:10:00+05:30,1224.0747,787,2023-01-03 10:12:00+05:30,1226.0748499999997,CROSS_UP,-1960.9480499998808
LONG,2023-01-03 10:24:00+05:30,1224.0227999999997,785,2023-01-03 10:26:00+05:30,1221.5772,CROSS_DOWN,-2305.0959999998317
SHORT,2023-01-03 10:42:00+05:30,1222.776,784,2023-01-03 10:45:00+05:30,1223.8225999999997,CROSS_UP,-1205.6643999997423
SHORT,2023-01-03 11:00:00+05:30,1223.6251499999998,783,2023-01-03 11:02:00+05:30,1226.8255999999997,CROSS_UP,-2891.002349999858
SHORT,2023-01-03 11:03:00+05:30,1223.775,780,2023-01-03 11:05:00+05:30,1225.6244,CROSS_UP,-1826.2619999998692
LONG,2023-01-03 11:44:00+05:30,1222.3211,780,2023-01-03 11:46:00+05:30,1220.1786000000002,CROSS_DOWN,-2053.899999999766
LONG,2023-01-03 12:05:00+05:30,1218.7175,780,2023-01-03 12:07:00+05:30,1216.4823000000001,CROSS_DOWN,-2125.1959999998826
LONG,2023-01-03 12:24:00+05:30,1216.4152,780,2023-01-03 12:26:00+05:30,1214.0846999999999,CROSS_DOWN,-2198.880000000023
SHORT,2023-01-03 13:31:00+05:30,1216.13265,779,2023-01-03 13:33:00+05:30,1217.6163999999999,CROSS_UP,-1537.0212499999009
SHORT,2023-01-03 13:58:00+05:30,1216.4823000000001,777,2023-01-03 14:00:00+05:30,1217.9167,CROSS_UP,-1494.938799999898
SHORT,2023-01-03 14:29:00+05:30,1215.9828,776,2023-01-03 14:31:00+05:30,1218.1169,CROSS_UP,-2035.941599999992
SHORT,2023-01-03 14:42:00+05:30,1217.83095,773,2023-01-03 14:44:00+05:30,1219.9687499999998,CROSS_UP,-2031.619399999801
SHORT,2023-01-03 14:46:00+05:30,1217.8808999999999,772,2023-01-03 14:49:00+05:30,1219.1179,CROSS_UP,-1333.604000000062
LONG,2023-01-04 09:40:00+05:30,1212.9116999999999,774,2023-01-04 09:43:00+05:30,1208.3904,CROSS_DOWN,-3876.5661999999093
SHORT,2023-01-04 10:32:00+05:30,1208.4903,773,2023-01-04 10:34:00+05:30,1211.1099,CROSS_UP,-2401.530799999993
SHORT,2023-01-04 11:23:00+05:30,1209.0897,771,2023-01-04 11:25:00+05:30,1211.96075,CROSS_UP,-2589.479549999976
SHORT,2023-01-04 11:30:00+05:30,1210.1886000000002,768,2023-01-04 11:32:00+05:30,1211.9107,CROSS_UP,-1697.4427999997906
LONG,2023-01-04 11:44:00+05:30,1211.4101999999998,766,2023-01-04 11:46:00+05:30,1208.9898,CROSS_DOWN,-2227.7463999998045
LONG,2023-01-04 11:50:00+05:30,1209.0077999999999,766,2023-01-04 11:52:00+05:30,1206.54225,CROSS_DOWN,-2261.6712999999186
LONG,2023-01-04 11:58:00+05:30,1208.2069999999999,764,2023-01-04 12:00:00+05:30,1204.5942,CROSS_DOWN,-3131.9291999999077
SHORT,2023-01-04 12:23:00+05:30,1203.0956999999999,765,2023-01-04 12:25:00+05:30,1205.6044,CROSS_UP,-2290.865500000069
SHORT,2023-01-04 12:26:00+05:30,1203.0956999999999,763,2023-01-04 12:28:00+05:30,1206.1049,CROSS_UP,-2666.9096000001464
SHORT,2023-01-04 13:46:00+05:30,1202.9958000000001,761,2023-01-04 13:48:00+05:30,1205.6044,CROSS_UP,-2355.1345999998452
SHORT,2023-01-04 13:54:00+05:30,1204.794,758,2023-01-04 13:56:00+05:30,1207.5062999999998,CROSS_UP,-2425.1333999997623
SHORT,2023-01-04 14:04:00+05:30,1205.793,755,2023-01-04 14:06:00+05:30,1207.9067,CROSS_UP,-1964.0135000000816
LONG,2023-01-04 14:23:00+05:30,1204.7034999999998,754,2023-01-04 14:25:00+05:30,1202.14665,CROSS_DOWN,-2294.664899999955
LONG,2023-01-04 14:27:00+05:30,1203.2019999999998,753,2023-01-04 14:29:00+05:30,1201.6971,CROSS_DOWN,-1499.3896999997587
SHORT,2023-01-04 15:04:00+05:30,1199.6991,754,2023-01-04 15:07:00+05:30,1202.4012,CROSS_UP,-2403.5333999999793
SHORT,2023-01-05 09:16:00+05:30,1204.3944,749,2023-01-05 09:18:00+05:30,1204.5032999999999,CROSS_UP,-446.71609999996156
LONG,2023-01-05 09:45:00+05:30,1201.4001999999998,751,2023-01-05 09:47:00+05:30,1199.54925,CROSS_DOWN,-1754.863449999838
SHORT,2023-01-05 09:57:00+05:30,1202.4463500000002,749,2023-01-05 10:00:00+05:30,1205.7044999999998,CROSS_UP,-2805.144349999745
SHORT,2023-01-05 10:01:00+05:30,1202.8959,746,2023-01-05 10:03:00+05:30,1205.9046999999998,CROSS_UP,-2608.1947999998783
SHORT,2023-01-05 11:43:00+05:30,1199.799,746,2023-01-05 11:45:00+05:30,1202.3010999999997,CROSS_UP,-2229.3565999997763
SHORT,2023-01-05 13:14:00+05:30,1195.1037,747,2023-01-05 13:16:00+05:30,1196.4952999999998,CROSS_UP,-1401.4451999999446
SHORT,2023-01-05 13:56:00+05:30,1196.3025,745,2023-01-05 13:58:00+05:30,1199.24805,CROSS_UP,-2555.904749999934
SHORT,2023-01-05 14:05:00+05:30,1196.0028,743,2023-01-05 14:07:00+05:30,1198.3971999999999,CROSS_UP,-2139.559199999929
LONG,2023-01-05 14:15:00+05:30,1195.3942,742,2023-01-05 14:18:00+05:30,1193.4053999999999,CROSS_DOWN,-1835.0896000000614
SHORT,2023-01-05 14:31:00+05:30,1194.4044,741,2023-01-05 14:33:00+05:30,1197.4962999999998,CROSS_UP,-2650.3978999999226
SHORT,2023-01-05 15:20:00+05:30,1199.2995,735,2023-01-05 15:22:00+05:30,1202.0007999999998,CROSS_UP,-2343.465499999794
SHORT,2023-01-05 15:27:00+05:30,1200.24855,733,2023-01-05 15:29:00+05:30,1203.1019,CROSS_UP,-2448.9255499999003
SHORT,2023-01-06 09:21:00+05:30,1203.6451499999998,729,2023-01-06 09:23:00+05:30,1209.4081999999999,CROSS_UP,-4558.003450000015
SHORT,2023-01-06 09:33:00+05:30,1211.2875,720,2023-01-06 09:35:00+05:30,1214.6134,CROSS_UP,-2749.398000000034
SHORT,2023-01-06 10:53:00+05:30,1208.93985,719,2023-01-06 10:55:00+05:30,1211.6104,CROSS_UP,-2273.8154500000346
SHORT,2023-01-06 11:41:00+05:30,1209.8889,717,2023-01-06 11:43:00+05:30,1212.6614499999998,CROSS_UP,-2340.9983499999357
SHORT,2023-01-06 12:04:00+05:30,1211.8869,714,2023-01-06 12:06:00+05:30,1214.213,CROSS_UP,-2013.1153999999976
LONG,2023-01-06 12:45:00+05:30,1207.0058,715,2023-01-06 12:47:00+05:30,1204.2945,CROSS_DOWN,-2289.389499999955
SHORT,2023-01-06 13:43:00+05:30,1202.6961000000001,716,2023-01-06 13:45:00+05:30,1207.0058,CROSS_UP,-3436.655199999852
SHORT,2023-01-06 14:32:00+05:30,1205.2935,711,2023-01-06 14:34:00+05:30,1207.35615,CROSS_UP,-1815.884150000054
SHORT,2023-01-06 14:56:00+05:30,1208.3904,708,2023-01-06 14:58:00+05:30,1211.3100999999997,CROSS_UP,-2416.027599999783
SHORT,2023-01-09 09:16:00+05:30,1216.3324499999999,701,2023-01-09 09:18:00+05:30,1216.9157,CROSS_UP,-756.5982500000944
SHORT,2023-01-09 09:28:00+05:30,1216.6821,701,2023-01-09 09:30:00+05:30,1219.9187,CROSS_UP,-2616.806599999967
SHORT,2023-01-09 09:40:00+05:30,1218.63015,697,2023-01-09 09:42:00+05:30,1223.4722499999998,CROSS_UP,-3721.7336999998925
SHORT,2023-01-09 09:43:00+05:30,1220.0787,693,2023-01-09 09:45:00+05:30,1223.2219999999998,CROSS_UP,-2523.6568999998103
SHORT,2023-01-09 10:05:00+05:30,1222.22655,690,2023-01-09 10:08:00+05:30,1225.2740499999998,CROSS_UP,-2447.3449999997742
SHORT,2023-01-09 10:16:00+05:30,1225.4733,686,2023-01-09 10:18:00+05:30,1228.37715,CROSS_UP,-2335.671099999945
SHORT,2023-01-09 10:21:00+05:30,1225.9228500000002,684,2023-01-09 10:23:00+05:30,1227.2259999999999,CROSS_UP,-1234.154599999817
SHORT,2023-01-09 10:50:00+05:30,1226.2725,683,2023-01-09 10:52:00+05:30,1228.8275999999998,CROSS_UP,-2087.643299999871
SHORT,2023-01-09 10:59:00+05:30,1227.8709,680,2023-01-09 11:01:00+05:30,1230.7295,CROSS_UP,-2285.4580000000165
SHORT,2023-01-09 11:21:00+05:30,1233.31545,676,2023-01-09 11:23:00+05:30,1236.5352999999998,CROSS_UP,-2517.8085999998134
SHORT,2023-01-09 11:24:00+05:30,1234.764,673,2023-01-09 11:26:00+05:30,1236.4352,CROSS_UP,-1464.8775999999993
