direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 09:21:00+05:30,3248.8478999999998,307,2023-01-02 09:27:00+05:30,3257.2039499999996,CROSS_UP,-2964.2073499999597
LONG,2023-01-02 10:09:00+05:30,3262.1589,305,2023-01-02 10:15:00+05:30,3250.89585,CROSS_DOWN,-3832.1202500000063
SHORT,2023-01-02 10:27:00+05:30,3247.7989500000003,305,2023-01-02 10:33:00+05:30,3248.1949499999996,CROSS_UP,-517.1199999997791
LONG,2023-01-02 11:24:00+05:30,3253.2499999999995,305,2023-01-02 11:30:00+05:30,3247.29945,CROSS_DOWN,-2211.317749999868
SHORT,2023-01-02 14:21:00+05:30,3244.2525,305,2023-01-02 14:27:00+05:30,3253.0498,CROSS_UP,-3079.3064999999156
LONG,2023-01-02 14:54:00+05:30,3265.31205,302,2023-01-02 15:00:00+05:30,3254.49225,CROSS_DOWN,-3661.4096000000645
SHORT,2023-01-03 13:09:00+05:30,3301.695,297,2023-01-03 13:15:00+05:30,3310.5071999999996,CROSS_UP,-3010.20339999982
SHORT,2023-01-03 15:27:00+05:30,3308.688,296,2023-01-04 09:18:00+05:30,3297.7944999999995,CROSS_UP,2832.3060000001733
LONG,2023-01-04 10:27:00+05:30,3304.2509499999996,297,2023-01-04 10:33:00+05:30,3299.5971,CROSS_DOWN,-1774.8834499999089
SHORT,2023-01-04 10:45:00+05:30,3289.95675,298,2023-01-04 10:51:00+05:30,3296.4431499999996,CROSS_UP,-2325.8271999999333
LONG,2023-01-04 11:21:00+05:30,3302.0487499999995,296,2023-01-04 11:27:00+05:30,3297.699,CROSS_DOWN,-1678.8459999998233
SHORT,2023-01-04 11:48:00+05:30,3289.55715,297,2023-01-04 11:54:00+05:30,3293.6904,CROSS_UP,-1619.195249999959
LONG,2023-01-04 12:45:00+05:30,3302.5993,295,2023-01-04 12:51:00+05:30,3297.0996,CROSS_DOWN,-2012.531499999955
SHORT,2023-01-04 14:48:00+05:30,3308.0886,294,2023-01-04 14:54:00+05:30,3320.2169,CROSS_UP,-3955.950199999957
LONG,2023-01-04 15:09:00+05:30,3320.0166999999997,292,2023-01-04 15:15:00+05:30,3310.53615,CROSS_DOWN,-3156.410599999932
SHORT,2023-01-04 15:18:00+05:30,3310.686,292,2023-01-04 15:24:00+05:30,3318.0146999999993,CROSS_UP,-2528.0403999997425
LONG,2023-01-05 09:18:00+05:30,3314.0106999999994,291,2023-01-05 09:27:00+05:30,3322.674,CROSS_DOWN,2133.20030000018
SHORT,2023-01-05 09:57:00+05:30,3307.0896000000002,292,2023-01-05 10:03:00+05:30,3310.7574499999996,CROSS_UP,-1458.6321999998136
LONG,2023-01-05 10:24:00+05:30,3324.3710499999997,290,2023-01-05 10:30:00+05:30,3318.678,CROSS_DOWN,-2037.5044999999586
SHORT,2023-01-05 11:51:00+05:30,3308.3882999999996,291,2023-01-05 11:57:00+05:30,3317.2138999999997,CROSS_UP,-2954.9396000000356
LONG,2023-01-05 14:39:00+05:30,3296.5432499999997,291,2023-01-05 14:45:00+05:30,3291.75495,CROSS_DOWN,-1778.3052999999152
SHORT,2023-01-06 09:18:00+05:30,3274.2225,292,2023-01-06 09:24:00+05:30,3290.3370499999996,CROSS_UP,-5089.928599999936
LONG,2023-01-06 15:12:00+05:30,3215.9627499999997,296,2023-01-06 15:18:00+05:30,3209.03775,CROSS_DOWN,-2431.919999999919
SHORT,2023-01-09 12:03:00+05:30,3302.5941000000003,287,2023-01-09 12:09:00+05:30,3304.45115,CROSS_UP,-914.2833499998901
LONG,2023-01-09 12:48:00+05:30,3310.6573499999995,286,2023-01-09 12:54:00+05:30,3302.5441499999997,CROSS_DOWN,-2700.6351999999365
SHORT,2023-01-09 13:21:00+05:30,3295.55115,287,2023-01-09 13:27:00+05:30,3301.3480499999996,CROSS_UP,-2044.380299999949
LONG,2023-01-09 14:06:00+05:30,3312.55925,285,2023-01-09 14:12:00+05:30,3319.677,CROSS_DOWN,1648.0387500000975
SHORT,2023-01-10 09:18:00+05:30,3240.6561,292,2023-01-10 09:24:00+05:30,3253.30005,CROSS_UP,-4072.9933999999057
LONG,2023-01-10 11:00:00+05:30,3256.6533999999997,289,2023-01-10 11:06:00+05:30,3251.49525,CROSS_DOWN,-1869.1953499999279
SHORT,2023-01-11 11:21:00+05:30,3321.7749,283,2023-01-11 11:27:00+05:30,3326.3229999999994,CROSS_UP,-1665.7222999998648
LONG,2023-01-11 11:54:00+05:30,3343.5902499999997,280,2023-01-11 12:00:00+05:30,3328.41825,CROSS_DOWN,-4624.1099999998805
SHORT,2023-01-11 14:06:00+05:30,3332.664,280,2023-01-11 14:12:00+05:30,3335.8324999999995,CROSS_UP,-1263.3299999998076
LONG,2023-01-12 09:18:00+05:30,3345.2919499999994,279,2023-01-12 09:24:00+05:30,3338.60805,CROSS_DOWN,-2240.4280999998714
SHORT,2023-01-12 09:48:00+05:30,3313.683,280,2023-01-12 09:54:00+05:30,3328.5251999999996,CROSS_UP,-4530.305999999886
LONG,2023-01-12 10:30:00+05:30,3333.88055,277,2023-01-12 10:36:00+05:30,3326.5701,CROSS_DOWN,-2397.104649999985
SHORT,2023-01-12 11:42:00+05:30,3326.62005,277,2023-01-12 11:48:00+05:30,3338.0847499999995,CROSS_UP,-3547.9118999998723
LONG,2023-01-12 11:51:00+05:30,3339.0857499999997,275,2023-01-12 11:57:00+05:30,3330.7659,CROSS_DOWN,-2658.1387499999614
SHORT,2023-01-12 13:12:00+05:30,3330.8658,275,2023-01-12 13:18:00+05:30,3336.3329999999996,CROSS_UP,-1873.619999999888
LONG,2023-01-12 14:09:00+05:30,3336.4831499999996,274,2023-01-12 14:15:00+05:30,3331.0656,CROSS_DOWN,-1853.388699999908
SHORT,2023-01-12 14:54:00+05:30,3326.67,274,2023-01-12 15:00:00+05:30,3336.3329999999996,CROSS_UP,-3016.3019999998783
LONG,2023-01-12 15:15:00+05:30,3337.7844499999997,273,2023-01-12 15:21:00+05:30,3332.7139500000003,CROSS_DOWN,-1752.2164999998242
