direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-03 11:12:00+05:30,3289.35735,304,2023-01-03 11:18:00+05:30,3301.1978999999997,CROSS_UP,-3999.4071999998296
SHORT,2023-01-04 13:27:00+05:30,3307.3893,301,2023-01-04 13:33:00+05:30,3317.3640499999997,CROSS_UP,-3400.6697499999573
SHORT,2023-01-04 13:36:00+05:30,3308.43825,300,2023-01-04 13:42:00+05:30,3318.6653499999998,CROSS_UP,-3465.349999999883
SHORT,2023-01-04 13:57:00+05:30,3316.68,298,2023-01-04 14:03:00+05:30,3326.4230999999995,CROSS_UP,-3299.1937999999063
SHORT,2023-01-04 14:09:00+05:30,3315.0816,297,2023-01-04 14:15:00+05:30,3326.3229999999994,CROSS_UP,-3733.135799999831
SHORT,2023-01-05 11:06:00+05:30,3317.2294500000003,296,2023-01-05 11:12:00+05:30,3323.5201999999995,CROSS_UP,-2255.4619999997653
LONG,2023-01-05 12:21:00+05:30,3302.0487499999995,296,2023-01-05 12:27:00+05:30,3296.3004,CROSS_DOWN,-2092.7115999998196
LONG,2023-01-05 12:33:00+05:30,3298.2949999999996,296,2023-01-05 12:39:00+05:30,3287.8089,CROSS_DOWN,-3494.295599999889
LONG,2023-01-05 13:03:00+05:30,3298.5953,295,2023-01-05 13:09:00+05:30,3293.75295,CROSS_DOWN,-1818.2432499999695
LONG,2023-01-06 11:15:00+05:30,3251.4481999999994,299,2023-01-06 11:21:00+05:30,3247.6990499999997,CROSS_DOWN,-1510.5158499998938
LONG,2023-01-06 13:09:00+05:30,3222.1689499999993,301,2023-01-06 13:15:00+05:30,3207.789,CROSS_DOWN,-4716.154949999728
LONG,2023-01-06 13:30:00+05:30,3218.7155,300,2023-01-06 13:36:00+05:30,3207.789,CROSS_DOWN,-3664.5499999998738
SHORT,2023-01-09 09:27:00+05:30,3271.1256000000003,294,2023-01-09 09:33:00+05:30,3286.93365,CROSS_UP,-5034.036699999894
LONG,2023-01-10 09:18:00+05:30,3247.1438999999996,294,2023-01-10 09:24:00+05:30,3246.79995,CROSS_DOWN,-484.76129999985153
LONG,2023-01-10 09:45:00+05:30,3243.8405999999995,295,2023-01-10 09:54:00+05:30,3229.767,CROSS_DOWN,-4534.9919999999165
LONG,2023-01-16 09:18:00+05:30,3317.2138999999997,287,2023-01-16 09:24:00+05:30,3303.693,CROSS_DOWN,-4262.138299999865
LONG,2023-01-16 09:36:00+05:30,3316.9135999999994,285,2023-01-16 09:42:00+05:30,3318.678,CROSS_DOWN,122.33400000013626
SHORT,2023-01-16 10:33:00+05:30,3334.81185,284,2023-01-16 10:39:00+05:30,3340.1367999999998,CROSS_UP,-1893.3857999999198
SHORT,2023-01-16 10:54:00+05:30,3341.5551,283,2023-01-16 11:00:00+05:30,3349.89655,CROSS_UP,-2741.2803499999704
LONG,2023-01-16 12:27:00+05:30,3328.0747499999998,283,2023-01-16 12:33:00+05:30,3318.678,CROSS_DOWN,-3037.670249999967
SHORT,2023-01-17 09:36:00+05:30,3342.8538,281,2023-01-17 09:42:00+05:30,3346.1427999999996,CROSS_UP,-1302.5389999999325
LONG,2023-01-19 15:18:00+05:30,3375.8224499999997,278,2023-01-19 15:24:00+05:30,3368.8278,CROSS_DOWN,-2321.922699999899
SHORT,2023-01-23 13:48:00+05:30,3395.601,275,2023-01-23 13:54:00+05:30,3401.4980999999993,CROSS_UP,-1998.1324999997873
LONG,2023-01-30 11:06:00+05:30,3407.6041999999993,274,2023-01-30 11:15:00+05:30,3396.6,CROSS_DOWN,-3390.5607999998356
SHORT,2023-01-30 14:15:00+05:30,3446.5000499999996,270,2023-01-30 14:21:00+05:30,3454.6511999999993,CROSS_UP,-2576.1304999999156
SHORT,2023-01-30 14:27:00+05:30,3452.544,269,2023-01-30 14:33:00+05:30,3451.1476999999995,CROSS_UP,1.0947000000908247
LONG,2023-02-06 09:24:00+05:30,3446.1927499999997,269,2023-02-06 09:30:00+05:30,3439.9566,CROSS_DOWN,-2050.974349999926
LONG,2023-02-07 15:21:00+05:30,3467.7643,267,2023-02-07 15:27:00+05:30,3463.533,CROSS_DOWN,-1502.9670999999785
SHORT,2023-02-09 11:45:00+05:30,3530.466,262,2023-02-09 11:51:00+05:30,3537.5339999999997,CROSS_UP,-2225.145999999936
LONG,2023-02-09 12:45:00+05:30,3534.4309,261,2023-02-09 12:51:00+05:30,3526.47,CROSS_DOWN,-2449.52490000001
SHORT,2023-02-09 13:48:00+05:30,3535.461,260,2023-02-09 13:54:00+05:30,3546.4428999999996,CROSS_UP,-3226.6639999999397
LONG,2023-02-10 09:33:00+05:30,3518.8653499999996,260,2023-02-10 09:39:00+05:30,3506.1902999999998,CROSS_DOWN,-3664.2329999999556
LONG,2023-02-13 09:51:00+05:30,3493.8903999999998,261,2023-02-13 09:57:00+05:30,3480.76575,CROSS_DOWN,-3793.153649999934
LONG,2023-02-13 10:15:00+05:30,3484.2307499999997,261,2023-02-13 10:24:00+05:30,3484.512,CROSS_DOWN,-294.32374999988133
LONG,2023-02-14 14:21:00+05:30,3506.5029999999997,259,2023-02-14 14:27:00+05:30,3498.7977,CROSS_DOWN,-2362.392699999903
LONG,2023-02-14 14:39:00+05:30,3508.5049999999997,258,2023-02-14 14:45:00+05:30,3501.495,CROSS_DOWN,-2174.299999999939
LONG,2023-02-15 09:18:00+05:30,3478.4749999999995,260,2023-02-15 09:27:00+05:30,3464.532,CROSS_DOWN,-3990.1099999998182
LONG,2023-02-15 09:36:00+05:30,3474.170699999999,259,2023-02-15 09:42:00+05:30,3461.88465,CROSS_DOWN,-3545.5169499998055
SHORT,2023-02-15 15:21:00+05:30,3521.7747000000004,254,2023-02-15 15:27:00+05:30,3527.4739499999996,CROSS_UP,-1810.1894999997994
SHORT,2023-02-16 09:18:00+05:30,3533.6627999999996,253,2023-02-16 09:24:00+05:30,3547.2436999999995,CROSS_UP,-3798.4876999999824
SHORT,2023-02-16 09:33:00+05:30,3538.9575,252,2023-02-16 09:39:00+05:30,3549.4959499999995,CROSS_UP,-3017.3893999998886
SHORT,2023-02-16 09:45:00+05:30,3551.445,250,2023-02-16 09:51:00+05:30,3562.5089499999995,CROSS_UP,-3126.2974999998237
LONG,2023-02-17 09:27:00+05:30,3530.6270999999997,250,2023-02-17 09:33:00+05:30,3519.9765,CROSS_DOWN,-3020.1799999998716
LONG,2023-02-17 13:39:00+05:30,3511.508,251,2023-02-17 13:45:00+05:30,3506.5399500000003,CROSS_DOWN,-1604.470549999873
LONG,2023-02-17 14:48:00+05:30,3496.4929999999995,252,2023-02-17 14:54:00+05:30,3487.4091000000003,CROSS_DOWN,-2646.232799999792
LONG,2023-02-20 12:45:00+05:30,3488.1846999999993,251,2023-02-20 12:51:00+05:30,3480.516,CROSS_DOWN,-2280.073699999815
LONG,2023-02-21 12:24:00+05:30,3472.9694999999997,252,2023-02-21 12:30:00+05:30,3463.1333999999997,CROSS_DOWN,-2833.6471999999967
LONG,2023-02-21 12:33:00+05:30,3468.6151499999996,251,2023-02-21 12:39:00+05:30,3463.0335,CROSS_DOWN,-1754.6441499999064
LONG,2023-02-21 13:03:00+05:30,3468.01455,251,2023-02-21 13:09:00+05:30,3465.28125,CROSS_DOWN,-1039.8682999999678
LONG,2023-02-22 14:09:00+05:30,3405.1016999999993,255,2023-02-22 14:15:00+05:30,3394.5021,CROSS_DOWN,-3055.3579999997705
LONG,2023-02-24 12:51:00+05:30,3399.9965999999995,255,2023-02-24 12:57:00+05:30,3389.607,CROSS_DOWN,-3001.367999999877
LONG,2023-02-27 10:36:00+05:30,3324.2709499999996,260,2023-02-27 10:42:00+05:30,3319.2274500000003,CROSS_DOWN,-1662.759999999821
LONG,2023-02-27 10:48:00+05:30,3332.8795499999997,258,2023-02-27 10:54:00+05:30,3333.61305,CROSS_DOWN,-161.08699999992865
LONG,2023-02-28 10:45:00+05:30,3340.3369999999995,258,2023-02-28 10:51:00+05:30,3336.80985,CROSS_DOWN,-1260.6846999998547
LONG,2023-02-28 14:03:00+05:30,3321.2679499999995,259,2023-02-28 14:09:00+05:30,3309.23745,CROSS_DOWN,-3465.389499999843
LONG,2023-03-08 12:00:00+05:30,3359.6562999999996,255,2023-03-08 12:06:00+05:30,3352.644,CROSS_DOWN,-2136.7764999999663
SHORT,2023-03-08 13:30:00+05:30,3366.4302000000002,254,2023-03-08 13:36:00+05:30,3374.4710999999998,CROSS_UP,-2391.088599999876
SHORT,2023-03-08 13:48:00+05:30,3369.3273,253,2023-03-08 13:57:00+05:30,3377.2238499999994,CROSS_UP,-2345.6071499998684
SHORT,2023-03-13 09:18:00+05:30,3361.5351,253,2023-03-13 09:24:00+05:30,3359.3059499999995,CROSS_UP,217.0549500001449
LONG,2023-03-13 11:15:00+05:30,3324.2209,256,2023-03-13 11:21:00+05:30,3314.93175,CROSS_DOWN,-2724.4823999999
LONG,2023-03-14 13:24:00+05:30,3236.4331999999995,262,2023-03-14 13:30:00+05:30,3225.771,CROSS_DOWN,-3138.7563999998174
LONG,2023-03-15 12:21:00+05:30,3222.5693499999998,262,2023-03-15 12:27:00+05:30,3214.63215,CROSS_DOWN,-2423.73639999996
LONG,2023-03-16 12:15:00+05:30,3192.0388499999995,264,2023-03-16 12:21:00+05:30,3179.7171000000003,CROSS_DOWN,-3596.221999999777
LONG,2023-03-20 12:39:00+05:30,3110.1069999999995,270,2023-03-20 12:45:00+05:30,3106.64025,CROSS_DOWN,-1278.91249999989
SHORT,2023-03-20 14:48:00+05:30,3127.3195499999997,268,2023-03-20 14:54:00+05:30,3129.77665,CROSS_UP,-1001.142800000022
LONG,2023-03-22 10:36:00+05:30,3109.5063999999998,269,2023-03-22 10:42:00+05:30,3105.891,CROSS_DOWN,-1314.2825999999143
LONG,2023-03-27 15:03:00+05:30,3126.0729499999993,267,2023-03-27 15:09:00+05:30,3115.43145,CROSS_DOWN,-3181.850499999805
LONG,2023-03-27 15:24:00+05:30,3128.1249999999995,266,2023-03-27 15:27:00+05:30,3120.876,EOD,-2268.153999999825
SHORT,2023-03-29 15:24:00+05:30,3144.0028500000003,264,2023-03-29 15:27:00+05:30,3151.1479999999997,EOD,-2226.1795999998353
SHORT,2023-03-31 12:21:00+05:30,3184.26255,260,2023-03-31 12:27:00+05:30,3190.9878,CROSS_UP,-2087.6749999999897
SHORT,2023-03-31 12:39:00+05:30,3197.54925,258,2023-03-31 12:45:00+05:30,3205.0518499999994,CROSS_UP,-2273.7607999998318
SHORT,2023-04-03 14:30:00+05:30,3188.4084,258,2023-04-03 14:36:00+05:30,3196.0928999999996,CROSS_UP,-2319.86099999996
SHORT,2023-04-05 10:21:00+05:30,3225.92085,254,2023-04-05 10:27:00+05:30,3235.2319999999995,CROSS_UP,-2701.182099999884
SHORT,2023-04-05 10:39:00+05:30,3243.753,252,2023-04-05 10:45:00+05:30,3243.49025,CROSS_UP,-269.0869999999184
LONG,2023-04-05 15:21:00+05:30,3249.3460999999998,251,2023-04-05 15:27:00+05:30,3231.0657,CROSS_DOWN,-4921.72039999991
LONG,2023-04-06 11:12:00+05:30,3241.4381999999996,251,2023-04-06 11:21:00+05:30,3236.2605,CROSS_DOWN,-1633.1826999999325
LONG,2023-04-11 11:48:00+05:30,3217.8646499999995,252,2023-04-11 11:54:00+05:30,3216.2305499999998,CROSS_DOWN,-744.67319999994
LONG,2023-04-11 13:15:00+05:30,3198.1949999999997,253,2023-04-11 13:21:00+05:30,3201.795,CROSS_DOWN,578.150000000092
SHORT,2023-04-12 11:30:00+05:30,3228.61815,251,2023-04-12 11:36:00+05:30,3235.1319,CROSS_UP,-1967.8812500000183
LONG,2023-04-17 09:18:00+05:30,3088.0849999999996,262,2023-04-17 09:24:00+05:30,3073.47345,CROSS_DOWN,-4159.486099999902
SHORT,2023-04-18 12:51:00+05:30,3125.7711,257,2023-04-18 12:57:00+05:30,3133.4803499999994,CROSS_UP,-2311.7372499998532
SHORT,2023-04-18 13:00:00+05:30,3126.6702,257,2023-04-18 13:06:00+05:30,3132.6294999999996,CROSS_UP,-1862.0600999998792
SHORT,2023-04-19 12:24:00+05:30,3110.4864,257,2023-04-19 12:30:00+05:30,3117.7646499999996,CROSS_UP,-2199.58024999996
SHORT,2023-04-19 12:33:00+05:30,3110.886,257,2023-04-19 12:39:00+05:30,3117.1139999999996,CROSS_UP,-1929.6859999999
SHORT,2023-04-19 12:42:00+05:30,3108.888,256,2023-04-19 12:48:00+05:30,3113.86075,CROSS_UP,-1600.813999999976
SHORT,2023-04-21 13:33:00+05:30,3133.2136499999997,254,2023-04-21 13:39:00+05:30,3142.18905,CROSS_UP,-2607.601600000067
