direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-04 12:54:00+05:30,3297.1495499999996,303,2023-01-04 13:00:00+05:30,3305.3019999999997,CROSS_UP,-2869.6723500000135
LONG,2023-01-04 13:51:00+05:30,3324.8214999999996,299,2023-01-04 13:57:00+05:30,3316.68,CROSS_DOWN,-2831.198499999917
SHORT,2023-01-05 13:27:00+05:30,3294.7019999999998,301,2023-01-05 13:33:00+05:30,3300.9976999999994,CROSS_UP,-2291.8556999999005
LONG,2023-01-09 10:48:00+05:30,3305.6523499999994,300,2023-01-09 10:54:00+05:30,3296.1006,CROSS_DOWN,-3261.4349999997526
SHORT,2023-01-10 10:45:00+05:30,3240.70605,305,2023-01-10 10:51:00+05:30,3252.3490999999995,CROSS_UP,-3946.930249999901
LONG,2023-01-11 09:33:00+05:30,3302.34905,298,2023-01-11 09:39:00+05:30,3305.3913,CROSS_DOWN,512.2904999999903
SHORT,2023-01-12 15:03:00+05:30,3328.668,296,2023-01-12 15:09:00+05:30,3336.1328,CROSS_UP,-2604.1907999999235
LONG,2023-01-13 11:57:00+05:30,3357.8544999999995,292,2023-01-13 12:03:00+05:30,3347.19945,CROSS_DOWN,-3503.1545999998225
SHORT,2023-01-16 10:45:00+05:30,3335.3613,293,2023-01-16 10:51:00+05:30,3343.9405999999994,CROSS_UP,-2905.5448999998302
LONG,2023-01-17 10:51:00+05:30,3358.7053499999997,290,2023-01-17 10:57:00+05:30,3346.79985,CROSS_DOWN,-3842.104999999956
SHORT,2023-01-19 10:09:00+05:30,3365.88075,288,2023-01-19 10:15:00+05:30,3373.3699999999994,CROSS_UP,-2545.903999999893
LONG,2023-01-20 11:24:00+05:30,3392.6893,285,2023-01-20 11:30:00+05:30,3387.5091,CROSS_DOWN,-1863.9269999999392
SHORT,2023-01-20 14:03:00+05:30,3362.8338,287,2023-01-20 14:09:00+05:30,3368.365,CROSS_UP,-1974.9243999999708
LONG,2023-01-23 11:33:00+05:30,3378.7253499999997,285,2023-01-23 11:39:00+05:30,3374.6719500000004,CROSS_DOWN,-1541.4789999998084
SHORT,2023-01-23 12:21:00+05:30,3374.87175,285,2023-01-23 12:27:00+05:30,3383.3799999999997,CROSS_UP,-2811.2112499999607
LONG,2023-01-23 13:03:00+05:30,3390.3869999999997,283,2023-01-23 13:09:00+05:30,3384.612,CROSS_DOWN,-2019.2249999998971
SHORT,2023-01-25 10:42:00+05:30,3412.03455,281,2023-01-25 10:48:00+05:30,3413.4099999999994,CROSS_UP,-771.6514499998724
LONG,2023-01-25 15:00:00+05:30,3429.7763499999996,279,2023-01-25 15:06:00+05:30,3422.574,CROSS_DOWN,-2393.3456499998797
SHORT,2023-01-27 12:27:00+05:30,3404.9416499999998,280,2023-01-27 12:33:00+05:30,3413.4099999999994,CROSS_UP,-2754.517999999901
LONG,2023-01-30 13:27:00+05:30,3433.9805499999998,277,2023-01-30 13:33:00+05:30,3424.52205,CROSS_DOWN,-3001.7144999999255
SHORT,2023-01-31 10:42:00+05:30,3394.1025,280,2023-01-31 10:48:00+05:30,3393.3399499999996,CROSS_UP,-168.61599999989528
LONG,2023-02-01 12:51:00+05:30,3394.1908,280,2023-02-01 12:57:00+05:30,3384.4122,CROSS_DOWN,-3119.3879999999
SHORT,2023-02-06 10:03:00+05:30,3451.59495,274,2023-02-06 10:09:00+05:30,3467.2137499999994,CROSS_UP,-4660.361199999804
LONG,2023-02-07 09:57:00+05:30,3475.3718999999996,271,2023-02-07 10:03:00+05:30,3473.4730499999996,CROSS_DOWN,-893.5883500000105
SHORT,2023-02-10 10:45:00+05:30,3529.0674,266,2023-02-10 10:51:00+05:30,3533.2296999999994,CROSS_UP,-1485.301799999868
LONG,2023-02-10 14:12:00+05:30,3538.5349999999994,265,2023-02-10 14:18:00+05:30,3531.7647,CROSS_DOWN,-2171.3094999997948
SHORT,2023-02-13 09:39:00+05:30,3488.05845,268,2023-02-13 09:45:00+05:30,3498.5950999999995,CROSS_UP,-3200.68219999988
LONG,2023-02-14 10:39:00+05:30,3521.7682499999996,265,2023-02-14 10:45:00+05:30,3514.93155,CROSS_DOWN,-2187.3454999999567
SHORT,2023-02-15 09:36:00+05:30,3467.2293,269,2023-02-15 09:42:00+05:30,3468.8153499999994,CROSS_UP,-802.6074499998472
LONG,2023-02-15 15:09:00+05:30,3523.57005,264,2023-02-15 15:15:00+05:30,3518.92755,CROSS_DOWN,-1600.3199999999808
SHORT,2023-02-17 10:39:00+05:30,3524.5719,264,2023-02-17 10:45:00+05:30,3531.9784499999996,CROSS_UP,-2330.60919999992
LONG,2023-02-23 11:30:00+05:30,3449.8964499999993,269,2023-02-23 11:36:00+05:30,3440.1564,CROSS_DOWN,-2993.603449999846
SHORT,2023-02-24 09:18:00+05:30,3429.9666,269,2023-02-24 09:24:00+05:30,3433.43,CROSS_UP,-1304.1145999999026
LONG,2023-02-28 11:18:00+05:30,3345.6923499999994,276,2023-02-28 11:24:00+05:30,3340.1565,CROSS_DOWN,-1900.1145999998068
SHORT,2023-02-28 14:18:00+05:30,3312.2844,278,2023-02-28 14:24:00+05:30,3322.7194,CROSS_UP,-3272.8599999999847
LONG,2023-03-01 10:54:00+05:30,3361.3079499999994,273,2023-03-01 11:00:00+05:30,3356.5401,CROSS_DOWN,-1671.873049999801
SHORT,2023-03-02 10:48:00+05:30,3328.3682999999996,275,2023-03-02 10:54:00+05:30,3333.2799499999996,CROSS_UP,-1720.5937500000023
LONG,2023-03-03 11:27:00+05:30,3349.1458,273,2023-03-03 11:33:00+05:30,3342.60405,CROSS_DOWN,-2154.8377499999633
SHORT,2023-03-08 09:51:00+05:30,3346.0506,272,2023-03-08 09:57:00+05:30,3366.363,CROSS_UP,-5893.312799999945
LONG,2023-03-08 15:24:00+05:30,3397.394,267,2023-03-08 15:27:00+05:30,3388.45815,EOD,-2752.091949999959
SHORT,2023-03-09 10:54:00+05:30,3355.39125,269,2023-03-09 11:00:00+05:30,3364.3609999999994,CROSS_UP,-2778.35274999981
LONG,2023-03-13 09:51:00+05:30,3351.39805,269,2023-03-13 09:57:00+05:30,3344.7518999999998,CROSS_DOWN,-2152.244350000009
SHORT,2023-03-13 12:30:00+05:30,3292.9037999999996,273,2023-03-13 12:36:00+05:30,3301.5982999999997,CROSS_UP,-2737.7985000000167
LONG,2023-03-17 14:15:00+05:30,3218.1148999999996,278,2023-03-17 14:21:00+05:30,3202.24455,CROSS_DOWN,-4773.217299999914
SHORT,2023-03-20 10:00:00+05:30,3128.41845,285,2023-03-20 10:06:00+05:30,3133.3802499999997,CROSS_UP,-1775.6529999998816
LONG,2023-03-22 13:12:00+05:30,3123.4202999999998,285,2023-03-22 13:18:00+05:30,3116.03085,CROSS_DOWN,-2466.333249999906
SHORT,2023-03-24 14:45:00+05:30,3134.3625,283,2023-03-24 14:51:00+05:30,3138.5854499999996,CROSS_UP,-1555.0048499998304
LONG,2023-03-27 14:18:00+05:30,3152.6494999999995,281,2023-03-27 14:24:00+05:30,3146.6502,CROSS_DOWN,-2044.7532999998577
SHORT,2023-03-28 09:15:00+05:30,3131.865,282,2023-03-28 09:21:00+05:30,3143.2400999999995,CROSS_UP,-3566.468199999929
