direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 11:27:00+05:30,1219.6791,819,2023-01-02 11:33:00+05:30,1220.6194,CROSS_UP,-1169.435699999983,-770.105699999983,89.81,309.52,399.33
LONG,2023-01-02 12:18:00+05:30,1223.1218999999999,816,2023-01-02 12:24:00+05:30,1219.6791,CROSS_DOWN,-3207.494799999842,-2809.324799999842,89.7,308.47,398.17
SHORT,2023-01-02 13:54:00+05:30,1221.777,814,2023-01-02 14:03:00+05:30,1222.4212,CROSS_UP,-922.1387999999636,-524.3787999999636,89.5,308.26,397.76
LONG,2023-01-02 14:51:00+05:30,1224.1228999999998,812,2023-01-02 14:57:00+05:30,1223.9748,CROSS_DOWN,-517.7571999999072,-120.25719999990724,89.43,308.07,397.5
SHORT,2023-01-03 09:24:00+05:30,1217.53125,816,2023-01-03 09:30:00+05:30,1221.3200999999997,CROSS_UP,-3489.271599999742,-3091.701599999742,89.6,307.97,397.57000000000005
LONG,2023-01-03 10:06:00+05:30,1226.1249,807,2023-01-03 10:12:00+05:30,1223.72505,CROSS_DOWN,-2332.068950000012,-1936.678950000012,89.13,306.26,395.39
SHORT,2023-01-03 10:33:00+05:30,1222.8759,808,2023-01-03 10:39:00+05:30,1225.8245999999997,CROSS_UP,-2778.1595999997494,-2382.5495999997493,89.19,306.42,395.61
SHORT,2023-01-03 11:21:00+05:30,1220.2785,807,2023-01-03 11:27:00+05:30,1223.37215,CROSS_UP,-2891.0255500000203,-2496.5755500000205,88.98,305.47,394.45000000000005
LONG,2023-01-03 13:39:00+05:30,1217.7164999999998,806,2023-01-03 13:45:00+05:30,1214.9838,CROSS_DOWN,-2595.046199999835,-2202.556199999835,88.6,303.89,392.49
SHORT,2023-01-03 14:15:00+05:30,1214.9838,806,2023-01-03 14:21:00+05:30,1218.5172999999998,CROSS_UP,-3240.53099999982,-2848.0009999998197,88.64,303.89,392.53
LONG,2023-01-03 14:24:00+05:30,1218.4171999999999,801,2023-01-03 14:30:00+05:30,1216.4823000000001,CROSS_DOWN,-1940.5848999997943,-1549.8548999997943,88.23,302.5,390.73
SHORT,2023-01-04 09:21:00+05:30,1214.9838,802,2023-01-04 09:27:00+05:30,1218.7675499999998,CROSS_UP,-3425.3974999998613,-3034.5674999998614,88.33,302.5,390.83
LONG,2023-01-04 11:24:00+05:30,1211.9107,801,2023-01-04 11:30:00+05:30,1209.4893,CROSS_DOWN,-2328.331399999959,-1939.541399999959,87.89,300.9,388.78999999999996
SHORT,2023-01-04 11:51:00+05:30,1206.44235,803,2023-01-04 11:57:00+05:30,1207.9067,CROSS_UP,-1564.603049999974,-1175.873049999974,87.84,300.89,388.73
LONG,2023-01-04 13:54:00+05:30,1207.5062999999998,801,2023-01-04 14:00:00+05:30,1205.2935,CROSS_DOWN,-2160.0327999998303,-1772.4527999998304,87.65,299.93,387.58000000000004
SHORT,2023-01-04 14:27:00+05:30,1201.6971,803,2023-01-04 14:33:00+05:30,1203.7024999999999,CROSS_UP,-1997.7461999998245,-1610.3361999998244,87.61,299.8,387.41
LONG,2023-01-05 09:30:00+05:30,1207.9067,797,2023-01-05 09:36:00+05:30,1203.5952,CROSS_DOWN,-3821.795500000019,-3436.2655000000186,87.36,298.17,385.53000000000003
SHORT,2023-01-05 10:48:00+05:30,1200.8979,799,2023-01-05 10:54:00+05:30,1202.8015999999998,CROSS_UP,-1906.5462999998756,-1521.0562999998756,87.25,298.24,385.49
LONG,2023-01-05 14:00:00+05:30,1199.64845,798,2023-01-05 14:06:00+05:30,1195.7031000000002,CROSS_DOWN,-3532.0992999997884,-3148.3892999997884,87.0,296.71,383.71
SHORT,2023-01-05 14:15:00+05:30,1192.95585,799,2023-01-05 14:21:00+05:30,1195.0938999999998,CROSS_UP,-2091.561949999835,-1708.3019499998352,86.84,296.42,383.26
LONG,2023-01-05 14:45:00+05:30,1197.2960999999998,795,2023-01-05 14:51:00+05:30,1194.9039,CROSS_DOWN,-2283.938999999821,-1901.7989999998213,86.64,295.5,382.14
SHORT,2023-01-06 10:48:00+05:30,1206.9418500000002,786,2023-01-06 10:54:00+05:30,1211.3100999999997,CROSS_UP,-3815.2244999996337,-3433.444499999634,86.65,295.13,381.78
SHORT,2023-01-06 11:15:00+05:30,1207.54125,783,2023-01-06 11:21:00+05:30,1210.6094,CROSS_UP,-2782.971450000047,-2402.3614500000467,86.38,294.23,380.61
SHORT,2023-01-06 12:33:00+05:30,1208.64015,780,2023-01-06 12:39:00+05:30,1208.0067999999999,CROSS_UP,114.57300000004994,494.01300000004994,86.0,293.44,379.44
LONG,2023-01-06 14:27:00+05:30,1207.5563499999998,781,2023-01-06 14:33:00+05:30,1205.9928,CROSS_DOWN,-1600.382549999883,-1221.132549999883,86.06,293.19,379.25
SHORT,2023-01-09 12:33:00+05:30,1231.2675,764,2023-01-09 12:39:00+05:30,1234.7334999999998,CROSS_UP,-3026.9439999999195,-2648.0239999999194,86.07,292.85,378.92
LONG,2023-01-09 14:27:00+05:30,1233.9326999999998,760,2023-01-09 14:33:00+05:30,1232.2665,CROSS_DOWN,-1643.6819999999161,-1266.3119999999162,85.71,291.66,377.37
SHORT,2023-01-09 15:00:00+05:30,1234.5642,759,2023-01-09 15:06:00+05:30,1238.8375999999998,CROSS_UP,-3621.180599999856,-3243.510599999856,85.87,291.8,377.67
SHORT,2023-01-10 09:27:00+05:30,1230.91785,758,2023-01-10 09:33:00+05:30,1233.232,CROSS_UP,-2130.2956999999446,-1754.1256999999446,85.51,290.66,376.17
LONG,2023-01-10 12:12:00+05:30,1230.2289999999998,757,2023-01-10 12:18:00+05:30,1226.772,CROSS_DOWN,-2991.638999999909,-2616.948999999909,85.28,289.41,374.69000000000005
SHORT,2023-01-10 12:21:00+05:30,1225.8728999999998,757,2023-01-10 12:27:00+05:30,1229.0277999999998,CROSS_UP,-2762.6792999999984,-2388.2592999999983,85.21,289.21,374.41999999999996
