direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 09:21:00+05:30,1217.0817,821,2023-01-02 09:27:00+05:30,1218.9177,CROSS_UP,-1906.8260000000105,-1507.3560000000105,89.87,309.6,399.47
SHORT,2023-01-02 10:09:00+05:30,1220.3783999999998,817,2023-01-02 10:15:00+05:30,1222.17095,CROSS_UP,-1863.2233500000975,-1464.5133500000975,89.73,308.98,398.71000000000004
LONG,2023-01-02 10:45:00+05:30,1223.9226999999998,813,2023-01-02 10:51:00+05:30,1222.12665,CROSS_DOWN,-1857.6786499999373,-1460.1886499999373,89.5,307.99,397.49
SHORT,2023-01-02 11:12:00+05:30,1220.6781,814,2023-01-02 11:18:00+05:30,1222.5212999999999,CROSS_UP,-1897.8647999998348,-1500.3647999998348,89.5,308.0,397.5
LONG,2023-01-02 12:09:00+05:30,1222.0708499999998,812,2023-01-02 12:15:00+05:30,1220.6781,CROSS_DOWN,-1527.5329999997975,-1130.9129999997976,89.32,307.3,396.62
SHORT,2023-01-02 12:57:00+05:30,1220.4783,811,2023-01-02 13:03:00+05:30,1222.5212999999999,CROSS_UP,-2053.042999999913,-1656.872999999913,89.26,306.91,396.17
LONG,2023-01-02 13:18:00+05:30,1223.2720499999998,808,2023-01-02 13:24:00+05:30,1221.92685,CROSS_DOWN,-1482.1815999997978,-1086.9215999997978,89.06,306.2,395.26
SHORT,2023-01-02 13:42:00+05:30,1220.6781,808,2023-01-02 13:48:00+05:30,1222.8215999999998,CROSS_UP,-2126.8879999997384,-1731.9479999997384,89.03,305.91,394.94000000000005
LONG,2023-01-02 14:48:00+05:30,1224.0227999999997,804,2023-01-02 14:54:00+05:30,1222.6761000000001,CROSS_DOWN,-1476.4867999996789,-1082.7467999996788,88.77,304.97,393.74
SHORT,2023-01-03 09:18:00+05:30,1220.02875,806,2023-01-03 09:24:00+05:30,1219.9687499999998,CROSS_UP,-345.4199999998607,48.36000000013928,88.72,305.06,393.78
LONG,2023-01-03 10:00:00+05:30,1225.4242,802,2023-01-03 10:06:00+05:30,1223.6751000000002,CROSS_DOWN,-1795.9681999998165,-1402.7781999998165,88.69,304.5,393.19
SHORT,2023-01-03 10:30:00+05:30,1221.1776,803,2023-01-03 10:36:00+05:30,1225.1739499999999,CROSS_UP,-3602.089049999914,-3209.069049999914,88.75,304.27,393.02
LONG,2023-01-03 10:42:00+05:30,1224.1228999999998,798,2023-01-03 10:48:00+05:30,1222.776,CROSS_DOWN,-1466.0061999998227,-1074.8261999998226,88.29,302.89,391.18
LONG,2023-01-03 10:51:00+05:30,1225.4742499999998,796,2023-01-03 10:57:00+05:30,1223.4753,CROSS_DOWN,-1981.7141999997573,-1591.1641999997573,88.2,302.35,390.55
SHORT,2023-01-03 11:12:00+05:30,1222.2765,797,2023-01-03 11:18:00+05:30,1224.1228999999998,CROSS_UP,-1862.2207999999227,-1471.5807999999229,88.21,302.43,390.64
LONG,2023-01-03 12:45:00+05:30,1217.3160999999998,799,2023-01-03 12:51:00+05:30,1214.0846999999999,CROSS_DOWN,-2971.148599999916,-2581.8885999999156,88.01,301.25,389.26
SHORT,2023-01-03 14:15:00+05:30,1214.9838,798,2023-01-03 14:21:00+05:30,1218.5172999999998,CROSS_UP,-3208.8429999998216,-2819.7329999998215,88.0,301.11,389.11
LONG,2023-01-03 14:24:00+05:30,1218.4171999999999,793,2023-01-03 14:30:00+05:30,1216.4823000000001,CROSS_DOWN,-1921.6756999997963,-1534.3756999997963,87.59,299.71,387.29999999999995
SHORT,2023-01-03 15:03:00+05:30,1216.9818,792,2023-01-03 15:09:00+05:30,1220.4191999999998,CROSS_UP,-3109.51079999984,-2722.42079999984,87.61,299.48,387.09000000000003
LONG,2023-01-03 15:12:00+05:30,1220.3190999999997,787,2023-01-03 15:18:00+05:30,1217.9808,CROSS_DOWN,-2225.4020999997347,-1840.2420999997346,87.2,297.96,385.15999999999997
SHORT,2023-01-04 09:15:00+05:30,1215.2335500000002,789,2023-01-04 09:21:00+05:30,1217.4162,CROSS_UP,-2107.3608499997945,-1722.1108499997945,87.21,298.04,385.25
LONG,2023-01-04 10:24:00+05:30,1209.45825,791,2023-01-04 10:30:00+05:30,1208.4903,CROSS_DOWN,-1149.8184499999788,-765.648449999979,86.96,297.21,384.16999999999996
SHORT,2023-01-04 11:51:00+05:30,1206.44235,792,2023-01-04 11:57:00+05:30,1207.9067,CROSS_UP,-1543.8151999999743,-1159.7651999999744,86.96,297.09,384.04999999999995
LONG,2023-01-04 12:33:00+05:30,1204.9036999999998,792,2023-01-04 12:39:00+05:30,1201.9968000000001,CROSS_DOWN,-2685.144799999781,-2302.2647999997807,86.8,296.08,382.88
SHORT,2023-01-04 13:24:00+05:30,1201.24755,792,2023-01-04 13:30:00+05:30,1203.7024999999999,CROSS_UP,-2326.9703999998624,-1944.3203999998623,86.74,295.91,382.65000000000003
SHORT,2023-01-04 14:24:00+05:30,1200.8979,790,2023-01-04 14:30:00+05:30,1203.0017999999998,CROSS_UP,-2043.7709999998733,-1662.0809999998733,86.54,295.15,381.69
LONG,2023-01-04 15:15:00+05:30,1201.7005,788,2023-01-04 15:21:00+05:30,1198.5003000000002,CROSS_DOWN,-2901.987599999817,-2521.757599999817,86.31,293.92,380.23
LONG,2023-01-05 09:18:00+05:30,1203.3020999999999,784,2023-01-05 09:24:00+05:30,1201.94685,CROSS_DOWN,-1441.915999999876,-1062.515999999876,86.08,293.32,379.4
SHORT,2023-01-05 09:51:00+05:30,1203.9948,783,2023-01-05 09:57:00+05:30,1205.0538499999998,CROSS_UP,-1208.756149999877,-829.236149999877,86.09,293.43,379.52
SHORT,2023-01-05 10:33:00+05:30,1202.8959,783,2023-01-05 10:39:00+05:30,1204.65345,CROSS_UP,-1755.4216500000293,-1376.1616500000293,86.07,293.19,379.26
LONG,2023-01-05 11:42:00+05:30,1202.7015,781,2023-01-05 11:48:00+05:30,1198.2006000000001,CROSS_DOWN,-3892.462899999824,-3515.202899999824,85.81,291.45,377.26
SHORT,2023-01-05 11:54:00+05:30,1198.4004,781,2023-01-05 12:00:00+05:30,1199.3981999999999,CROSS_UP,-1156.4117999998984,-779.2817999998986,85.64,291.49,377.13
LONG,2023-01-05 12:09:00+05:30,1200.3991999999998,778,2023-01-05 12:15:00+05:30,1198.1007,CROSS_DOWN,-2164.0829999999037,-1788.2329999999038,85.45,290.4,375.84999999999997
