direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 15:21:00+05:30,1227.1216499999998,814,2023-01-02 15:27:00+05:30,1229.8285999999998,CROSS_UP,-2602.857300000005,-2203.457300000005,89.9,309.5,399.4
LONG,2023-01-03 12:00:00+05:30,1219.4181999999998,817,2023-01-03 12:06:00+05:30,1216.4823000000001,CROSS_DOWN,-2796.2802999997707,-2398.6302999997706,89.58,308.07,397.65
LONG,2023-01-04 09:39:00+05:30,1211.8105999999998,820,2023-01-04 09:45:00+05:30,1207.3914,CROSS_DOWN,-4020.1339999998513,-3623.7439999998514,89.41,306.98,396.39
LONG,2023-01-04 10:30:00+05:30,1210.9097,818,2023-01-04 10:36:00+05:30,1209.5892,CROSS_DOWN,-1476.1690000000312,-1080.1690000000312,89.2,306.8,396.0
LONG,2023-01-04 12:03:00+05:30,1205.7044999999998,820,2023-01-04 12:09:00+05:30,1202.24655,CROSS_DOWN,-3230.368999999799,-2835.5189999997992,89.08,305.77,394.84999999999997
LONG,2023-01-04 12:24:00+05:30,1205.5042999999998,817,2023-01-04 12:30:00+05:30,1203.84495,CROSS_DOWN,-1749.6389499999216,-1355.6889499999215,88.83,305.12,393.95
LONG,2023-01-04 15:12:00+05:30,1201.8506499999999,818,2023-01-04 15:21:00+05:30,1198.5003000000002,CROSS_DOWN,-3133.506299999761,-2740.5862999997607,88.71,304.21,392.91999999999996
LONG,2023-01-05 11:18:00+05:30,1201.4502499999999,816,2023-01-05 11:24:00+05:30,1199.799,CROSS_DOWN,-1739.779999999911,-1347.419999999911,88.53,303.83,392.36
SHORT,2023-01-06 09:24:00+05:30,1210.0887,809,2023-01-06 09:30:00+05:30,1212.5113,CROSS_UP,-2352.243399999899,-1959.8833999998988,88.56,303.8,392.36
SHORT,2023-01-06 09:36:00+05:30,1212.4363500000002,805,2023-01-06 09:42:00+05:30,1213.2119999999998,CROSS_UP,-1015.6382499996673,-624.3982499996673,88.28,302.96,391.24
LONG,2023-01-06 12:57:00+05:30,1207.206,808,2023-01-06 13:06:00+05:30,1203.0956999999999,CROSS_DOWN,-3711.162400000042,-3321.122400000042,88.2,301.84,390.03999999999996
LONG,2023-01-06 13:21:00+05:30,1203.1019,808,2023-01-06 13:27:00+05:30,1199.5991999999999,CROSS_DOWN,-3219.1916000000037,-2830.1816000000035,87.98,301.03,389.01
SHORT,2023-01-09 10:06:00+05:30,1222.82595,792,2023-01-09 10:12:00+05:30,1225.224,CROSS_UP,-2287.9156000000094,-1899.2556000000095,87.86,300.8,388.66
SHORT,2023-01-09 11:15:00+05:30,1232.8659,784,2023-01-09 11:21:00+05:30,1236.5352999999998,CROSS_UP,-3264.8695999998185,-2876.8095999998186,87.8,300.26,388.06
SHORT,2023-01-09 11:30:00+05:30,1235.11365,780,2023-01-09 11:36:00+05:30,1236.6354,CROSS_UP,-1573.7949999999091,-1186.9649999999092,87.48,299.35,386.83000000000004
SHORT,2023-01-09 11:45:00+05:30,1233.765,779,2023-01-09 11:51:00+05:30,1238.1869499999998,CROSS_UP,-3830.869049999764,-3444.6990499997637,87.48,298.69,386.17
LONG,2023-01-09 13:48:00+05:30,1229.3280999999997,779,2023-01-09 13:54:00+05:30,1229.7190500000002,CROSS_DOWN,-80.25994999966503,304.550050000335,87.02,297.79,384.81
LONG,2023-01-10 09:54:00+05:30,1231.0798499999999,778,2023-01-10 10:00:00+05:30,1226.4723000000001,CROSS_DOWN,-3968.4238999997815,-3584.6738999997815,87.03,296.72,383.75
LONG,2023-01-10 11:30:00+05:30,1226.87565,777,2023-01-10 11:36:00+05:30,1226.32245,CROSS_DOWN,-812.8964000000472,-429.8364000000472,86.73,296.33,383.06
LONG,2023-01-10 12:54:00+05:30,1222.4212,779,2023-01-10 13:00:00+05:30,1221.1776,CROSS_DOWN,-1351.3144000000116,-968.7644000000116,86.66,295.89,382.54999999999995
LONG,2023-01-10 13:33:00+05:30,1222.5212999999999,778,2023-01-10 13:39:00+05:30,1217.781,CROSS_DOWN,-4069.3233999999484,-3687.9533999999485,86.59,294.78,381.37
LONG,2023-01-11 09:57:00+05:30,1208.9077,783,2023-01-11 10:03:00+05:30,1208.1406499999998,CROSS_DOWN,-981.2501500001206,-600.6001500001205,86.29,294.36,380.65000000000003
LONG,2023-01-11 14:09:00+05:30,1205.1039,785,2023-01-11 14:15:00+05:30,1202.2965,CROSS_DOWN,-2583.7990000001128,-2203.8090000001125,86.25,293.74,379.99
LONG,2023-01-12 10:03:00+05:30,1191.7905999999998,792,2023-01-12 10:09:00+05:30,1190.0088,CROSS_DOWN,-1790.6555999998006,-1411.1855999998006,86.11,293.36,379.47
LONG,2023-01-12 11:12:00+05:30,1184.4832999999999,795,2023-01-12 11:18:00+05:30,1181.26755,CROSS_DOWN,-2934.8812499998758,-2556.5212499998756,85.96,292.4,378.35999999999996
