direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 11:57:00+05:30,1219.52925,819,2023-01-02 12:03:00+05:30,1221.8205999999998,CROSS_UP,-2275.965649999786,-1876.6156499997858,89.87,309.48,399.35
LONG,2023-01-02 13:06:00+05:30,1223.0217999999998,815,2023-01-02 13:12:00+05:30,1220.8279499999999,CROSS_DOWN,-2185.9877499999056,-1787.9877499999054,89.61,308.39,398.0
SHORT,2023-01-02 14:27:00+05:30,1219.02975,816,2023-01-02 14:33:00+05:30,1222.0207999999998,CROSS_UP,-2838.656799999885,-2440.696799999885,89.64,308.32,397.96
LONG,2023-01-02 15:09:00+05:30,1228.47725,808,2023-01-02 15:15:00+05:30,1226.8718999999999,CROSS_DOWN,-1693.8028000000354,-1297.1228000000356,89.34,307.34,396.67999999999995
SHORT,2023-01-03 10:06:00+05:30,1223.6751000000002,809,2023-01-03 10:12:00+05:30,1226.1749499999999,CROSS_UP,-2418.618649999755,-2022.3786499997545,89.29,306.95,396.24
LONG,2023-01-03 10:42:00+05:30,1224.1228999999998,807,2023-01-03 10:48:00+05:30,1222.776,CROSS_DOWN,-1482.0082999998206,-1086.9482999998206,89.02,306.04,395.06
SHORT,2023-01-03 11:12:00+05:30,1222.2765,807,2023-01-03 11:18:00+05:30,1224.1228999999998,CROSS_UP,-1884.994799999922,-1490.044799999922,89.02,305.93,394.95
LONG,2023-01-03 11:24:00+05:30,1222.6214,805,2023-01-03 11:30:00+05:30,1220.8779,CROSS_DOWN,-1797.197500000032,-1403.5175000000322,88.78,304.9,393.67999999999995
SHORT,2023-01-03 11:54:00+05:30,1218.8799,806,2023-01-03 12:00:00+05:30,1219.4181999999998,CROSS_UP,-827.3497999999481,-433.8697999999481,88.69,304.79,393.48
LONG,2023-01-03 14:21:00+05:30,1218.5172999999998,806,2023-01-03 14:27:00+05:30,1215.9828,CROSS_DOWN,-2435.566999999801,-2042.8069999998006,88.64,304.12,392.76
SHORT,2023-01-04 09:42:00+05:30,1208.3904,811,2023-01-04 09:48:00+05:30,1208.5072999999998,CROSS_UP,-487.415899999805,-94.80589999980498,88.51,304.1,392.61
