direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl
SHORT,2023-01-02 11:40:00+05:30,1219.8289499999998,819,2023-01-02 11:50:00+05:30,1221.3200999999997,CROSS_UP,-1620.641849999864
LONG,2023-01-02 12:20:00+05:30,1222.7214999999999,816,2023-01-02 12:30:00+05:30,1220.6781,CROSS_DOWN,-2065.7943999998306
SHORT,2023-01-02 14:15:00+05:30,1217.6811,818,2023-01-02 14:25:00+05:30,1221.4702499999999,CROSS_UP,-3497.9946999998656
LONG,2023-01-02 15:00:00+05:30,1228.1769499999998,808,2023-01-02 15:10:00+05:30,1226.5722,CROSS_DOWN,-1693.2279999997897
SHORT,2023-01-03 09:30:00+05:30,1218.5801999999999,813,2023-01-03 09:40:00+05:30,1222.2710499999998,CROSS_UP,-3397.2410499999633
LONG,2023-01-03 10:10:00+05:30,1226.1749499999999,805,2023-01-03 10:20:00+05:30,1221.5772,CROSS_DOWN,-4095.228749999924
SHORT,2023-01-03 11:25:00+05:30,1220.92785,805,2023-01-03 11:35:00+05:30,1222.1209,CROSS_UP,-1354.0752499998853
LONG,2023-01-03 14:30:00+05:30,1218.5172999999998,806,2023-01-03 14:40:00+05:30,1217.53125,CROSS_DOWN,-1187.8762999997984
SHORT,2023-01-04 09:25:00+05:30,1216.3324499999999,806,2023-01-04 09:35:00+05:30,1211.8606499999999,CROSS_UP,3211.7708000000243
LONG,2023-01-04 14:05:00+05:30,1207.7565499999998,814,2023-01-04 14:15:00+05:30,1204.5942,CROSS_DOWN,-2967.122899999864
SHORT,2023-01-04 14:30:00+05:30,1201.4973,816,2023-01-04 14:40:00+05:30,1202.2009999999998,CROSS_UP,-967.0091999998358
LONG,2023-01-05 09:35:00+05:30,1205.6044,813,2023-01-05 09:45:00+05:30,1199.94885,CROSS_DOWN,-4989.302149999958
SHORT,2023-01-05 09:50:00+05:30,1203.2955,810,2023-01-05 10:00:00+05:30,1205.85465,CROSS_UP,-2463.7815000000364
SHORT,2023-01-05 10:55:00+05:30,1199.8989,810,2023-01-05 11:05:00+05:30,1202.6014,CROSS_UP,-2578.925000000081
LONG,2023-01-05 14:50:00+05:30,1196.9958,810,2023-01-05 15:00:00+05:30,1195.4034,CROSS_DOWN,-1678.4039999999982
LONG,2023-01-05 15:10:00+05:30,1198.0468499999997,808,2023-01-05 15:20:00+05:30,1199.54925,CROSS_DOWN,825.2092000002481
SHORT,2023-01-06 12:45:00+05:30,1204.4943,804,2023-01-06 12:55:00+05:30,1207.206,CROSS_UP,-2568.876799999869
LONG,2023-01-06 14:40:00+05:30,1207.5062999999998,800,2023-01-06 14:50:00+05:30,1207.74105,CROSS_DOWN,-199.91999999975695
SHORT,2023-01-09 13:25:00+05:30,1230.5682,785,2023-01-09 13:35:00+05:30,1231.88065,CROSS_UP,-1418.0032500000991
LONG,2023-01-09 14:35:00+05:30,1235.1339,781,2023-01-09 14:45:00+05:30,1232.6661000000001,CROSS_DOWN,-2313.98179999992
SHORT,2023-01-10 09:35:00+05:30,1230.2685,782,2023-01-10 09:45:00+05:30,1231.98075,CROSS_UP,-1725.3495000000314
LONG,2023-01-11 12:30:00+05:30,1210.3090999999997,794,2023-01-11 12:40:00+05:30,1206.792,CROSS_DOWN,-3177.6773999998413
LONG,2023-01-11 13:40:00+05:30,1209.7085,791,2023-01-11 13:50:00+05:30,1206.14265,CROSS_DOWN,-3204.237349999964
LONG,2023-01-13 09:15:00+05:30,1170.2690999999998,815,2023-01-13 09:25:00+05:30,1167.48135,CROSS_DOWN,-2654.7162499997826
LONG,2023-01-13 11:35:00+05:30,1167.8666999999998,815,2023-01-13 11:45:00+05:30,1165.0338000000002,CROSS_DOWN,-2690.8134999997183
LONG,2023-01-13 12:10:00+05:30,1169.3682,811,2023-01-13 12:20:00+05:30,1168.3804499999999,CROSS_DOWN,-1182.2952500000044
SHORT,2023-01-16 09:50:00+05:30,1171.1277,809,2023-01-16 10:00:00+05:30,1174.2730999999999,CROSS_UP,-2925.9185999999045
LONG,2023-01-16 11:55:00+05:30,1173.7725999999998,805,2023-01-16 12:05:00+05:30,1172.5263,CROSS_DOWN,-1383.2114999998325
SHORT,2023-01-16 12:35:00+05:30,1171.27755,805,2023-01-16 12:45:00+05:30,1169.5683999999999,CROSS_UP,996.4357500001095
LONG,2023-01-17 09:20:00+05:30,1172.2710999999997,806,2023-01-17 09:30:00+05:30,1171.827,CROSS_DOWN,-738.0545999997643
SHORT,2023-01-17 13:15:00+05:30,1174.3245,804,2023-01-17 13:25:00+05:30,1175.6744999999999,CROSS_UP,-1465.4399999999268
LONG,2023-01-17 13:35:00+05:30,1177.3762,800,2023-01-17 13:45:00+05:30,1176.0228,CROSS_DOWN,-1461.589999999972
SHORT,2023-01-18 09:30:00+05:30,1172.9259,802,2023-01-18 09:40:00+05:30,1175.2740999999999,CROSS_UP,-2262.1263999999246
LONG,2023-01-18 10:45:00+05:30,1181.0799,795,2023-01-18 10:55:00+05:30,1177.7211,CROSS_DOWN,-3047.6159999999795
SHORT,2023-01-18 14:10:00+05:30,1181.36745,792,2023-01-18 14:20:00+05:30,1183.2320499999998,CROSS_UP,-1853.8331999999068
LONG,2023-01-19 11:05:00+05:30,1180.0288499999997,791,2023-01-19 11:15:00+05:30,1179.66915,CROSS_DOWN,-660.6226999998006
SHORT,2023-01-19 13:00:00+05:30,1176.87195,793,2023-01-19 13:10:00+05:30,1179.1279499999998,CROSS_UP,-2165.2479999998877
LONG,2023-01-19 13:50:00+05:30,1181.0799,788,2023-01-19 14:00:00+05:30,1180.7680500000001,CROSS_DOWN,-620.8977999998599
SHORT,2023-01-19 14:35:00+05:30,1178.0208,790,2023-01-19 14:45:00+05:30,1181.1799999999998,CROSS_UP,-2871.1379999998644
SHORT,2023-01-19 15:10:00+05:30,1176.17265,788,2023-01-19 15:20:00+05:30,1177.3762,CROSS_UP,-1322.3173999999608
LONG,2023-01-20 10:50:00+05:30,1173.4723,789,2023-01-20 11:00:00+05:30,1169.57925,CROSS_DOWN,-3444.266449999923
LONG,2023-01-20 11:50:00+05:30,1172.32115,787,2023-01-20 12:00:00+05:30,1171.2276000000002,CROSS_DOWN,-1232.7538499998607
LONG,2023-01-20 12:05:00+05:30,1172.8717,786,2023-01-20 12:15:00+05:30,1170.9279,CROSS_DOWN,-1899.506800000008
SHORT,2023-01-20 12:50:00+05:30,1171.1776499999999,785,2023-01-20 13:00:00+05:30,1172.7715999999998,CROSS_UP,-1622.5707499999605
SHORT,2023-01-20 13:45:00+05:30,1170.27855,784,2023-01-20 13:55:00+05:30,1169.9687999999999,CROSS_UP,-127.71599999990443
LONG,2023-01-23 09:40:00+05:30,1169.6684999999998,785,2023-01-23 09:50:00+05:30,1173.6252,CROSS_DOWN,2734.2995000001433
SHORT,2023-01-23 11:00:00+05:30,1166.3325,789,2023-01-23 11:10:00+05:30,1165.5644,CROSS_UP,234.53090000000316
LONG,2023-01-23 14:25:00+05:30,1161.0599,793,2023-01-23 14:35:00+05:30,1156.5423,CROSS_DOWN,-3953.1467999999227
SHORT,2023-01-23 14:40:00+05:30,1156.0428,793,2023-01-23 14:50:00+05:30,1159.158,CROSS_UP,-2840.8335999999676
LONG,2023-01-24 09:30:00+05:30,1164.2630999999997,785,2023-01-24 09:40:00+05:30,1160.78805,CROSS_DOWN,-3096.454249999651
SHORT,2023-01-24 10:10:00+05:30,1148.1507,793,2023-01-24 10:20:00+05:30,1154.4032499999998,CROSS_UP,-5326.702149999943
LONG,2023-01-24 11:05:00+05:30,1160.7595999999999,780,2023-01-24 11:15:00+05:30,1155.0438000000001,CROSS_DOWN,-4823.35399999978
SHORT,2023-01-24 11:25:00+05:30,1156.99185,778,2023-01-24 11:40:00+05:30,1157.6564999999998,CROSS_UP,-881.5876999997747
LONG,2023-01-24 15:05:00+05:30,1153.6024499999999,780,2023-01-24 15:15:00+05:30,1150.29855,CROSS_DOWN,-2940.6419999999102
LONG,2023-01-25 14:20:00+05:30,1140.2390999999998,786,2023-01-25 14:30:00+05:30,1135.5133500000002,CROSS_DOWN,-4076.449499999691
SHORT,2023-01-25 14:35:00+05:30,1134.3645,787,2023-01-25 14:45:00+05:30,1136.4352999999999,CROSS_UP,-1991.6795999999708
LONG,2023-01-27 13:15:00+05:30,1109.2080999999998,803,2023-01-27 13:25:00+05:30,1107.0918000000001,CROSS_DOWN,-2060.028899999745
SHORT,2023-01-27 14:25:00+05:30,1106.892,803,2023-01-27 14:35:00+05:30,1108.5074,CROSS_UP,-1657.7261999999266
LONG,2023-01-27 15:05:00+05:30,1114.9638499999999,796,2023-01-27 15:15:00+05:30,1114.3845,CROSS_DOWN,-821.0425999999815
SHORT,2023-01-30 12:50:00+05:30,1114.5843,795,2023-01-30 13:00:00+05:30,1113.96285,CROSS_UP,134.58275000007575
LONG,2023-01-30 14:25:00+05:30,1119.2180999999998,792,2023-01-30 14:35:00+05:30,1116.4823999999999,CROSS_DOWN,-2525.6743999999617
SHORT,2023-01-31 11:05:00+05:30,1117.1816999999999,791,2023-01-31 11:15:00+05:30,1119.9188,CROSS_UP,-2523.856100000043
LONG,2023-01-31 13:15:00+05:30,1124.2230999999997,784,2023-01-31 13:25:00+05:30,1118.5803,CROSS_DOWN,-4780.535199999706
SHORT,2023-01-31 13:35:00+05:30,1118.92995,783,2023-01-31 13:45:00+05:30,1121.12,CROSS_UP,-2070.919149999944
LONG,2023-01-31 14:45:00+05:30,1121.3201999999999,780,2023-01-31 14:55:00+05:30,1121.0778,CROSS_DOWN,-544.4819999998919
SHORT,2023-02-01 11:25:00+05:30,1121.4774,779,2023-02-01 11:35:00+05:30,1123.7225999999998,CROSS_UP,-2104.240799999876
LONG,2023-02-01 12:35:00+05:30,1130.6795499999998,771,2023-02-01 12:45:00+05:30,1124.5743,CROSS_DOWN,-5060.247749999879
SHORT,2023-02-01 13:25:00+05:30,1118.13075,775,2023-02-01 13:35:00+05:30,1117.7165999999997,CROSS_UP,-31.63374999977472
LONG,2023-02-02 11:55:00+05:30,1114.7135999999998,777,2023-02-02 12:05:00+05:30,1113.4853999999998,CROSS_DOWN,-1306.511400000012
SHORT,2023-02-02 13:05:00+05:30,1107.84105,781,2023-02-02 13:15:00+05:30,1110.6094999999998,CROSS_UP,-2514.4494499998455
LONG,2023-02-02 15:10:00+05:30,1110.8097,777,2023-02-02 15:20:00+05:30,1107.7411499999998,CROSS_DOWN,-2734.983350000145
SHORT,2023-02-03 09:25:00+05:30,1102.9959,780,2023-02-03 09:35:00+05:30,1098.64755,CROSS_UP,3041.5129999999863
LONG,2023-02-03 11:00:00+05:30,1104.9037999999998,781,2023-02-03 11:10:00+05:30,1101.54735,CROSS_DOWN,-2971.977449999819
SHORT,2023-02-03 11:25:00+05:30,1102.1967,780,2023-02-03 11:35:00+05:30,1104.15305,CROSS_UP,-1876.2629999999451
LONG,2023-02-03 11:45:00+05:30,1105.85475,776,2023-02-03 11:55:00+05:30,1102.0968,CROSS_DOWN,-3264.989199999951
SHORT,2023-02-06 09:25:00+05:30,1099.6992,778,2023-02-06 09:35:00+05:30,1104.4033,CROSS_UP,-4008.779799999942
LONG,2023-02-06 13:50:00+05:30,1103.1019999999999,771,2023-02-06 14:00:00+05:30,1100.9978999999998,CROSS_DOWN,-1968.751100000013
SHORT,2023-02-06 15:15:00+05:30,1100.4984,772,2023-02-06 15:25:00+05:30,1103.2020999999997,CROSS_UP,-2434.0263999998447
LONG,2023-02-07 09:20:00+05:30,1107.4062999999999,765,2023-02-07 09:30:00+05:30,1106.0928000000001,CROSS_DOWN,-1350.317499999808
SHORT,2023-02-07 11:05:00+05:30,1104.34455,765,2023-02-07 11:15:00+05:30,1106.6055,CROSS_UP,-2074.6967499998977
LONG,2023-02-08 09:20:00+05:30,1108.107,761,2023-02-08 09:30:00+05:30,1107.7911000000001,CROSS_DOWN,-584.7498999998695
SHORT,2023-02-09 09:20:00+05:30,1114.3845,756,2023-02-09 09:30:00+05:30,1115.1139999999998,CROSS_UP,-895.6719999999368
LONG,2023-02-09 10:15:00+05:30,1124.87375,748,2023-02-09 10:25:00+05:30,1123.875,CROSS_DOWN,-1090.6049999999796
SHORT,2023-02-09 12:15:00+05:30,1121.9769,749,2023-02-09 12:25:00+05:30,1122.57145,CROSS_UP,-788.7279500000199
LONG,2023-02-09 13:55:00+05:30,1124.0229,747,2023-02-09 14:05:00+05:30,1121.9769,CROSS_DOWN,-1871.0620000000367
SHORT,2023-02-09 14:30:00+05:30,1122.2266499999998,747,2023-02-09 14:40:00+05:30,1125.4243,CROSS_UP,-2731.46455000005
SHORT,2023-02-09 15:25:00+05:30,1120.5783000000001,745,2023-02-10 09:20:00+05:30,1116.4153,CROSS_UP,2760.2050000001777
LONG,2023-02-10 13:45:00+05:30,1111.5104,754,2023-02-10 13:55:00+05:30,1110.5883000000001,CROSS_DOWN,-1037.643399999829
SHORT,2023-02-13 09:55:00+05:30,1107.2916,756,2023-02-13 10:05:00+05:30,1105.9047999999998,CROSS_UP,706.2508000001671
LONG,2023-02-13 13:20:00+05:30,1108.0068999999999,756,2023-02-13 13:30:00+05:30,1105.0938,CROSS_DOWN,-2544.1035999998176
SHORT,2023-02-13 13:40:00+05:30,1105.3935,756,2023-02-13 13:55:00+05:30,1106.9057999999998,CROSS_UP,-1485.1087999999004
LONG,2023-02-13 14:20:00+05:30,1108.3072,752,2023-02-13 14:30:00+05:30,1106.7921000000001,CROSS_DOWN,-1479.9851999998853
SHORT,2023-02-15 13:20:00+05:30,1152.7461,722,2023-02-15 13:30:00+05:30,1153.9527999999998,CROSS_UP,-1211.8373999998034
LONG,2023-02-15 14:10:00+05:30,1156.3552,719,2023-02-15 14:20:00+05:30,1152.7461,CROSS_DOWN,-2934.432899999927
SHORT,2023-02-16 11:25:00+05:30,1164.7341000000001,711,2023-02-16 11:35:00+05:30,1167.5163499999999,CROSS_UP,-2317.379749999822
LONG,2023-02-17 09:45:00+05:30,1165.5644,708,2023-02-17 09:55:00+05:30,1162.2366000000002,CROSS_DOWN,-2693.4523999998564
SHORT,2023-02-17 10:55:00+05:30,1157.0418,711,2023-02-17 11:05:00+05:30,1159.2580999999998,CROSS_UP,-1913.0492999998714
LONG,2023-02-17 11:55:00+05:30,1163.11195,706,2023-02-17 12:05:00+05:30,1159.4394,CROSS_DOWN,-2928.6903000000007
SHORT,2023-02-17 12:45:00+05:30,1158.4404,706,2023-02-17 12:55:00+05:30,1157.7565999999997,CROSS_UP,147.34280000017412
LONG,2023-02-17 14:15:00+05:30,1162.5113499999998,704,2023-02-17 14:25:00+05:30,1159.48935,CROSS_DOWN,-2462.527999999794
SHORT,2023-02-20 10:05:00+05:30,1159.1397,704,2023-02-20 10:15:00+05:30,1157.2560999999998,CROSS_UP,991.3344000000809
LONG,2023-02-20 11:15:00+05:30,1165.0138499999998,701,2023-02-20 11:25:00+05:30,1161.2376000000002,CROSS_DOWN,-2981.4412499997643
SHORT,2023-02-20 12:35:00+05:30,1157.9408999999998,703,2023-02-20 12:45:00+05:30,1159.2080499999997,CROSS_UP,-1224.9764499999305
LONG,2023-02-21 09:25:00+05:30,1158.5574,701,2023-02-21 09:35:00+05:30,1151.7970500000001,CROSS_DOWN,-5071.095349999852
SHORT,2023-02-21 09:55:00+05:30,1149.9988500000002,702,2023-02-21 10:05:00+05:30,1153.1519999999998,CROSS_UP,-2545.3912999997483
LONG,2023-02-21 10:30:00+05:30,1155.6544999999999,697,2023-02-21 10:40:00+05:30,1153.6452,CROSS_DOWN,-1731.1720999999577
SHORT,2023-02-21 12:15:00+05:30,1152.69615,697,2023-02-21 12:25:00+05:30,1154.30315,CROSS_UP,-1450.5189999999798
LONG,2023-02-21 13:00:00+05:30,1157.7565999999997,693,2023-02-21 13:10:00+05:30,1156.9418999999998,CROSS_DOWN,-894.3970999999325
SHORT,2023-02-21 14:55:00+05:30,1158.1407,692,2023-02-21 15:05:00+05:30,1160.9597999999999,CROSS_UP,-2280.607199999955
SHORT,2023-02-21 15:15:00+05:30,1159.0398,689,2023-02-21 15:25:00+05:30,1162.11095,CROSS_UP,-2444.822349999992
SHORT,2023-02-22 09:20:00+05:30,1151.69715,691,2023-02-22 09:30:00+05:30,1154.5534,CROSS_UP,-2301.4887500000314
LONG,2023-02-23 10:10:00+05:30,1135.9347999999998,699,2023-02-23 10:20:00+05:30,1133.6652,CROSS_DOWN,-1913.0403999998987
SHORT,2023-02-23 12:25:00+05:30,1134.864,698,2023-02-23 12:35:00+05:30,1136.4352999999999,CROSS_UP,-1423.2273999998865
