direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 10:09:00+05:30,1220.2785,819,2023-01-02 10:11:00+05:30,1222.8215999999998,CROSS_UP,-2482.3788999998915,-2082.7988999998915,89.92,309.66,399.58000000000004
LONG,2023-01-02 10:12:00+05:30,1222.4712499999998,815,2023-01-02 10:14:00+05:30,1219.8789,CROSS_DOWN,-2510.515249999916,-2112.765249999916,89.58,308.17,397.75
LONG,2023-01-02 10:38:00+05:30,1222.6214,813,2023-01-02 10:40:00+05:30,1220.778,CROSS_DOWN,-1895.794199999979,-1498.684199999979,89.43,307.68,397.11
SHORT,2023-01-02 11:12:00+05:30,1220.778,813,2023-01-02 11:14:00+05:30,1223.1218999999999,CROSS_UP,-2302.730699999877,-1905.590699999877,89.46,307.68,397.14
LONG,2023-01-02 12:03:00+05:30,1222.0207999999998,810,2023-01-02 12:05:00+05:30,1219.3793999999998,CROSS_DOWN,-2534.9839999999804,-2139.5339999999806,89.15,306.3,395.45000000000005
SHORT,2023-01-02 12:28:00+05:30,1219.5792,810,2023-01-02 12:30:00+05:30,1222.6214,CROSS_UP,-2859.7220000000757,-2464.1820000000757,89.19,306.35,395.54
LONG,2023-01-02 12:32:00+05:30,1223.2219999999998,805,2023-01-02 12:34:00+05:30,1220.6781,CROSS_DOWN,-2441.509499999732,-2047.8394999997317,88.81,304.86,393.67
SHORT,2023-01-02 12:57:00+05:30,1219.6791,805,2023-01-02 12:59:00+05:30,1222.9216999999999,CROSS_UP,-3003.7229999998476,-2610.292999999848,88.8,304.63,393.43
LONG,2023-01-02 13:15:00+05:30,1223.2219999999998,801,2023-01-02 13:17:00+05:30,1220.8779,CROSS_DOWN,-2269.6240999998386,-1877.6240999998386,88.49,303.51,392.0
SHORT,2023-01-02 13:38:00+05:30,1221.72705,800,2023-01-02 13:41:00+05:30,1222.7214999999999,CROSS_UP,-1187.2899999999322,-795.5599999999322,88.38,303.35,391.73
LONG,2023-01-02 13:50:00+05:30,1222.8215999999998,798,2023-01-02 13:52:00+05:30,1220.1286499999999,CROSS_DOWN,-2539.484099999906,-2148.9740999999062,88.22,302.29,390.51
LONG,2023-01-02 13:57:00+05:30,1223.5222999999999,796,2023-01-02 13:59:00+05:30,1219.9788,CROSS_DOWN,-3210.2759999998148,-2820.6259999998147,88.1,301.55,389.65
