direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 09:17:00+05:30,1215.63315,822,2023-01-02 09:19:00+05:30,1216.0648499999998,CROSS_UP,-754.2673999998885,-354.85739999988846,89.8,309.61,399.41
LONG,2023-01-02 09:22:00+05:30,1218.8175999999999,819,2023-01-02 09:24:00+05:30,1219.5792,CROSS_DOWN,224.55040000003606,623.750400000036,89.71,309.49,399.2
SHORT,2023-01-02 09:31:00+05:30,1217.6811,820,2023-01-02 09:33:00+05:30,1221.3200999999997,CROSS_UP,-3383.2999999997287,-2983.9799999997285,89.92,309.4,399.32
SHORT,2023-01-02 09:51:00+05:30,1220.8779,815,2023-01-02 09:53:00+05:30,1223.0718499999998,CROSS_UP,-2186.079249999885,-1788.069249999885,89.61,308.4,398.01
LONG,2023-01-02 10:31:00+05:30,1222.0207999999998,813,2023-01-02 10:33:00+05:30,1219.5792,CROSS_DOWN,-2381.8207999999026,-1985.0207999999027,89.4,307.4,396.79999999999995
SHORT,2023-01-02 10:57:00+05:30,1222.2765,811,2023-01-02 10:59:00+05:30,1224.223,CROSS_UP,-1975.2915000000116,-1578.6115000000118,89.35,307.33,396.67999999999995
LONG,2023-01-02 11:06:00+05:30,1225.6244,807,2023-01-02 11:08:00+05:30,1221.9768000000001,CROSS_DOWN,-3338.5731999998256,-2943.6131999998256,89.1,305.86,394.96000000000004
SHORT,2023-01-02 11:09:00+05:30,1221.12765,807,2023-01-02 11:11:00+05:30,1223.7224999999999,CROSS_UP,-2488.7039499999605,-2094.0439499999607,89.0,305.66,394.66
LONG,2023-01-02 11:40:00+05:30,1222.0207999999998,804,2023-01-02 11:42:00+05:30,1219.8289499999998,CROSS_DOWN,-2155.2273999999447,-1762.2473999999447,88.67,304.31,392.98
SHORT,2023-01-02 11:55:00+05:30,1218.8799,805,2023-01-02 11:57:00+05:30,1221.3200999999997,CROSS_UP,-2357.5109999998203,-1964.3609999998205,88.71,304.44,393.15
