direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 09:41:00+05:30,1221.6771,818,2023-01-02 09:43:00+05:30,1223.2219999999998,CROSS_UP,-1663.228199999708,-1263.728199999708,89.87,309.63,399.5
SHORT,2023-01-02 09:49:00+05:30,1221.4773,817,2023-01-02 09:51:00+05:30,1223.3220999999999,CROSS_UP,-1906.2315999998775,-1507.2015999998775,89.79,309.24,399.03000000000003
SHORT,2023-01-02 10:46:00+05:30,1222.1766,815,2023-01-02 10:48:00+05:30,1224.0227999999997,CROSS_UP,-1903.0229999997769,-1504.6529999997767,89.67,308.7,398.37
SHORT,2023-01-02 13:29:00+05:30,1221.72705,814,2023-01-02 13:31:00+05:30,1224.1228999999998,CROSS_UP,-2348.061899999904,-1950.221899999904,89.59,308.25,397.84000000000003
SHORT,2023-01-02 14:58:00+05:30,1224.774,810,2023-01-02 15:00:00+05:30,1227.7264999999998,CROSS_UP,-2788.544999999897,-2391.524999999897,89.46,307.56,397.02
SHORT,2023-01-02 15:01:00+05:30,1224.5742,807,2023-01-02 15:03:00+05:30,1228.0267999999999,CROSS_UP,-3181.9381999998773,-2786.248199999877,89.23,306.46,395.69
SHORT,2023-01-02 15:06:00+05:30,1224.9738,805,2023-01-02 15:08:00+05:30,1228.9277,CROSS_UP,-3577.8594999999805,-3182.8894999999807,89.12,305.85,394.97
SHORT,2023-01-02 15:10:00+05:30,1226.2725,801,2023-01-02 15:12:00+05:30,1228.2269999999999,CROSS_UP,-1959.0444999998601,-1565.5544999998601,88.75,304.74,393.49
SHORT,2023-01-03 09:49:00+05:30,1219.8789,803,2023-01-03 09:51:00+05:30,1222.6214,CROSS_UP,-2594.827500000051,-2202.227500000051,88.62,303.98,392.6
SHORT,2023-01-03 10:00:00+05:30,1222.6761000000001,799,2023-01-03 10:02:00+05:30,1225.4242,CROSS_UP,-2587.391899999836,-2195.731899999836,88.44,303.22,391.66
SHORT,2023-01-03 10:03:00+05:30,1222.4763,797,2023-01-03 10:05:00+05:30,1226.8255999999997,CROSS_UP,-3857.2120999997055,-3466.3920999997054,88.35,302.47,390.82000000000005
SHORT,2023-01-03 10:06:00+05:30,1224.5742,793,2023-01-03 10:08:00+05:30,1226.1249,CROSS_UP,-1619.2451000000049,-1229.705100000005,87.99,301.55,389.54
