direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
LONG,2023-01-02 12:45:00+05:30,1223.0718499999998,817,2023-01-02 12:47:00+05:30,1220.4283500000001,CROSS_DOWN,-2558.5094999997355,-2159.7394999997355,89.78,308.99,398.77
SHORT,2023-01-02 14:23:00+05:30,1218.8799,818,2023-01-02 14:25:00+05:30,1221.5203,CROSS_UP,-2558.5971999999997,-2159.8471999999997,89.77,308.98,398.75
LONG,2023-01-02 15:06:00+05:30,1227.4261999999999,810,2023-01-02 15:08:00+05:30,1226.4723000000001,CROSS_DOWN,-1170.0489999997963,-772.6589999997964,89.44,307.95,397.39
SHORT,2023-01-03 09:54:00+05:30,1221.0777,813,2023-01-03 09:56:00+05:30,1223.4222,CROSS_UP,-2303.2984999999394,-1906.0784999999394,89.47,307.75,397.22
LONG,2023-01-03 10:22:00+05:30,1224.7234999999998,809,2023-01-03 10:24:00+05:30,1221.5772,CROSS_DOWN,-2941.036699999905,-2545.3566999999052,89.22,306.46,395.67999999999995
SHORT,2023-01-03 11:36:00+05:30,1220.4783,809,2023-01-03 11:38:00+05:30,1222.4212,CROSS_UP,-1967.106100000007,-1571.806100000007,89.09,306.21,395.29999999999995
LONG,2023-01-03 14:49:00+05:30,1219.1179,809,2023-01-03 14:51:00+05:30,1217.1316499999998,CROSS_DOWN,-2001.236250000125,-1606.876250000125,88.92,305.44,394.36
SHORT,2023-01-04 09:45:00+05:30,1206.9918,815,2023-01-04 09:47:00+05:30,1209.8085999999998,CROSS_UP,-2689.7519999998617,-2295.6919999998618,88.9,305.16,394.06000000000006
LONG,2023-01-05 10:00:00+05:30,1205.7044999999998,814,2023-01-05 10:02:00+05:30,1202.6961000000001,CROSS_DOWN,-2841.247599999764,-2448.8375999997643,88.6,303.81,392.40999999999997
SHORT,2023-01-05 11:11:00+05:30,1200.8479499999999,815,2023-01-05 11:13:00+05:30,1202.7015,CROSS_UP,-1902.8832500000335,-1510.6432500000335,88.51,303.73,392.24
LONG,2023-01-05 15:18:00+05:30,1200.5493499999998,813,2023-01-05 15:20:00+05:30,1199.2995,CROSS_DOWN,-1407.0480499997534,-1016.1280499997533,88.24,302.68,390.92
