direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 10:27:00+05:30,3247.7989500000003,307,2023-01-02 10:33:00+05:30,3248.1949499999996,CROSS_UP,-520.2019999997777,-121.57199999977774,89.64,308.99,398.63
LONG,2023-01-02 11:24:00+05:30,3253.2499999999995,307,2023-01-02 11:30:00+05:30,3247.29945,CROSS_DOWN,-2225.4988499998667,-1826.8188499998669,89.74,308.94,398.68
SHORT,2023-01-02 14:21:00+05:30,3244.2525,307,2023-01-02 14:27:00+05:30,3253.0498,CROSS_UP,-3099.191099999915,-2700.771099999915,89.74,308.68,398.42
LONG,2023-01-02 14:54:00+05:30,3265.31205,304,2023-01-02 15:00:00+05:30,3254.49225,CROSS_DOWN,-3685.339200000065,-3289.219200000065,89.34,306.78,396.12
SHORT,2023-01-03 13:09:00+05:30,3301.695,299,2023-01-03 13:15:00+05:30,3310.5071999999996,CROSS_UP,-3030.1577999998185,-2634.8477999998186,89.15,306.16,395.31000000000006
SHORT,2023-01-03 15:27:00+05:30,3308.688,298,2023-01-04 09:18:00+05:30,3297.7944999999995,CROSS_UP,2851.7630000001745,3246.2630000001745,88.68,305.82,394.5
LONG,2023-01-04 10:27:00+05:30,3304.2509499999996,299,2023-01-04 10:33:00+05:30,3299.5971,CROSS_DOWN,-1786.5111499999082,-1391.5011499999082,89.03,305.98,395.01
SHORT,2023-01-04 10:45:00+05:30,3289.95675,300,2023-01-04 10:51:00+05:30,3296.4431499999996,CROSS_UP,-2341.109999999933,-1945.9199999999328,89.09,306.1,395.19000000000005
LONG,2023-01-04 11:21:00+05:30,3302.0487499999995,298,2023-01-04 11:27:00+05:30,3297.699,CROSS_DOWN,-1689.8754999998223,-1296.2254999998222,88.77,304.88,393.65
SHORT,2023-01-04 11:48:00+05:30,3289.55715,299,2023-01-04 11:54:00+05:30,3293.6904,CROSS_UP,-1629.7917499999587,-1235.8417499999587,88.82,305.13,393.95
LONG,2023-01-04 12:45:00+05:30,3302.5993,297,2023-01-04 12:51:00+05:30,3297.0996,CROSS_DOWN,-2025.850899999955,-1633.4108999999548,88.56,303.88,392.44
