direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 09:21:00+05:30,3248.8478999999998,307,2023-01-02 09:27:00+05:30,3257.2039499999996,CROSS_UP,-2964.2073499999597,-2565.3073499999596,89.82,309.08,398.9
LONG,2023-01-02 09:54:00+05:30,3257.5543,306,2023-01-02 10:00:00+05:30,3249.4473,CROSS_DOWN,-2878.551999999991,-2480.741999999991,89.61,308.2,397.81
SHORT,2023-01-02 10:30:00+05:30,3246.70005,306,2023-01-02 10:36:00+05:30,3245.8425999999995,CROSS_UP,-134.9602999998695,262.37970000013047,89.38,307.96,397.34
LONG,2023-01-02 11:06:00+05:30,3248.2449999999994,306,2023-01-02 11:12:00+05:30,3243.3034500000003,CROSS_DOWN,-1909.2142999997236,-1512.1142999997237,89.43,307.67,397.1
SHORT,2023-01-02 12:30:00+05:30,3249.3474,305,2023-01-02 12:36:00+05:30,3255.1018499999996,CROSS_UP,-2151.717249999833,-1755.1072499998327,89.35,307.26,396.61
LONG,2023-01-02 12:51:00+05:30,3258.1048499999997,303,2023-01-02 12:57:00+05:30,3247.4492999999998,CROSS_DOWN,-3622.851649999984,-3228.6316499999843,88.98,305.24,394.22
SHORT,2023-01-02 13:00:00+05:30,3250.5462,303,2023-01-02 13:06:00+05:30,3257.7544999999996,CROSS_UP,-2578.594899999796,-2184.114899999796,88.97,305.51,394.48
LONG,2023-01-02 13:09:00+05:30,3257.3540999999996,302,2023-01-02 13:15:00+05:30,3252.49425,CROSS_DOWN,-1861.1746999998095,-1467.6746999998095,88.75,304.75,393.5
SHORT,2023-01-02 13:48:00+05:30,3255.9408,301,2023-01-02 13:54:00+05:30,3266.5633,CROSS_UP,-3590.2024999999835,-3197.3724999999836,88.72,304.11,392.83000000000004
LONG,2023-01-02 13:57:00+05:30,3264.3610999999996,299,2023-01-02 14:03:00+05:30,3259.2874500000003,CROSS_DOWN,-1907.791349999809,-1517.021349999809,88.24,302.53,390.77
SHORT,2023-01-02 14:12:00+05:30,3257.739,299,2023-01-02 14:18:00+05:30,3247.6443999999997,CROSS_UP,2627.975400000106,3018.285400000106,87.91,302.4,390.30999999999995
LONG,2023-01-02 14:51:00+05:30,3264.5613,299,2023-01-02 14:57:00+05:30,3251.0457,CROSS_DOWN,-4431.234399999917,-4041.164399999917,88.24,301.83,390.07
SHORT,2023-01-03 09:24:00+05:30,3253.1436,299,2023-01-03 09:30:00+05:30,3272.269,CROSS_UP,-6108.90459999997,-5718.49459999997,88.4,302.01,390.40999999999997
LONG,2023-01-03 09:33:00+05:30,3270.8675999999996,296,2023-01-03 09:39:00+05:30,3267.729,CROSS_DOWN,-1317.1955999999318,-929.0255999999317,87.72,300.45,388.16999999999996
SHORT,2023-01-03 10:57:00+05:30,3282.9138,294,2023-01-03 11:03:00+05:30,3293.44015,CROSS_UP,-3482.3269000000273,-3094.7469000000274,87.72,299.86,387.58000000000004
LONG,2023-01-03 11:06:00+05:30,3295.0417499999994,292,2023-01-03 11:12:00+05:30,3289.35735,CROSS_DOWN,-2045.6847999997624,-1659.8447999997625,87.32,298.52,385.84
SHORT,2023-01-03 11:33:00+05:30,3299.54715,291,2023-01-03 11:39:00+05:30,3304.8014999999996,CROSS_UP,-1914.7358499999139,-1529.0158499999138,87.29,298.43,385.72
SHORT,2023-01-03 11:54:00+05:30,3298.54815,290,2023-01-03 12:00:00+05:30,3313.7604499999993,CROSS_UP,-4796.2069999997775,-4411.566999999777,87.24,297.4,384.64
