direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
LONG,2023-01-02 10:39:00+05:30,3246.1929499999997,308,2023-01-02 10:45:00+05:30,3232.5642000000003,CROSS_DOWN,-4596.044999999815,-4197.654999999815,89.81,308.58,398.39
LONG,2023-01-02 10:48:00+05:30,3242.2389999999996,307,2023-01-02 10:54:00+05:30,3238.5582000000004,CROSS_DOWN,-1527.7055999997485,-1130.0055999997485,89.52,308.18,397.7
LONG,2023-01-02 11:03:00+05:30,3250.1468999999997,305,2023-01-02 11:09:00+05:30,3244.50225,CROSS_DOWN,-2117.7082499999174,-1721.6182499999172,89.25,306.84,396.09
SHORT,2023-01-02 11:30:00+05:30,3247.29945,305,2023-01-02 11:36:00+05:30,3250.89765,CROSS_UP,-1493.8009999999713,-1097.4509999999714,89.26,307.09,396.34999999999997
SHORT,2023-01-02 12:18:00+05:30,3252.744,304,2023-01-02 12:24:00+05:30,3253.2499999999995,CROSS_UP,-549.5539999998186,-153.82399999981862,89.1,306.63,395.73
SHORT,2023-01-02 13:39:00+05:30,3256.74,303,2023-01-02 13:45:00+05:30,3261.7584999999995,CROSS_UP,-1915.7054999999018,-1520.605499999902,89.05,306.05,395.1
LONG,2023-01-02 14:21:00+05:30,3250.7474999999995,303,2023-01-02 14:27:00+05:30,3246.5502,CROSS_DOWN,-1665.7718999998058,-1271.7818999998058,88.83,305.16,393.99
SHORT,2023-01-02 15:03:00+05:30,3253.743,303,2023-01-02 15:09:00+05:30,3261.8085499999997,CROSS_UP,-2838.7016499999404,-2443.8616499999403,89.05,305.79,394.84000000000003
SHORT,2023-01-02 15:27:00+05:30,3259.737,301,2023-01-03 09:18:00+05:30,3261.3580999999995,CROSS_UP,-881.0010999998156,-487.9510999998156,88.61,304.44,393.05
SHORT,2023-01-03 10:03:00+05:30,3271.2255,300,2023-01-03 10:09:00+05:30,3277.3240499999997,CROSS_UP,-2222.764999999911,-1829.5649999999114,88.71,304.49,393.2
SHORT,2023-01-03 10:33:00+05:30,3281.715,298,2023-01-03 10:39:00+05:30,3288.285,CROSS_UP,-2349.8799999999133,-1957.8599999999133,88.5,303.52,392.02
SHORT,2023-01-03 11:03:00+05:30,3286.8598500000003,297,2023-01-03 11:09:00+05:30,3299.2459499999995,CROSS_UP,-4070.1716999997802,-3678.6716999997802,88.49,303.01,391.5
SHORT,2023-01-03 11:27:00+05:30,3293.5032,295,2023-01-03 11:33:00+05:30,3306.1528499999995,CROSS_UP,-4121.526749999818,-3731.646749999818,88.19,301.69,389.88
SHORT,2023-01-03 11:36:00+05:30,3298.698,293,2023-01-03 11:42:00+05:30,3306.1027999999997,CROSS_UP,-2557.5963999999403,-2169.60639999994,87.75,300.24,387.99
SHORT,2023-01-03 12:06:00+05:30,3307.689,292,2023-01-03 12:12:00+05:30,3309.1558499999996,CROSS_UP,-815.9601999999401,-428.3201999999401,87.59,300.05,387.64
SHORT,2023-01-03 14:48:00+05:30,3316.23045,291,2023-01-03 14:54:00+05:30,3319.56625,CROSS_UP,-1358.0977999999523,-970.7177999999521,87.57,299.81,387.38
LONG,2023-01-04 09:18:00+05:30,3297.7944999999995,292,2023-01-04 09:24:00+05:30,3292.6540499999996,CROSS_DOWN,-1887.1713999999631,-1501.011399999963,87.37,298.79,386.16
LONG,2023-01-04 09:45:00+05:30,3292.3890999999994,292,2023-01-04 09:51:00+05:30,3292.4042999999997,CROSS_DOWN,-381.601599999919,4.4384000000809465,87.27,298.77,386.03999999999996
SHORT,2023-01-04 10:27:00+05:30,3297.64905,291,2023-01-04 10:33:00+05:30,3306.2028999999998,CROSS_UP,-2874.7603499999373,-2489.170349999937,87.32,298.27,385.59
SHORT,2023-01-04 11:27:00+05:30,3297.699,291,2023-01-04 11:33:00+05:30,3300.1468499999996,CROSS_UP,-1097.7943499998726,-712.3243499998725,87.2,298.27,385.46999999999997
LONG,2023-01-04 12:09:00+05:30,3293.2899999999995,291,2023-01-04 12:15:00+05:30,3291.85485,CROSS_DOWN,-802.4786499998077,-417.62864999980775,87.07,297.78,384.84999999999997
SHORT,2023-01-04 12:54:00+05:30,3297.1495499999996,290,2023-01-04 13:00:00+05:30,3305.3019999999997,CROSS_UP,-2748.570500000013,-2364.210500000013,87.08,297.28,384.35999999999996
SHORT,2023-01-04 13:09:00+05:30,3297.44925,289,2023-01-04 13:18:00+05:30,3308.5051999999996,CROSS_UP,-3578.449549999851,-3195.169549999851,86.92,296.36,383.28000000000003
SHORT,2023-01-05 09:36:00+05:30,3324.22245,286,2023-01-05 09:42:00+05:30,3318.4150999999997,CROSS_UP,1278.732100000142,1660.9021000001421,86.45,295.72,382.17
SHORT,2023-01-05 10:42:00+05:30,3317.42925,287,2023-01-05 10:48:00+05:30,3323.3199999999997,CROSS_UP,-2073.5352499998767,-1690.6452499998768,86.77,296.12,382.89
SHORT,2023-01-05 11:18:00+05:30,3318.7779,286,2023-01-05 11:24:00+05:30,3323.3199999999997,CROSS_UP,-1680.8705999999038,-1299.0405999999039,86.55,295.28,381.83
LONG,2023-01-05 11:57:00+05:30,3317.2138999999997,286,2023-01-05 12:03:00+05:30,3309.687,CROSS_DOWN,-2533.6533999999547,-2152.6933999999546,86.43,294.53,380.96
LONG,2023-01-05 12:12:00+05:30,3312.9095999999995,285,2023-01-05 12:18:00+05:30,3298.698,CROSS_DOWN,-4429.125999999896,-4050.305999999896,86.13,292.69,378.82
LONG,2023-01-05 14:12:00+05:30,3291.2879999999996,286,2023-01-05 14:18:00+05:30,3285.3114,CROSS_DOWN,-2087.787599999859,-1709.3075999998591,85.94,292.54,378.48
SHORT,2023-01-05 14:51:00+05:30,3294.5022000000004,285,2023-01-05 14:57:00+05:30,3303.9506499999998,CROSS_UP,-3071.118249999832,-2692.8082499998322,85.96,292.35,378.31
LONG,2023-01-06 09:30:00+05:30,3279.6263499999995,285,2023-01-06 09:36:00+05:30,3278.2185,CROSS_DOWN,-777.7572499998855,-401.23724999988553,85.5,291.02,376.52
LONG,2023-01-06 09:39:00+05:30,3284.7814999999996,285,2023-01-06 09:45:00+05:30,3278.718,CROSS_DOWN,-2104.7574999999283,-1728.0974999999285,85.6,291.06,376.65999999999997
LONG,2023-01-06 10:09:00+05:30,3279.1758999999997,284,2023-01-06 10:15:00+05:30,3269.727,CROSS_DOWN,-3058.1575999999623,-2683.487599999962,85.28,289.39,374.66999999999996
LONG,2023-01-06 11:00:00+05:30,3262.30905,285,2023-01-06 11:06:00+05:30,3251.745,CROSS_DOWN,-3384.7842499999865,-3010.7542499999863,85.17,288.86,374.03000000000003
LONG,2023-01-06 12:21:00+05:30,3244.9917499999997,285,2023-01-06 12:27:00+05:30,3239.0577000000003,CROSS_DOWN,-2063.8742499998257,-1691.2042499998256,84.85,287.82,372.66999999999996
LONG,2023-01-06 12:54:00+05:30,3230.6274,286,2023-01-06 13:00:00+05:30,3220.7260499999998,CROSS_DOWN,-3203.8261000000266,-2831.7861000000266,84.79,287.25,372.04
SHORT,2023-01-06 15:24:00+05:30,3210.786,287,2023-01-06 15:27:00+05:30,3217.1139,EOD,-2188.2172999999348,-1816.1072999999346,84.75,287.36,372.11
SHORT,2023-01-09 11:27:00+05:30,3306.73995,278,2023-01-09 11:36:00+05:30,3312.3089999999997,CROSS_UP,-1919.4958999998905,-1548.1958999998906,84.58,286.72,371.3
LONG,2023-01-09 12:15:00+05:30,3306.3530499999997,277,2023-01-09 12:21:00+05:30,3299.74695,CROSS_DOWN,-2199.3596999998654,-1829.8896999998656,84.25,285.22,369.47
