direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
LONG,2023-01-02 12:09:00+05:30,3254.3510999999994,307,2023-01-02 12:15:00+05:30,3250.6461,CROSS_DOWN,-1536.444999999838,-1137.434999999838,89.77,309.24,399.01
SHORT,2023-01-02 14:57:00+05:30,3251.0457,307,2023-01-02 15:03:00+05:30,3260.2569999999996,CROSS_UP,-3227.029099999841,-2827.869099999841,89.89,309.27,399.15999999999997
LONG,2023-01-02 15:27:00+05:30,3266.2629999999995,304,2023-01-03 09:18:00+05:30,3254.8419,CROSS_DOWN,-3868.184399999869,-3472.014399999869,89.36,306.81,396.17
SHORT,2023-01-04 09:36:00+05:30,3290.5062000000003,301,2023-01-04 09:42:00+05:30,3291.4881999999993,CROSS_UP,-691.8819999997174,-295.5819999997175,89.21,307.09,396.29999999999995
LONG,2023-01-04 11:42:00+05:30,3300.1468499999996,300,2023-01-04 11:48:00+05:30,3289.55715,CROSS_DOWN,-3572.1499999998614,-3176.9099999998616,89.17,306.07,395.24
SHORT,2023-01-04 12:12:00+05:30,3289.1076000000003,300,2023-01-04 12:18:00+05:30,3300.4471499999995,CROSS_UP,-3797.0649999997704,-3401.8649999997706,89.17,306.03,395.2
LONG,2023-01-04 13:06:00+05:30,3304.7014,297,2023-01-04 13:12:00+05:30,3299.04765,CROSS_DOWN,-2071.813749999984,-1679.1637499999838,88.6,304.05,392.65
SHORT,2023-01-05 09:24:00+05:30,3323.0736,295,2023-01-05 09:30:00+05:30,3331.6283,CROSS_UP,-2916.516499999907,-2523.636499999907,88.69,304.19,392.88
LONG,2023-01-05 09:33:00+05:30,3338.1848499999996,293,2023-01-05 09:39:00+05:30,3317.679,CROSS_DOWN,-6398.414049999869,-6008.2140499998695,88.37,301.83,390.2
SHORT,2023-01-05 10:42:00+05:30,3317.42925,292,2023-01-05 10:48:00+05:30,3323.3199999999997,CROSS_UP,-2108.8289999998747,-1720.0989999998746,87.87,300.86,388.73
SHORT,2023-01-05 12:03:00+05:30,3309.687,293,2023-01-05 12:12:00+05:30,3312.9095999999995,CROSS_UP,-1333.2617999998834,-944.2217999998834,87.88,301.16,389.04
LONG,2023-01-05 15:06:00+05:30,3310.7074,292,2023-01-05 15:12:00+05:30,3307.689,CROSS_DOWN,-1269.0427999999793,-881.3727999999792,87.62,300.05,387.67
SHORT,2023-01-06 09:51:00+05:30,3278.7679500000004,294,2023-01-06 09:57:00+05:30,3273.32005,CROSS_UP,1214.8426000001684,1601.6826000001683,87.33,299.51,386.84
LONG,2023-01-09 09:18:00+05:30,3252.249,297,2023-01-09 09:24:00+05:30,3257.48925,CROSS_DOWN,1168.2642500000854,1556.3542500000854,87.57,300.52,388.09
SHORT,2023-01-09 12:30:00+05:30,3296.6001,294,2023-01-09 12:36:00+05:30,3307.2539499999993,CROSS_UP,-3521.231899999776,-3132.231899999776,87.99,301.01,389.0
LONG,2023-01-09 14:21:00+05:30,3317.96465,291,2023-01-09 14:27:00+05:30,3312.684,CROSS_DOWN,-1923.7291499999114,-1536.6691499999115,87.54,299.52,387.06
SHORT,2023-01-10 09:24:00+05:30,3246.79995,296,2023-01-10 09:30:00+05:30,3243.0398,CROSS_UP,727.1544000000198,1113.0044000000198,87.17,298.68,385.85
LONG,2023-01-10 11:36:00+05:30,3255.6524,296,2023-01-10 11:42:00+05:30,3249.89685,CROSS_DOWN,-2090.002799999958,-1703.6427999999578,87.42,298.94,386.36
SHORT,2023-01-11 12:12:00+05:30,3326.67,289,2023-01-11 12:18:00+05:30,3332.2789499999994,CROSS_UP,-2007.1465499998171,-1620.9865499998173,87.38,298.78,386.15999999999997
LONG,2023-01-11 12:45:00+05:30,3333.8304999999996,288,2023-01-11 12:51:00+05:30,3329.51715,CROSS_DOWN,-1627.4947999998403,-1242.2447999998403,87.19,298.06,385.25
SHORT,2023-01-11 14:42:00+05:30,3325.9207499999998,288,2023-01-11 14:48:00+05:30,3334.9816499999997,CROSS_UP,-2994.5191999999847,-2609.5391999999847,87.21,297.77,384.97999999999996
LONG,2023-01-12 10:12:00+05:30,3332.9796499999998,286,2023-01-12 10:18:00+05:30,3324.8218500000003,CROSS_DOWN,-2715.630799999856,-2333.130799999856,86.73,295.77,382.5
LONG,2023-01-12 11:12:00+05:30,3333.1297999999997,286,2023-01-12 11:18:00+05:30,3330.3662999999997,CROSS_DOWN,-1173.3210000000063,-790.3610000000062,86.73,296.23,382.96000000000004
SHORT,2023-01-12 13:36:00+05:30,3323.7729,286,2023-01-12 13:42:00+05:30,3330.7774499999996,CROSS_UP,-2385.681299999901,-2003.301299999901,86.69,295.69,382.38
LONG,2023-01-12 15:09:00+05:30,3336.1328,284,2023-01-12 15:15:00+05:30,3331.11555,CROSS_DOWN,-1805.628999999965,-1424.8989999999649,86.35,294.38,380.73
SHORT,2023-01-13 09:30:00+05:30,3320.7759,285,2023-01-13 09:36:00+05:30,3318.3149999999996,CROSS_UP,320.63650000014036,701.3565000001404,86.23,294.49,380.72
LONG,2023-01-13 10:57:00+05:30,3336.7333999999996,284,2023-01-13 11:03:00+05:30,3337.659,CROSS_DOWN,-118.399599999862,262.87040000013803,86.36,294.91,381.27000000000004
SHORT,2023-01-16 09:18:00+05:30,3310.5861,286,2023-01-16 09:24:00+05:30,3310.307,CROSS_UP,-301.0873999999432,79.82260000005681,86.3,294.61,380.91
LONG,2023-01-16 11:12:00+05:30,3353.4500999999996,282,2023-01-16 11:18:00+05:30,3337.80885,CROSS_DOWN,-4790.072499999907,-4410.832499999908,86.23,293.01,379.24
SHORT,2023-01-16 12:30:00+05:30,3320.676,284,2023-01-16 12:36:00+05:30,3331.6783499999997,CROSS_UP,-3504.4573999999293,-3124.6673999999293,86.26,293.53,379.78999999999996
LONG,2023-01-16 13:57:00+05:30,3334.5311999999994,281,2023-01-16 14:03:00+05:30,3324.92175,CROSS_DOWN,-3076.925449999851,-2700.255449999851,85.65,291.02,376.66999999999996
SHORT,2023-01-16 14:33:00+05:30,3324.72195,281,2023-01-16 14:39:00+05:30,3331.87855,CROSS_UP,-2387.6145999999435,-2011.0045999999434,85.6,291.01,376.61
LONG,2023-01-17 09:21:00+05:30,3346.89355,279,2023-01-17 09:27:00+05:30,3345.90075,CROSS_DOWN,-653.2211999999968,-276.99119999999675,85.44,290.79,376.23
