direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 09:17:00+05:30,3256.09065,307,2023-01-02 09:19:00+05:30,3256.7535,CROSS_UP,-603.0249499999102,-203.4949499999102,89.81,309.72,399.53000000000003
LONG,2023-01-02 09:29:00+05:30,3257.2039499999996,306,2023-01-02 09:31:00+05:30,3250.746,CROSS_DOWN,-2374.0626999998553,-1976.1326999998555,89.61,308.32,397.93
SHORT,2023-01-02 09:34:00+05:30,3244.70205,307,2023-01-02 09:36:00+05:30,3252.7995499999997,CROSS_UP,-2884.382499999955,-2485.9324999999553,89.73,308.72,398.45000000000005
LONG,2023-01-02 09:41:00+05:30,3253.3500999999997,305,2023-01-02 09:43:00+05:30,3246.00075,CROSS_DOWN,-2637.831749999849,-2241.5517499998487,89.31,306.97,396.28000000000003
SHORT,2023-01-02 10:04:00+05:30,3248.69805,305,2023-01-02 10:06:00+05:30,3258.2549999999997,CROSS_UP,-3311.4897499999047,-2914.869749999905,89.41,307.21,396.62
LONG,2023-01-02 10:07:00+05:30,3262.2089499999993,302,2023-01-02 10:09:00+05:30,3256.74,CROSS_DOWN,-2045.5828999998475,-1651.6228999998475,88.85,305.11,393.96000000000004
SHORT,2023-01-02 10:18:00+05:30,3251.8449,303,2023-01-02 10:20:00+05:30,3259.9566999999993,CROSS_UP,-2852.5153999997638,-2457.875399999764,89.02,305.62,394.64
LONG,2023-01-02 10:52:00+05:30,3241.2880499999997,303,2023-01-02 10:54:00+05:30,3236.3604,CROSS_DOWN,-1885.997949999888,-1493.077949999888,88.64,304.28,392.91999999999996
SHORT,2023-01-02 11:34:00+05:30,3245.2515,302,2023-01-02 11:36:00+05:30,3249.1959499999994,CROSS_UP,-1583.9238999998508,-1191.2238999998508,88.58,304.12,392.7
LONG,2023-01-02 11:44:00+05:30,3255.0017499999994,301,2023-01-02 11:46:00+05:30,3247.6990499999997,CROSS_DOWN,-2590.002699999919,-2198.112699999919,88.49,303.4,391.89
