direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 10:08:00+05:30,3255.09165,307,2023-01-02 10:10:00+05:30,3262.6093499999997,CROSS_UP,-2707.493899999962,-2307.9338999999623,89.93,309.63,399.56
LONG,2023-01-02 10:35:00+05:30,3248.1949499999996,307,2023-01-02 10:37:00+05:30,3240.8559,CROSS_DOWN,-2651.1083499998736,-2253.0883499998736,89.64,308.38,398.02
LONG,2023-01-02 10:40:00+05:30,3245.2419999999997,306,2023-01-02 10:42:00+05:30,3238.758,CROSS_DOWN,-2380.7439999999765,-1984.1039999999766,89.37,307.27,396.64
SHORT,2023-01-02 11:09:00+05:30,3242.754,305,2023-01-02 11:11:00+05:30,3250.9977499999995,CROSS_UP,-2910.303749999889,-2514.343749999889,89.27,306.69,395.96
SHORT,2023-01-02 12:21:00+05:30,3252.6940499999996,304,2023-01-02 12:23:00+05:30,3255.9526999999994,CROSS_UP,-1386.4095999999274,-990.6295999999274,89.15,306.63,395.78
SHORT,2023-01-02 13:21:00+05:30,3253.2435,303,2023-01-02 13:23:00+05:30,3258.8555999999994,CROSS_UP,-2095.19629999981,-1700.46629999981,88.99,305.74,394.73
SHORT,2023-01-02 13:28:00+05:30,3256.7899500000003,302,2023-01-02 13:30:00+05:30,3265.1618999999996,CROSS_UP,-2922.348899999785,-2528.328899999785,88.9,305.12,394.02
SHORT,2023-01-02 13:36:00+05:30,3258.738,301,2023-01-02 13:38:00+05:30,3265.2619999999997,CROSS_UP,-2356.763999999966,-1963.723999999966,88.69,304.35,393.04
LONG,2023-01-02 14:18:00+05:30,3252.7494999999994,301,2023-01-02 14:20:00+05:30,3241.1556,CROSS_DOWN,-3881.0438999998178,-3489.7638999998176,88.44,302.84,391.28
LONG,2023-01-02 14:32:00+05:30,3252.9496999999997,300,2023-01-02 14:34:00+05:30,3249.59715,CROSS_DOWN,-1396.634999999883,-1005.764999999883,88.23,302.64,390.87
SHORT,2023-01-02 14:52:00+05:30,3255.99075,299,2023-01-02 14:54:00+05:30,3263.2599999999998,CROSS_UP,-2563.9757499999487,-2173.505749999949,88.22,302.25,390.47
SHORT,2023-01-03 09:37:00+05:30,3267.4293,297,2023-01-03 09:39:00+05:30,3273.82055,CROSS_UP,-2287.5512500000377,-1898.2012500000378,87.99,301.36,389.35
SHORT,2023-01-03 09:47:00+05:30,3269.2275,296,2023-01-03 09:49:00+05:30,3274.6213499999994,CROSS_UP,-1984.9495999998444,-1596.5795999998445,87.79,300.58,388.37
SHORT,2023-01-03 10:14:00+05:30,3275.6211000000003,295,2023-01-03 10:16:00+05:30,3283.9806999999996,CROSS_UP,-2854.021999999799,-2466.081999999799,87.76,300.18,387.94
SHORT,2023-01-03 10:23:00+05:30,3276.96975,294,2023-01-03 10:25:00+05:30,3280.7774999999997,CROSS_UP,-1506.3184999998493,-1119.4784999998492,87.48,299.36,386.84000000000003
SHORT,2023-01-03 10:33:00+05:30,3280.8159,293,2023-01-03 10:35:00+05:30,3288.285,CROSS_UP,-2574.596299999941,-2188.446299999941,87.41,298.74,386.15
SHORT,2023-01-03 10:46:00+05:30,3281.3154,293,2023-01-03 10:48:00+05:30,3287.83455,CROSS_UP,-2296.2909500000237,-1910.1109500000239,87.4,298.78,386.17999999999995
SHORT,2023-01-03 11:02:00+05:30,3284.66205,292,2023-01-03 11:04:00+05:30,3292.8895999999995,CROSS_UP,-2787.854599999886,-2402.444599999886,87.28,298.13,385.40999999999997
LONG,2023-01-03 12:24:00+05:30,3300.8975999999993,289,2023-01-03 12:26:00+05:30,3296.7,CROSS_DOWN,-1596.1863999998586,-1213.1063999998587,86.78,296.3,383.08000000000004
SHORT,2023-01-03 13:16:00+05:30,3304.4922,288,2023-01-03 13:18:00+05:30,3309.8064999999997,CROSS_UP,-1913.24839999987,-1530.5183999998699,86.73,296.0,382.73
SHORT,2023-01-03 14:48:00+05:30,3313.683,287,2023-01-03 14:50:00+05:30,3322.86955,CROSS_UP,-3019.1098499999707,-2636.5398499999706,86.76,295.81,382.57
SHORT,2023-01-03 14:51:00+05:30,3316.13055,286,2023-01-03 14:53:00+05:30,3321.7183999999997,CROSS_UP,-1979.7050999999683,-1598.1250999999684,86.52,295.06,381.58
SHORT,2023-01-03 15:01:00+05:30,3310.686,286,2023-01-03 15:03:00+05:30,3313.7604499999993,CROSS_UP,-1260.26269999976,-879.2926999997599,86.36,294.61,380.97
LONG,2023-01-04 09:18:00+05:30,3299.9966999999992,286,2023-01-04 09:21:00+05:30,3290.0067000000004,CROSS_DOWN,-3236.1599999996774,-2857.1399999996775,86.1,292.92,379.02
SHORT,2023-01-04 10:23:00+05:30,3297.699,286,2023-01-04 10:25:00+05:30,3302.9496499999996,CROSS_UP,-1881.3958999998558,-1501.6858999998558,86.16,293.55,379.71000000000004
SHORT,2023-01-04 10:29:00+05:30,3297.64905,285,2023-01-04 10:31:00+05:30,3303.2999999999997,CROSS_UP,-1989.0707499999255,-1610.5207499999256,85.95,292.6,378.55
SHORT,2023-01-04 10:33:00+05:30,3300.24645,284,2023-01-04 10:35:00+05:30,3306.2028999999998,CROSS_UP,-2069.2817999999083,-1691.6317999999083,85.78,291.87,377.65
LONG,2023-01-04 10:43:00+05:30,3295.6423499999996,284,2023-01-04 10:45:00+05:30,3289.4073,CROSS_DOWN,-2147.3341999999357,-1770.7541999999357,85.59,290.99,376.58000000000004
LONG,2023-01-04 10:55:00+05:30,3298.1948999999995,283,2023-01-04 10:57:00+05:30,3291.95475,CROSS_DOWN,-2141.6224499998953,-1765.9624499998954,85.41,290.25,375.65999999999997
LONG,2023-01-04 11:50:00+05:30,3296.1428499999997,283,2023-01-04 11:52:00+05:30,3289.707,CROSS_DOWN,-2196.795549999956,-1821.3455499999563,85.38,290.07,375.45
LONG,2023-01-04 11:57:00+05:30,3295.44215,282,2023-01-04 11:59:00+05:30,3288.85785,CROSS_DOWN,-2230.9725999999955,-1856.7725999999957,85.14,289.06,374.2
LONG,2023-01-04 12:03:00+05:30,3295.2919999999995,281,2023-01-04 12:05:00+05:30,3288.75795,CROSS_DOWN,-2209.0980499998027,-1836.0680499998025,84.92,288.11,373.03000000000003
SHORT,2023-01-04 13:02:00+05:30,3298.698,280,2023-01-04 13:04:00+05:30,3303.9506499999998,CROSS_UP,-1843.581999999973,-1470.741999999973,84.87,287.97,372.84000000000003
SHORT,2023-01-04 13:25:00+05:30,3306.2904,279,2023-01-04 13:27:00+05:30,3313.3099999999995,CROSS_UP,-2330.918399999896,-1958.468399999896,84.82,287.63,372.45
SHORT,2023-01-04 13:44:00+05:30,3312.03465,278,2023-01-04 13:46:00+05:30,3318.4651499999995,CROSS_UP,-2159.5189999998565,-1787.6789999998564,84.7,287.14,371.84
SHORT,2023-01-04 13:50:00+05:30,3315.63105,277,2023-01-04 13:52:00+05:30,3323.3199999999997,CROSS_UP,-2500.8791499999306,-2129.8391499999307,84.56,286.48,371.04
SHORT,2023-01-04 14:06:00+05:30,3321.5751,276,2023-01-04 14:08:00+05:30,3327.87455,CROSS_UP,-2109.078199999994,-1738.6481999999942,84.43,286.0,370.43
LONG,2023-01-05 09:56:00+05:30,3319.3660499999996,275,2023-01-05 09:58:00+05:30,3308.33835,CROSS_DOWN,-3400.677499999901,-3032.617499999901,84.05,284.01,368.06
SHORT,2023-01-05 10:23:00+05:30,3317.92875,274,2023-01-05 10:25:00+05:30,3324.3209999999995,CROSS_UP,-2119.2064999998415,-1751.4764999998415,83.92,283.81,367.73
SHORT,2023-01-05 11:18:00+05:30,3320.3263500000003,274,2023-01-05 11:20:00+05:30,3325.4220999999993,CROSS_UP,-1764.175499999738,-1396.2354999997378,83.94,284.0,367.94
LONG,2023-01-05 11:50:00+05:30,3321.2679499999995,273,2023-01-05 11:52:00+05:30,3312.2844,CROSS_DOWN,-2818.579149999855,-2452.509149999855,83.65,282.42,366.07000000000005
LONG,2023-01-05 12:13:00+05:30,3313.9606499999995,273,2023-01-05 12:15:00+05:30,3304.5421499999998,CROSS_DOWN,-2936.5904999999366,-2571.2504999999364,83.52,281.82,365.34
LONG,2023-01-05 12:19:00+05:30,3308.2549499999996,272,2023-01-05 12:21:00+05:30,3298.44825,CROSS_DOWN,-3031.0123999999014,-2667.4223999999012,83.19,280.4,363.59
LONG,2023-01-05 12:48:00+05:30,3295.2919999999995,272,2023-01-05 12:50:00+05:30,3287.709,CROSS_DOWN,-2425.095999999899,-2062.575999999899,82.96,279.56,362.52
SHORT,2023-01-05 13:16:00+05:30,3294.45225,272,2023-01-05 13:18:00+05:30,3298.3950999999997,CROSS_UP,-1435.5551999999748,-1072.4551999999749,83.02,280.08,363.09999999999997
