direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 14:52:00+05:30,3255.99075,307,2023-01-02 14:54:00+05:30,3263.2599999999998,CROSS_UP,-2631.3197499999474,-2231.6597499999475,89.95,309.71,399.65999999999997
LONG,2023-01-02 15:15:00+05:30,3263.51025,305,2023-01-02 15:17:00+05:30,3258.28845,CROSS_DOWN,-1990.2189999999398,-1592.6489999999399,89.52,308.05,397.57
SHORT,2023-01-04 09:33:00+05:30,3303.04365,301,2023-01-04 09:35:00+05:30,3301.8485499999997,CROSS_UP,-37.86489999988987,359.72510000011016,89.42,308.17,397.59000000000003
LONG,2023-01-04 12:57:00+05:30,3303.2999999999997,301,2023-01-04 12:59:00+05:30,3296.5002000000004,CROSS_DOWN,-2443.799799999796,-2046.739799999796,89.45,307.61,397.06
SHORT,2023-01-05 10:29:00+05:30,3317.4792,299,2023-01-05 10:31:00+05:30,3324.3209999999995,CROSS_UP,-2442.6481999997723,-2045.6981999997724,89.43,307.52,396.95
LONG,2023-01-05 10:50:00+05:30,3323.3199999999997,298,2023-01-05 10:52:00+05:30,3317.32935,CROSS_DOWN,-2180.95369999992,-1785.2136999999202,89.19,306.55,395.74
SHORT,2023-01-05 12:05:00+05:30,3309.687,298,2023-01-05 12:07:00+05:30,3316.36305,CROSS_UP,-2384.4129000000094,-1989.4629000000095,89.05,305.9,394.95
LONG,2023-01-05 15:10:00+05:30,3313.3099999999995,297,2023-01-05 15:12:00+05:30,3307.0896000000002,CROSS_DOWN,-2240.9587999997757,-1847.4587999997757,88.77,304.73,393.5
SHORT,2023-01-06 09:44:00+05:30,3278.9177999999997,299,2023-01-06 09:46:00+05:30,3285.2819999999997,CROSS_UP,-2295.755799999995,-1902.8957999999948,88.65,304.21,392.86
LONG,2023-01-09 09:25:00+05:30,3262.30905,300,2023-01-09 09:27:00+05:30,3264.2325,CROSS_DOWN,184.73500000006902,577.035000000069,88.41,303.89,392.29999999999995
SHORT,2023-01-09 12:47:00+05:30,3303.693,297,2023-01-09 12:49:00+05:30,3311.2579499999993,CROSS_UP,-2639.960149999716,-2246.790149999716,88.73,304.44,393.17
LONG,2023-01-09 14:20:00+05:30,3319.0657499999998,294,2023-01-09 14:22:00+05:30,3309.93675,CROSS_DOWN,-3074.275999999972,-2683.925999999972,88.22,302.13,390.35
SHORT,2023-01-10 09:25:00+05:30,3250.6461,300,2023-01-10 09:27:00+05:30,3254.0007499999997,CROSS_UP,-1397.3749999999295,-1006.3949999999295,88.25,302.73,390.98
LONG,2023-01-10 12:17:00+05:30,3265.2619999999997,298,2023-01-10 12:19:00+05:30,3258.3384,CROSS_DOWN,-2452.792799999888,-2063.232799999888,88.04,301.52,389.56
SHORT,2023-01-11 14:44:00+05:30,3325.9207499999998,292,2023-01-11 14:46:00+05:30,3332.3289999999997,CROSS_UP,-2260.8189999999863,-1871.2089999999862,88.04,301.57,389.61
LONG,2023-01-12 11:09:00+05:30,3336.3329999999996,290,2023-01-12 11:11:00+05:30,3327.669,CROSS_DOWN,-2900.04999999993,-2512.5599999999304,87.68,299.81,387.49
SHORT,2023-01-12 13:37:00+05:30,3321.5751,291,2023-01-12 13:39:00+05:30,3328.325,CROSS_UP,-2352.220899999941,-1964.2208999999411,87.74,300.26,388.0
LONG,2023-01-13 11:09:00+05:30,3352.8495,287,2023-01-13 11:11:00+05:30,3345.651,CROSS_DOWN,-2451.7294999999904,-2065.9694999999906,87.33,298.43,385.76
SHORT,2023-01-16 09:21:00+05:30,3308.2884,290,2023-01-16 09:23:00+05:30,3313.5101999999993,CROSS_UP,-1899.771999999811,-1514.321999999811,87.24,298.21,385.45
LONG,2023-01-16 11:33:00+05:30,3346.1928499999995,286,2023-01-16 11:35:00+05:30,3337.90875,CROSS_DOWN,-2753.072599999828,-2369.252599999828,86.98,296.84,383.82
SHORT,2023-01-16 12:42:00+05:30,3323.42325,288,2023-01-16 12:44:00+05:30,3329.1758499999996,CROSS_UP,-2041.4087999999429,-1656.748799999943,87.1,297.56,384.65999999999997
LONG,2023-01-16 15:24:00+05:30,3339.1858499999994,286,2023-01-16 15:26:00+05:30,3330.5661,CROSS_DOWN,-2848.3384999998243,-2465.248499999824,86.85,296.24,383.09000000000003
SHORT,2023-01-18 14:07:00+05:30,3391.7548500000003,280,2023-01-18 14:09:00+05:30,3399.5961999999995,CROSS_UP,-2577.647999999787,-2195.5779999997867,86.64,295.43,382.07
LONG,2023-01-19 11:56:00+05:30,3383.43005,280,2023-01-19 11:58:00+05:30,3376.47015,CROSS_DOWN,-2329.3119999999535,-1948.7719999999536,86.34,294.2,380.53999999999996
SHORT,2023-01-19 14:58:00+05:30,3369.627,281,2023-01-19 15:00:00+05:30,3379.2258499999994,CROSS_UP,-3078.386849999832,-2697.276849999832,86.49,294.62,381.11
LONG,2023-01-20 10:25:00+05:30,3384.93155,279,2023-01-20 10:27:00+05:30,3377.76885,CROSS_DOWN,-2377.8732999999606,-1998.3932999999606,86.14,293.34,379.47999999999996
SHORT,2023-01-20 12:30:00+05:30,3376.62,279,2023-01-20 12:32:00+05:30,3383.3799999999997,CROSS_UP,-2265.399999999934,-1886.039999999934,86.11,293.25,379.36
LONG,2023-01-23 09:35:00+05:30,3392.9395499999996,276,2023-01-23 09:37:00+05:30,3386.61,CROSS_DOWN,-2123.7157999998544,-1746.9557999998542,85.62,291.14,376.76
SHORT,2023-01-24 14:09:00+05:30,3430.5160499999997,273,2023-01-24 14:11:00+05:30,3439.9865499999996,CROSS_UP,-2962.8964999999735,-2585.446499999973,85.79,291.66,377.45000000000005
